Student S10025 named Alexander Campbell, age 12, gender Female, is in Class 9. Scored 56 in Math, 39 in Science, 58 in English, 58 in History, and 39 in Computer, totaling 250 marks with Grade D. Attendance stands at 71.01 percent. Participates in Debate as an extracurricular activity.
Student S11428 named Marissa English, age 14, gender Male, is in Class 9. Scored 87 in Math, 47 in Science, 66 in English, 46 in History, and 96 in Computer, totaling 342 marks with Grade C. Attendance stands at 95.35 percent. Participates in Music as an extracurricular activity.
Student S11446 named Haley Acevedo, age 14, gender Female, is in Class 9. Scored 38 in Math, 99 in Science, 38 in English, 79 in History, and 92 in Computer, totaling 346 marks with Grade C. Attendance stands at 63.71 percent. Participates in Football as an extracurricular activity.
Student S11448 named James Wiggins, age 12, gender Male, is in Class 9. Scored 57 in Math, 75 in Science, 90 in English, 89 in History, and 88 in Computer, totaling 399 marks with Grade C. Attendance stands at 64.13 percent. Participates in Music as an extracurricular activity.
Student S11450 named Holly Wright MD, age 16, gender Male, is in Class 9. Scored 53 in Math, 37 in Science, 87 in English, 98 in History, and 74 in Computer, totaling 349 marks with Grade C. Attendance stands at 95.19 percent. Participates in Music as an extracurricular activity.
Student S11464 named Carlos Mullins, age 15, gender Female, is in Class 9. Scored 91 in Math, 66 in Science, 73 in English, 68 in History, and 34 in Computer, totaling 332 marks with Grade C. Attendance stands at 99.06 percent. Participates in Debate as an extracurricular activity.
Student S11476 named Mary Hernandez, age 15, gender Female, is in Class 9. Scored 47 in Math, 91 in Science, 65 in English, 81 in History, and 92 in Computer, totaling 376 marks with Grade C. Attendance stands at 90.79 percent. Participates in Debate as an extracurricular activity.
Student S11481 named Martin Taylor, age 11, gender Male, is in Class 9. Scored 59 in Math, 81 in Science, 67 in English, 32 in History, and 86 in Computer, totaling 325 marks with Grade C. Attendance stands at 84.27 percent. Participates in Debate as an extracurricular activity.
Student S11486 named Cynthia Carr, age 15, gender Male, is in Class 9. Scored 63 in Math, 37 in Science, 80 in English, 61 in History, and 69 in Computer, totaling 310 marks with Grade C. Attendance stands at 70.97 percent. Participates in Football as an extracurricular activity.
Student S11505 named Monique Wells, age 10, gender Male, is in Class 9. Scored 74 in Math, 72 in Science, 32 in English, 46 in History, and 62 in Computer, totaling 286 marks with Grade D. Attendance stands at 99.94 percent. Participates in Debate as an extracurricular activity.
Student S11515 named Jacob Abbott, age 14, gender Female, is in Class 9. Scored 76 in Math, 59 in Science, 36 in English, 86 in History, and 62 in Computer, totaling 319 marks with Grade C. Attendance stands at 94.14 percent. Participates in Drama as an extracurricular activity.
Student S11532 named Valerie Tucker, age 10, gender Male, is in Class 9. Scored 50 in Math, 71 in Science, 69 in English, 38 in History, and 53 in Computer, totaling 281 marks with Grade D. Attendance stands at 97.96 percent. Participates in Football as an extracurricular activity.
Student S11536 named Sandra Fisher, age 10, gender Female, is in Class 9. Scored 44 in Math, 32 in Science, 38 in English, 54 in History, and 63 in Computer, totaling 231 marks with Grade D. Attendance stands at 85.56 percent. Participates in Music as an extracurricular activity.
Student S11539 named Jose Vega, age 17, gender Female, is in Class 9. Scored 66 in Math, 67 in Science, 90 in English, 32 in History, and 43 in Computer, totaling 298 marks with Grade D. Attendance stands at 68.89 percent. Participates in None as an extracurricular activity.
Student S11541 named Karen Morgan, age 16, gender Female, is in Class 9. Scored 60 in Math, 84 in Science, 31 in English, 58 in History, and 80 in Computer, totaling 313 marks with Grade C. Attendance stands at 85.23 percent. Participates in Football as an extracurricular activity.
Student S11554 named Jennifer Cox, age 10, gender Male, is in Class 9. Scored 37 in Math, 93 in Science, 49 in English, 86 in History, and 42 in Computer, totaling 307 marks with Grade C. Attendance stands at 85.81 percent. Participates in Music as an extracurricular activity.
Student S11557 named Deborah Cameron, age 15, gender Male, is in Class 9. Scored 78 in Math, 66 in Science, 30 in English, 34 in History, and 75 in Computer, totaling 283 marks with Grade D. Attendance stands at 93.15 percent. Participates in Debate as an extracurricular activity.
Student S11564 named Eric Vargas, age 13, gender Male, is in Class 9. Scored 44 in Math, 89 in Science, 77 in English, 97 in History, and 39 in Computer, totaling 346 marks with Grade C. Attendance stands at 93.15 percent. Participates in Football as an extracurricular activity.
Student S11569 named Juan Liu, age 14, gender Female, is in Class 9. Scored 57 in Math, 57 in Science, 66 in English, 41 in History, and 42 in Computer, totaling 263 marks with Grade D. Attendance stands at 75.48 percent. Participates in Drama as an extracurricular activity.
Student S11588 named Kenneth White, age 13, gender Male, is in Class 9. Scored 73 in Math, 72 in Science, 89 in English, 77 in History, and 72 in Computer, totaling 383 marks with Grade C. Attendance stands at 81.27 percent. Participates in None as an extracurricular activity.
Student S11597 named Brett Cook, age 12, gender Male, is in Class 9. Scored 53 in Math, 53 in Science, 54 in English, 66 in History, and 63 in Computer, totaling 289 marks with Grade D. Attendance stands at 72.85 percent. Participates in Debate as an extracurricular activity.
Student S11604 named Nicholas Kramer, age 16, gender Male, is in Class 9. Scored 37 in Math, 32 in Science, 66 in English, 37 in History, and 88 in Computer, totaling 260 marks with Grade D. Attendance stands at 77.12 percent. Participates in Drama as an extracurricular activity.
Student S11616 named Dr. Nathan Zamora MD, age 15, gender Female, is in Class 9. Scored 96 in Math, 53 in Science, 38 in English, 44 in History, and 74 in Computer, totaling 305 marks with Grade C. Attendance stands at 79.69 percent. Participates in Drama as an extracurricular activity.
Student S11617 named Alan Johnson, age 13, gender Male, is in Class 9. Scored 81 in Math, 85 in Science, 48 in English, 67 in History, and 36 in Computer, totaling 317 marks with Grade C. Attendance stands at 80.74 percent. Participates in Dance as an extracurricular activity.
Student S11619 named Stacy Schroeder, age 12, gender Female, is in Class 9. Scored 81 in Math, 33 in Science, 87 in English, 79 in History, and 42 in Computer, totaling 322 marks with Grade C. Attendance stands at 78.14 percent. Participates in Dance as an extracurricular activity.
Student S11620 named Matthew Bell, age 16, gender Female, is in Class 9. Scored 83 in Math, 93 in Science, 74 in English, 45 in History, and 86 in Computer, totaling 381 marks with Grade C. Attendance stands at 90.17 percent. Participates in Dance as an extracurricular activity.
Student S11642 named Mark Hernandez, age 16, gender Male, is in Class 9. Scored 53 in Math, 89 in Science, 70 in English, 99 in History, and 59 in Computer, totaling 370 marks with Grade C. Attendance stands at 61.01 percent. Participates in Dance as an extracurricular activity.
Student S11648 named Charles Woods, age 10, gender Female, is in Class 9. Scored 57 in Math, 62 in Science, 57 in English, 33 in History, and 59 in Computer, totaling 268 marks with Grade D. Attendance stands at 97.37 percent. Participates in None as an extracurricular activity.
Student S11658 named Michael Kaufman, age 15, gender Male, is in Class 9. Scored 43 in Math, 35 in Science, 76 in English, 86 in History, and 49 in Computer, totaling 289 marks with Grade D. Attendance stands at 75.97 percent. Participates in Football as an extracurricular activity.
Student S11664 named Roy Cox, age 16, gender Female, is in Class 9. Scored 99 in Math, 99 in Science, 90 in English, 38 in History, and 73 in Computer, totaling 399 marks with Grade C. Attendance stands at 79.19 percent. Participates in Football as an extracurricular activity.
Student S11671 named Kevin Perry, age 14, gender Male, is in Class 9. Scored 36 in Math, 33 in Science, 97 in English, 58 in History, and 96 in Computer, totaling 320 marks with Grade C. Attendance stands at 85.32 percent. Participates in Drama as an extracurricular activity.
Student S11674 named Shane Shaw, age 10, gender Male, is in Class 9. Scored 92 in Math, 44 in Science, 76 in English, 45 in History, and 79 in Computer, totaling 336 marks with Grade C. Attendance stands at 67.98 percent. Participates in Dance as an extracurricular activity.
Student S11685 named Tiffany Barber, age 12, gender Male, is in Class 9. Scored 39 in Math, 89 in Science, 48 in English, 86 in History, and 74 in Computer, totaling 336 marks with Grade C. Attendance stands at 61.60 percent. Participates in Football as an extracurricular activity.
Student S11692 named Alejandro Jacobson, age 11, gender Male, is in Class 9. Scored 58 in Math, 44 in Science, 57 in English, 41 in History, and 80 in Computer, totaling 280 marks with Grade D. Attendance stands at 84.04 percent. Participates in Music as an extracurricular activity.
Student S11716 named Micheal Franco, age 12, gender Male, is in Class 9. Scored 76 in Math, 66 in Science, 47 in English, 46 in History, and 67 in Computer, totaling 302 marks with Grade C. Attendance stands at 88.40 percent. Participates in None as an extracurricular activity.
Student S11732 named Matthew Osborne, age 16, gender Female, is in Class 9. Scored 98 in Math, 58 in Science, 96 in English, 88 in History, and 36 in Computer, totaling 376 marks with Grade C. Attendance stands at 66.98 percent. Participates in Drama as an extracurricular activity.
Student S11739 named Benjamin Stanley, age 10, gender Male, is in Class 9. Scored 53 in Math, 41 in Science, 61 in English, 93 in History, and 50 in Computer, totaling 298 marks with Grade D. Attendance stands at 63.05 percent. Participates in Music as an extracurricular activity.
Student S11741 named Austin Oliver, age 11, gender Male, is in Class 9. Scored 76 in Math, 73 in Science, 31 in English, 94 in History, and 99 in Computer, totaling 373 marks with Grade C. Attendance stands at 84.97 percent. Participates in Dance as an extracurricular activity.
Student S11742 named John Hill, age 14, gender Male, is in Class 9. Scored 83 in Math, 86 in Science, 95 in English, 72 in History, and 56 in Computer, totaling 392 marks with Grade C. Attendance stands at 65.32 percent. Participates in Dance as an extracurricular activity.
Student S11747 named Calvin Hughes, age 13, gender Male, is in Class 9. Scored 36 in Math, 52 in Science, 62 in English, 61 in History, and 98 in Computer, totaling 309 marks with Grade C. Attendance stands at 74.12 percent. Participates in None as an extracurricular activity.
Student S11750 named Joshua Hall, age 13, gender Male, is in Class 9. Scored 78 in Math, 62 in Science, 90 in English, 62 in History, and 60 in Computer, totaling 352 marks with Grade C. Attendance stands at 93.71 percent. Participates in Dance as an extracurricular activity.
Student S11751 named Kristina Stanton, age 15, gender Female, is in Class 9. Scored 63 in Math, 42 in Science, 85 in English, 90 in History, and 66 in Computer, totaling 346 marks with Grade C. Attendance stands at 73.10 percent. Participates in Debate as an extracurricular activity.
Student S11757 named Shelby Rodriguez, age 14, gender Female, is in Class 9. Scored 96 in Math, 86 in Science, 88 in English, 72 in History, and 36 in Computer, totaling 378 marks with Grade C. Attendance stands at 83.30 percent. Participates in Football as an extracurricular activity.
Student S11762 named Carrie Solis, age 12, gender Female, is in Class 9. Scored 93 in Math, 69 in Science, 58 in English, 48 in History, and 92 in Computer, totaling 360 marks with Grade C. Attendance stands at 81.51 percent. Participates in Football as an extracurricular activity.
Student S11769 named John Price, age 16, gender Male, is in Class 9. Scored 60 in Math, 80 in Science, 30 in English, 36 in History, and 47 in Computer, totaling 253 marks with Grade D. Attendance stands at 68.66 percent. Participates in None as an extracurricular activity.
Student S11782 named Michele Thompson, age 10, gender Male, is in Class 9. Scored 79 in Math, 47 in Science, 46 in English, 47 in History, and 61 in Computer, totaling 280 marks with Grade D. Attendance stands at 62.27 percent. Participates in Debate as an extracurricular activity.
Student S11788 named Joshua Wheeler, age 11, gender Female, is in Class 9. Scored 54 in Math, 72 in Science, 99 in English, 81 in History, and 69 in Computer, totaling 375 marks with Grade C. Attendance stands at 72.33 percent. Participates in Dance as an extracurricular activity.
Student S11790 named Alexandra Jones, age 11, gender Female, is in Class 9. Scored 32 in Math, 88 in Science, 70 in English, 62 in History, and 75 in Computer, totaling 327 marks with Grade C. Attendance stands at 83.79 percent. Participates in Football as an extracurricular activity.
Student S11799 named Billy Wilson, age 10, gender Male, is in Class 9. Scored 64 in Math, 73 in Science, 90 in English, 57 in History, and 31 in Computer, totaling 315 marks with Grade C. Attendance stands at 72.98 percent. Participates in Dance as an extracurricular activity.
Student S11816 named Pamela Palmer, age 10, gender Female, is in Class 9. Scored 68 in Math, 67 in Science, 82 in English, 96 in History, and 46 in Computer, totaling 359 marks with Grade C. Attendance stands at 78.60 percent. Participates in Debate as an extracurricular activity.
Student S11830 named Jesse Barnes, age 17, gender Male, is in Class 9. Scored 80 in Math, 68 in Science, 36 in English, 51 in History, and 70 in Computer, totaling 305 marks with Grade C. Attendance stands at 86.26 percent. Participates in Dance as an extracurricular activity.
Student S11836 named Ronald Lee, age 11, gender Male, is in Class 9. Scored 92 in Math, 94 in Science, 64 in English, 92 in History, and 56 in Computer, totaling 398 marks with Grade C. Attendance stands at 92.71 percent. Participates in Dance as an extracurricular activity.
Student S11839 named Theresa Black, age 16, gender Male, is in Class 9. Scored 67 in Math, 35 in Science, 53 in English, 87 in History, and 35 in Computer, totaling 277 marks with Grade D. Attendance stands at 83.31 percent. Participates in Football as an extracurricular activity.
Student S11843 named James Reyes, age 10, gender Female, is in Class 9. Scored 81 in Math, 50 in Science, 55 in English, 98 in History, and 42 in Computer, totaling 326 marks with Grade C. Attendance stands at 68.50 percent. Participates in Music as an extracurricular activity.
Student S11848 named William Webster, age 14, gender Male, is in Class 9. Scored 38 in Math, 89 in Science, 37 in English, 60 in History, and 95 in Computer, totaling 319 marks with Grade C. Attendance stands at 61.78 percent. Participates in None as an extracurricular activity.
Student S11855 named Michael Pierce, age 11, gender Male, is in Class 9. Scored 53 in Math, 51 in Science, 74 in English, 68 in History, and 83 in Computer, totaling 329 marks with Grade C. Attendance stands at 98.59 percent. Participates in Dance as an extracurricular activity.
Student S11863 named Teresa Paul, age 13, gender Female, is in Class 9. Scored 93 in Math, 34 in Science, 92 in English, 95 in History, and 42 in Computer, totaling 356 marks with Grade C. Attendance stands at 61.55 percent. Participates in Music as an extracurricular activity.
Student S11864 named Brittany Rose, age 10, gender Female, is in Class 9. Scored 85 in Math, 59 in Science, 66 in English, 55 in History, and 95 in Computer, totaling 360 marks with Grade C. Attendance stands at 90.23 percent. Participates in Dance as an extracurricular activity.
Student S11866 named Heather Clark, age 10, gender Male, is in Class 9. Scored 47 in Math, 73 in Science, 30 in English, 92 in History, and 97 in Computer, totaling 339 marks with Grade C. Attendance stands at 94.11 percent. Participates in Dance as an extracurricular activity.
Student S11876 named Kristin Simmons, age 14, gender Male, is in Class 9. Scored 44 in Math, 62 in Science, 96 in English, 46 in History, and 39 in Computer, totaling 287 marks with Grade D. Attendance stands at 79.14 percent. Participates in None as an extracurricular activity.
Student S11908 named Michael Paul, age 11, gender Male, is in Class 9. Scored 50 in Math, 98 in Science, 81 in English, 74 in History, and 58 in Computer, totaling 361 marks with Grade C. Attendance stands at 82.21 percent. Participates in Debate as an extracurricular activity.
Student S11910 named Joseph Kim, age 15, gender Male, is in Class 9. Scored 58 in Math, 93 in Science, 72 in English, 49 in History, and 59 in Computer, totaling 331 marks with Grade C. Attendance stands at 69.15 percent. Participates in Debate as an extracurricular activity.
Student S11917 named Anthony Miller, age 15, gender Female, is in Class 9. Scored 69 in Math, 34 in Science, 95 in English, 48 in History, and 86 in Computer, totaling 332 marks with Grade C. Attendance stands at 83.83 percent. Participates in Music as an extracurricular activity.
Student S11928 named Danielle Lopez, age 13, gender Male, is in Class 9. Scored 83 in Math, 42 in Science, 65 in English, 77 in History, and 95 in Computer, totaling 362 marks with Grade C. Attendance stands at 81.99 percent. Participates in Music as an extracurricular activity.
Student S11929 named Shari Wilson, age 17, gender Female, is in Class 9. Scored 30 in Math, 86 in Science, 35 in English, 39 in History, and 35 in Computer, totaling 225 marks with Grade D. Attendance stands at 75.28 percent. Participates in Debate as an extracurricular activity.
Student S11933 named Brian Edwards, age 14, gender Female, is in Class 9. Scored 84 in Math, 83 in Science, 69 in English, 49 in History, and 74 in Computer, totaling 359 marks with Grade C. Attendance stands at 61.61 percent. Participates in Dance as an extracurricular activity.
Student S11942 named Debra Mccarty, age 13, gender Male, is in Class 9. Scored 86 in Math, 65 in Science, 53 in English, 30 in History, and 88 in Computer, totaling 322 marks with Grade C. Attendance stands at 60.66 percent. Participates in Football as an extracurricular activity.
Student S11944 named Cynthia Barrera, age 17, gender Male, is in Class 9. Scored 62 in Math, 56 in Science, 55 in English, 76 in History, and 41 in Computer, totaling 290 marks with Grade D. Attendance stands at 69.49 percent. Participates in Music as an extracurricular activity.
Student S11950 named Ashley Rubio, age 13, gender Male, is in Class 9. Scored 32 in Math, 39 in Science, 52 in English, 74 in History, and 97 in Computer, totaling 294 marks with Grade D. Attendance stands at 79.82 percent. Participates in Dance as an extracurricular activity.
Student S11952 named Kristine Olsen, age 13, gender Female, is in Class 9. Scored 86 in Math, 53 in Science, 42 in English, 42 in History, and 68 in Computer, totaling 291 marks with Grade D. Attendance stands at 71.18 percent. Participates in Debate as an extracurricular activity.
Student S11981 named Jennifer Newton, age 10, gender Male, is in Class 9. Scored 33 in Math, 60 in Science, 91 in English, 69 in History, and 76 in Computer, totaling 329 marks with Grade C. Attendance stands at 84.76 percent. Participates in Dance as an extracurricular activity.
Student S11983 named Catherine Green, age 11, gender Female, is in Class 9. Scored 62 in Math, 56 in Science, 97 in English, 42 in History, and 79 in Computer, totaling 336 marks with Grade C. Attendance stands at 84.27 percent. Participates in Dance as an extracurricular activity.
Student S11995 named Christine Harris, age 11, gender Female, is in Class 9. Scored 51 in Math, 41 in Science, 64 in English, 41 in History, and 34 in Computer, totaling 231 marks with Grade D. Attendance stands at 98.58 percent. Participates in None as an extracurricular activity.
Student S12002 named Erin Anderson, age 15, gender Male, is in Class 9. Scored 56 in Math, 30 in Science, 49 in English, 72 in History, and 79 in Computer, totaling 286 marks with Grade D. Attendance stands at 72.92 percent. Participates in Music as an extracurricular activity.
Student S12008 named Sandra Snyder, age 14, gender Female, is in Class 9. Scored 72 in Math, 92 in Science, 68 in English, 58 in History, and 49 in Computer, totaling 339 marks with Grade C. Attendance stands at 94.46 percent. Participates in Drama as an extracurricular activity.
Student S12028 named Benjamin Bell, age 10, gender Male, is in Class 9. Scored 99 in Math, 73 in Science, 64 in English, 58 in History, and 94 in Computer, totaling 388 marks with Grade C. Attendance stands at 68.33 percent. Participates in Football as an extracurricular activity.
Student S12031 named Cynthia Boyd, age 12, gender Female, is in Class 9. Scored 61 in Math, 61 in Science, 73 in English, 70 in History, and 78 in Computer, totaling 343 marks with Grade C. Attendance stands at 70.15 percent. Participates in Football as an extracurricular activity.
Student S12041 named Jodi Castillo, age 12, gender Male, is in Class 9. Scored 90 in Math, 74 in Science, 55 in English, 69 in History, and 88 in Computer, totaling 376 marks with Grade C. Attendance stands at 91.68 percent. Participates in Football as an extracurricular activity.
Student S12043 named Jessica Bradley, age 11, gender Male, is in Class 9. Scored 41 in Math, 49 in Science, 47 in English, 54 in History, and 95 in Computer, totaling 286 marks with Grade D. Attendance stands at 75.33 percent. Participates in Football as an extracurricular activity.
Student S12049 named Andrew Stanley, age 12, gender Female, is in Class 9. Scored 66 in Math, 59 in Science, 31 in English, 61 in History, and 84 in Computer, totaling 301 marks with Grade C. Attendance stands at 73.96 percent. Participates in Debate as an extracurricular activity.
Student S12054 named Linda Fowler, age 10, gender Female, is in Class 9. Scored 57 in Math, 31 in Science, 60 in English, 65 in History, and 88 in Computer, totaling 301 marks with Grade C. Attendance stands at 84.47 percent. Participates in Debate as an extracurricular activity.
Student S12064 named Sandra Burnett, age 16, gender Female, is in Class 9. Scored 59 in Math, 90 in Science, 59 in English, 55 in History, and 58 in Computer, totaling 321 marks with Grade C. Attendance stands at 62.20 percent. Participates in None as an extracurricular activity.
Student S12065 named Michelle Ramirez, age 15, gender Female, is in Class 9. Scored 77 in Math, 72 in Science, 37 in English, 42 in History, and 71 in Computer, totaling 299 marks with Grade D. Attendance stands at 99.28 percent. Participates in Debate as an extracurricular activity.
Student S12068 named Drew Garza, age 12, gender Female, is in Class 9. Scored 86 in Math, 95 in Science, 85 in English, 96 in History, and 99 in Computer, totaling 461 marks with Grade A. Attendance stands at 91.41 percent. Participates in None as an extracurricular activity.
Student S12083 named Dr. Christian Mcconnell, age 15, gender Male, is in Class 9. Scored 54 in Math, 89 in Science, 94 in English, 35 in History, and 61 in Computer, totaling 333 marks with Grade C. Attendance stands at 71.63 percent. Participates in Music as an extracurricular activity.
Student S12091 named Henry Dennis, age 11, gender Female, is in Class 9. Scored 53 in Math, 88 in Science, 36 in English, 97 in History, and 40 in Computer, totaling 314 marks with Grade C. Attendance stands at 79.97 percent. Participates in Dance as an extracurricular activity.
Student S12092 named Regina Duran, age 14, gender Male, is in Class 9. Scored 50 in Math, 91 in Science, 38 in English, 99 in History, and 32 in Computer, totaling 310 marks with Grade C. Attendance stands at 71.04 percent. Participates in Football as an extracurricular activity.
Student S12095 named Michael Blackwell, age 16, gender Female, is in Class 9. Scored 50 in Math, 46 in Science, 76 in English, 68 in History, and 55 in Computer, totaling 295 marks with Grade D. Attendance stands at 61.81 percent. Participates in Music as an extracurricular activity.
Student S12099 named Jamie Mitchell, age 17, gender Male, is in Class 9. Scored 53 in Math, 84 in Science, 49 in English, 74 in History, and 91 in Computer, totaling 351 marks with Grade C. Attendance stands at 89.39 percent. Participates in Drama as an extracurricular activity.
Student S12116 named John Robinson, age 13, gender Male, is in Class 9. Scored 87 in Math, 77 in Science, 52 in English, 92 in History, and 48 in Computer, totaling 356 marks with Grade C. Attendance stands at 93.87 percent. Participates in Music as an extracurricular activity.
Student S12119 named William Rojas, age 12, gender Male, is in Class 9. Scored 51 in Math, 78 in Science, 70 in English, 61 in History, and 61 in Computer, totaling 321 marks with Grade C. Attendance stands at 63.82 percent. Participates in None as an extracurricular activity.
Student S12126 named Mark Hunter, age 12, gender Male, is in Class 9. Scored 48 in Math, 85 in Science, 32 in English, 74 in History, and 88 in Computer, totaling 327 marks with Grade C. Attendance stands at 98.07 percent. Participates in Football as an extracurricular activity.
Student S12144 named Zachary Davis, age 11, gender Male, is in Class 9. Scored 52 in Math, 36 in Science, 56 in English, 50 in History, and 48 in Computer, totaling 242 marks with Grade D. Attendance stands at 74.06 percent. Participates in None as an extracurricular activity.
Student S12147 named Dorothy Phillips, age 16, gender Female, is in Class 9. Scored 37 in Math, 83 in Science, 76 in English, 93 in History, and 91 in Computer, totaling 380 marks with Grade C. Attendance stands at 90.47 percent. Participates in Dance as an extracurricular activity.
Student S12149 named Joseph Miller, age 17, gender Male, is in Class 9. Scored 65 in Math, 86 in Science, 74 in English, 79 in History, and 42 in Computer, totaling 346 marks with Grade C. Attendance stands at 60.12 percent. Participates in Dance as an extracurricular activity.
Student S12159 named Mark Coleman, age 15, gender Female, is in Class 9. Scored 92 in Math, 50 in Science, 41 in English, 34 in History, and 33 in Computer, totaling 250 marks with Grade D. Attendance stands at 64.76 percent. Participates in None as an extracurricular activity.
Student S12172 named Tanya Edwards, age 12, gender Male, is in Class 9. Scored 97 in Math, 64 in Science, 98 in English, 45 in History, and 56 in Computer, totaling 360 marks with Grade C. Attendance stands at 94.86 percent. Participates in Debate as an extracurricular activity.
Student S12174 named Andrew Burns, age 13, gender Female, is in Class 9. Scored 57 in Math, 62 in Science, 88 in English, 31 in History, and 54 in Computer, totaling 292 marks with Grade D. Attendance stands at 68.59 percent. Participates in Dance as an extracurricular activity.
Student S12176 named Mark Ray, age 15, gender Male, is in Class 9. Scored 33 in Math, 95 in Science, 54 in English, 93 in History, and 83 in Computer, totaling 358 marks with Grade C. Attendance stands at 67.16 percent. Participates in Football as an extracurricular activity.
Student S12181 named Alexis Davis, age 17, gender Female, is in Class 9. Scored 87 in Math, 86 in Science, 37 in English, 56 in History, and 37 in Computer, totaling 303 marks with Grade C. Attendance stands at 73.76 percent. Participates in Debate as an extracurricular activity.
Student S12185 named Mike Thomas, age 10, gender Female, is in Class 9. Scored 35 in Math, 90 in Science, 41 in English, 40 in History, and 51 in Computer, totaling 257 marks with Grade D. Attendance stands at 87.07 percent. Participates in None as an extracurricular activity.
Student S12196 named Karen Mcgrath, age 13, gender Male, is in Class 9. Scored 38 in Math, 81 in Science, 91 in English, 38 in History, and 44 in Computer, totaling 292 marks with Grade D. Attendance stands at 93.56 percent. Participates in Football as an extracurricular activity.
Student S12199 named Linda Myers, age 14, gender Female, is in Class 9. Scored 47 in Math, 98 in Science, 90 in English, 78 in History, and 68 in Computer, totaling 381 marks with Grade C. Attendance stands at 89.95 percent. Participates in None as an extracurricular activity.
Student S12215 named Mr. Chris Williamson, age 11, gender Female, is in Class 9. Scored 84 in Math, 39 in Science, 32 in English, 38 in History, and 55 in Computer, totaling 248 marks with Grade D. Attendance stands at 86.61 percent. Participates in Football as an extracurricular activity.
Student S12244 named Samuel Dixon, age 14, gender Male, is in Class 9. Scored 76 in Math, 96 in Science, 31 in English, 68 in History, and 98 in Computer, totaling 369 marks with Grade C. Attendance stands at 78.19 percent. Participates in Music as an extracurricular activity.
Student S12248 named Roy Ramirez, age 10, gender Female, is in Class 9. Scored 51 in Math, 79 in Science, 58 in English, 40 in History, and 66 in Computer, totaling 294 marks with Grade D. Attendance stands at 70.47 percent. Participates in Football as an extracurricular activity.
Student S12275 named Sean Savage, age 14, gender Male, is in Class 9. Scored 72 in Math, 94 in Science, 36 in English, 60 in History, and 99 in Computer, totaling 361 marks with Grade C. Attendance stands at 83.32 percent. Participates in Football as an extracurricular activity.
Student S12293 named David Jones, age 12, gender Female, is in Class 9. Scored 80 in Math, 94 in Science, 58 in English, 87 in History, and 89 in Computer, totaling 408 marks with Grade B. Attendance stands at 70.27 percent. Participates in Music as an extracurricular activity.
Student S12295 named Heather Roberts, age 12, gender Male, is in Class 9. Scored 67 in Math, 47 in Science, 54 in English, 87 in History, and 45 in Computer, totaling 300 marks with Grade D. Attendance stands at 84.15 percent. Participates in Music as an extracurricular activity.
Student S12306 named Louis Jordan, age 13, gender Female, is in Class 9. Scored 54 in Math, 98 in Science, 54 in English, 58 in History, and 56 in Computer, totaling 320 marks with Grade C. Attendance stands at 83.10 percent. Participates in None as an extracurricular activity.
Student S12328 named Danny Mcclure, age 13, gender Male, is in Class 9. Scored 84 in Math, 84 in Science, 68 in English, 93 in History, and 61 in Computer, totaling 390 marks with Grade C. Attendance stands at 61.12 percent. Participates in Drama as an extracurricular activity.
Student S12334 named Joshua Perez, age 13, gender Male, is in Class 9. Scored 68 in Math, 67 in Science, 95 in English, 69 in History, and 94 in Computer, totaling 393 marks with Grade C. Attendance stands at 81.22 percent. Participates in Dance as an extracurricular activity.
Student S12341 named Brian Hicks, age 15, gender Male, is in Class 9. Scored 43 in Math, 87 in Science, 92 in English, 97 in History, and 82 in Computer, totaling 401 marks with Grade B. Attendance stands at 61.59 percent. Participates in Debate as an extracurricular activity.
Student S12353 named John Clay, age 15, gender Female, is in Class 9. Scored 67 in Math, 35 in Science, 76 in English, 37 in History, and 58 in Computer, totaling 273 marks with Grade D. Attendance stands at 74.82 percent. Participates in Drama as an extracurricular activity.
Student S12356 named Julie Rodriguez, age 13, gender Male, is in Class 9. Scored 37 in Math, 75 in Science, 73 in English, 78 in History, and 49 in Computer, totaling 312 marks with Grade C. Attendance stands at 66.52 percent. Participates in Music as an extracurricular activity.
Student S12357 named Yolanda Mcintosh, age 14, gender Male, is in Class 9. Scored 69 in Math, 61 in Science, 80 in English, 60 in History, and 77 in Computer, totaling 347 marks with Grade C. Attendance stands at 86.60 percent. Participates in Drama as an extracurricular activity.
Student S12360 named Christopher Harrison, age 11, gender Female, is in Class 9. Scored 69 in Math, 33 in Science, 81 in English, 58 in History, and 44 in Computer, totaling 285 marks with Grade D. Attendance stands at 85.27 percent. Participates in Drama as an extracurricular activity.
Student S12380 named Debra Williams, age 13, gender Male, is in Class 9. Scored 39 in Math, 86 in Science, 35 in English, 48 in History, and 70 in Computer, totaling 278 marks with Grade D. Attendance stands at 96.91 percent. Participates in Drama as an extracurricular activity.
Student S12382 named Tina Meyer, age 16, gender Female, is in Class 9. Scored 41 in Math, 76 in Science, 68 in English, 88 in History, and 55 in Computer, totaling 328 marks with Grade C. Attendance stands at 61.37 percent. Participates in Debate as an extracurricular activity.
Student S12405 named Ian Stephens, age 14, gender Male, is in Class 9. Scored 95 in Math, 96 in Science, 66 in English, 38 in History, and 53 in Computer, totaling 348 marks with Grade C. Attendance stands at 75.94 percent. Participates in Debate as an extracurricular activity.
