Student S10002 named Christopher Taylor, age 17, gender Male, is in Class 7. Scored 71 in Math, 59 in Science, 30 in English, 88 in History, and 94 in Computer, totaling 342 marks with Grade C. Attendance stands at 71.95 percent. Participates in Music as an extracurricular activity.
Student S12618 named Scott Moreno, age 17, gender Male, is in Class 7. Scored 94 in Math, 39 in Science, 68 in English, 46 in History, and 45 in Computer, totaling 292 marks with Grade D. Attendance stands at 84.91 percent. Participates in Debate as an extracurricular activity.
Student S12633 named Melissa Jacobs, age 16, gender Male, is in Class 7. Scored 79 in Math, 60 in Science, 81 in English, 67 in History, and 56 in Computer, totaling 343 marks with Grade C. Attendance stands at 83.58 percent. Participates in Debate as an extracurricular activity.
Student S12668 named Carol Meadows, age 12, gender Male, is in Class 7. Scored 64 in Math, 76 in Science, 56 in English, 81 in History, and 75 in Computer, totaling 352 marks with Grade C. Attendance stands at 96.51 percent. Participates in Drama as an extracurricular activity.
Student S12672 named Mike Bell, age 11, gender Female, is in Class 7. Scored 76 in Math, 43 in Science, 64 in English, 37 in History, and 67 in Computer, totaling 287 marks with Grade D. Attendance stands at 64.27 percent. Participates in Football as an extracurricular activity.
Student S12682 named Sherry Burton, age 15, gender Female, is in Class 7. Scored 67 in Math, 97 in Science, 89 in English, 43 in History, and 95 in Computer, totaling 391 marks with Grade C. Attendance stands at 72.10 percent. Participates in Dance as an extracurricular activity.
Student S12688 named Eric Reynolds, age 14, gender Female, is in Class 7. Scored 98 in Math, 84 in Science, 55 in English, 42 in History, and 58 in Computer, totaling 337 marks with Grade C. Attendance stands at 89.37 percent. Participates in Music as an extracurricular activity.
Student S12713 named Rodney Patterson, age 15, gender Female, is in Class 7. Scored 74 in Math, 63 in Science, 78 in English, 37 in History, and 65 in Computer, totaling 317 marks with Grade C. Attendance stands at 76.27 percent. Participates in None as an extracurricular activity.
Student S12719 named Kim Moreno, age 10, gender Male, is in Class 7. Scored 79 in Math, 99 in Science, 94 in English, 66 in History, and 85 in Computer, totaling 423 marks with Grade B. Attendance stands at 96.02 percent. Participates in Music as an extracurricular activity.
Student S12721 named Colleen Mitchell, age 11, gender Female, is in Class 7. Scored 33 in Math, 52 in Science, 42 in English, 87 in History, and 96 in Computer, totaling 310 marks with Grade C. Attendance stands at 65.98 percent. Participates in Football as an extracurricular activity.
Student S12723 named Elizabeth Crosby, age 17, gender Female, is in Class 7. Scored 86 in Math, 47 in Science, 49 in English, 46 in History, and 91 in Computer, totaling 319 marks with Grade C. Attendance stands at 89.31 percent. Participates in Music as an extracurricular activity.
Student S12736 named Dawn Jacobson, age 13, gender Male, is in Class 7. Scored 96 in Math, 61 in Science, 86 in English, 98 in History, and 74 in Computer, totaling 415 marks with Grade B. Attendance stands at 91.62 percent. Participates in Dance as an extracurricular activity.
Student S12741 named John Foster MD, age 10, gender Male, is in Class 7. Scored 42 in Math, 61 in Science, 59 in English, 91 in History, and 79 in Computer, totaling 332 marks with Grade C. Attendance stands at 98.17 percent. Participates in None as an extracurricular activity.
Student S12755 named Doris Bradley, age 15, gender Female, is in Class 7. Scored 57 in Math, 94 in Science, 33 in English, 65 in History, and 48 in Computer, totaling 297 marks with Grade D. Attendance stands at 67.34 percent. Participates in Debate as an extracurricular activity.
Student S12761 named Anthony Newman, age 13, gender Male, is in Class 7. Scored 39 in Math, 44 in Science, 32 in English, 61 in History, and 79 in Computer, totaling 255 marks with Grade D. Attendance stands at 98.43 percent. Participates in None as an extracurricular activity.
Student S12763 named James Whitney, age 10, gender Male, is in Class 7. Scored 89 in Math, 55 in Science, 90 in English, 34 in History, and 53 in Computer, totaling 321 marks with Grade C. Attendance stands at 90.64 percent. Participates in None as an extracurricular activity.
Student S12772 named Donald Garcia, age 13, gender Female, is in Class 7. Scored 83 in Math, 62 in Science, 42 in English, 96 in History, and 75 in Computer, totaling 358 marks with Grade C. Attendance stands at 92.31 percent. Participates in Drama as an extracurricular activity.
Student S12774 named Kristen Schultz, age 13, gender Male, is in Class 7. Scored 42 in Math, 60 in Science, 91 in English, 32 in History, and 92 in Computer, totaling 317 marks with Grade C. Attendance stands at 84.46 percent. Participates in Dance as an extracurricular activity.
Student S12787 named Melanie Jones, age 14, gender Male, is in Class 7. Scored 30 in Math, 84 in Science, 53 in English, 58 in History, and 84 in Computer, totaling 309 marks with Grade C. Attendance stands at 80.31 percent. Participates in Drama as an extracurricular activity.
Student S12789 named Mr. Brett Walker Jr., age 15, gender Female, is in Class 7. Scored 95 in Math, 80 in Science, 88 in English, 69 in History, and 92 in Computer, totaling 424 marks with Grade B. Attendance stands at 62.21 percent. Participates in Music as an extracurricular activity.
Student S12791 named Victoria Walsh, age 10, gender Female, is in Class 7. Scored 79 in Math, 87 in Science, 95 in English, 54 in History, and 96 in Computer, totaling 411 marks with Grade B. Attendance stands at 79.52 percent. Participates in None as an extracurricular activity.
Student S12793 named Michele Munoz, age 12, gender Female, is in Class 7. Scored 47 in Math, 52 in Science, 49 in English, 39 in History, and 37 in Computer, totaling 224 marks with Grade D. Attendance stands at 78.62 percent. Participates in Music as an extracurricular activity.
Student S12798 named Dave Mcbride, age 15, gender Female, is in Class 7. Scored 33 in Math, 85 in Science, 95 in English, 31 in History, and 95 in Computer, totaling 339 marks with Grade C. Attendance stands at 74.52 percent. Participates in Drama as an extracurricular activity.
Student S12822 named Vanessa Fox, age 13, gender Male, is in Class 7. Scored 55 in Math, 69 in Science, 63 in English, 34 in History, and 99 in Computer, totaling 320 marks with Grade C. Attendance stands at 69.97 percent. Participates in Debate as an extracurricular activity.
Student S12833 named Bobby Schmidt, age 16, gender Male, is in Class 7. Scored 61 in Math, 96 in Science, 52 in English, 50 in History, and 42 in Computer, totaling 301 marks with Grade C. Attendance stands at 73.04 percent. Participates in Football as an extracurricular activity.
Student S12851 named Amanda Rodriguez, age 14, gender Female, is in Class 7. Scored 46 in Math, 77 in Science, 89 in English, 39 in History, and 30 in Computer, totaling 281 marks with Grade D. Attendance stands at 67.93 percent. Participates in Drama as an extracurricular activity.
Student S12855 named Laura Nielsen, age 15, gender Female, is in Class 7. Scored 78 in Math, 69 in Science, 39 in English, 96 in History, and 94 in Computer, totaling 376 marks with Grade C. Attendance stands at 79.34 percent. Participates in None as an extracurricular activity.
Student S12871 named Cheryl Rodriguez, age 10, gender Female, is in Class 7. Scored 90 in Math, 31 in Science, 70 in English, 96 in History, and 41 in Computer, totaling 328 marks with Grade C. Attendance stands at 74.65 percent. Participates in Music as an extracurricular activity.
Student S12883 named Carla Figueroa, age 12, gender Female, is in Class 7. Scored 98 in Math, 41 in Science, 67 in English, 63 in History, and 67 in Computer, totaling 336 marks with Grade C. Attendance stands at 80.44 percent. Participates in None as an extracurricular activity.
Student S12893 named Kelly Morgan, age 16, gender Female, is in Class 7. Scored 37 in Math, 35 in Science, 41 in English, 37 in History, and 86 in Computer, totaling 236 marks with Grade D. Attendance stands at 65.55 percent. Participates in None as an extracurricular activity.
Student S12900 named Gary Martin, age 14, gender Male, is in Class 7. Scored 70 in Math, 67 in Science, 35 in English, 90 in History, and 67 in Computer, totaling 329 marks with Grade C. Attendance stands at 93.03 percent. Participates in Dance as an extracurricular activity.
Student S12901 named Shannon Hubbard, age 14, gender Male, is in Class 7. Scored 70 in Math, 54 in Science, 42 in English, 72 in History, and 49 in Computer, totaling 287 marks with Grade D. Attendance stands at 97.62 percent. Participates in Drama as an extracurricular activity.
Student S12913 named Anthony Anderson, age 17, gender Male, is in Class 7. Scored 49 in Math, 55 in Science, 50 in English, 82 in History, and 97 in Computer, totaling 333 marks with Grade C. Attendance stands at 71.12 percent. Participates in Debate as an extracurricular activity.
Student S12917 named Jerome Mathis, age 17, gender Male, is in Class 7. Scored 62 in Math, 62 in Science, 40 in English, 72 in History, and 54 in Computer, totaling 290 marks with Grade D. Attendance stands at 68.18 percent. Participates in None as an extracurricular activity.
Student S12927 named Madison Smith, age 12, gender Female, is in Class 7. Scored 68 in Math, 84 in Science, 39 in English, 55 in History, and 88 in Computer, totaling 334 marks with Grade C. Attendance stands at 82.45 percent. Participates in Music as an extracurricular activity.
Student S12928 named Jill Lozano, age 12, gender Male, is in Class 7. Scored 87 in Math, 30 in Science, 47 in English, 92 in History, and 58 in Computer, totaling 314 marks with Grade C. Attendance stands at 64.79 percent. Participates in Debate as an extracurricular activity.
Student S12934 named Benjamin Taylor, age 10, gender Male, is in Class 7. Scored 55 in Math, 79 in Science, 32 in English, 86 in History, and 49 in Computer, totaling 301 marks with Grade C. Attendance stands at 94.21 percent. Participates in Music as an extracurricular activity.
Student S12943 named Jordan Lewis, age 11, gender Female, is in Class 7. Scored 61 in Math, 54 in Science, 79 in English, 96 in History, and 61 in Computer, totaling 351 marks with Grade C. Attendance stands at 86.99 percent. Participates in Debate as an extracurricular activity.
Student S12947 named William Byrd, age 11, gender Male, is in Class 7. Scored 58 in Math, 41 in Science, 60 in English, 74 in History, and 35 in Computer, totaling 268 marks with Grade D. Attendance stands at 82.41 percent. Participates in Drama as an extracurricular activity.
Student S12951 named Bridget Suarez, age 10, gender Female, is in Class 7. Scored 76 in Math, 35 in Science, 34 in English, 75 in History, and 46 in Computer, totaling 266 marks with Grade D. Attendance stands at 88.58 percent. Participates in None as an extracurricular activity.
Student S12955 named Kristin Robertson, age 17, gender Male, is in Class 7. Scored 44 in Math, 41 in Science, 51 in English, 69 in History, and 76 in Computer, totaling 281 marks with Grade D. Attendance stands at 95.18 percent. Participates in None as an extracurricular activity.
Student S12974 named Cynthia Smith, age 11, gender Female, is in Class 7. Scored 93 in Math, 85 in Science, 48 in English, 48 in History, and 83 in Computer, totaling 357 marks with Grade C. Attendance stands at 94.73 percent. Participates in Football as an extracurricular activity.
Student S12975 named Angel Pratt, age 16, gender Female, is in Class 7. Scored 73 in Math, 81 in Science, 70 in English, 85 in History, and 63 in Computer, totaling 372 marks with Grade C. Attendance stands at 63.18 percent. Participates in Music as an extracurricular activity.
Student S12984 named Tina Travis, age 16, gender Male, is in Class 7. Scored 51 in Math, 58 in Science, 85 in English, 92 in History, and 39 in Computer, totaling 325 marks with Grade C. Attendance stands at 84.38 percent. Participates in None as an extracurricular activity.
Student S12986 named Mark George, age 14, gender Female, is in Class 7. Scored 64 in Math, 74 in Science, 86 in English, 43 in History, and 95 in Computer, totaling 362 marks with Grade C. Attendance stands at 93.41 percent. Participates in Debate as an extracurricular activity.
Student S12987 named Kimberly Moore, age 17, gender Female, is in Class 7. Scored 69 in Math, 89 in Science, 41 in English, 94 in History, and 63 in Computer, totaling 356 marks with Grade C. Attendance stands at 96.14 percent. Participates in Dance as an extracurricular activity.
Student S13002 named Andrew Stevens, age 13, gender Male, is in Class 7. Scored 77 in Math, 96 in Science, 80 in English, 59 in History, and 86 in Computer, totaling 398 marks with Grade C. Attendance stands at 94.22 percent. Participates in Music as an extracurricular activity.
Student S13004 named David Stevens, age 14, gender Female, is in Class 7. Scored 57 in Math, 87 in Science, 88 in English, 47 in History, and 34 in Computer, totaling 313 marks with Grade C. Attendance stands at 93.28 percent. Participates in Football as an extracurricular activity.
Student S13008 named Marcus Haney, age 10, gender Female, is in Class 7. Scored 78 in Math, 97 in Science, 49 in English, 85 in History, and 55 in Computer, totaling 364 marks with Grade C. Attendance stands at 66.63 percent. Participates in Drama as an extracurricular activity.
Student S13009 named Allison Lopez, age 12, gender Female, is in Class 7. Scored 56 in Math, 91 in Science, 53 in English, 72 in History, and 47 in Computer, totaling 319 marks with Grade C. Attendance stands at 82.85 percent. Participates in Football as an extracurricular activity.
Student S13024 named Justin Gay, age 14, gender Male, is in Class 7. Scored 31 in Math, 75 in Science, 73 in English, 47 in History, and 67 in Computer, totaling 293 marks with Grade D. Attendance stands at 84.72 percent. Participates in Music as an extracurricular activity.
Student S13044 named Samantha Stout, age 17, gender Male, is in Class 7. Scored 90 in Math, 60 in Science, 63 in English, 95 in History, and 99 in Computer, totaling 407 marks with Grade B. Attendance stands at 85.16 percent. Participates in None as an extracurricular activity.
Student S13046 named Benjamin Jenkins, age 15, gender Female, is in Class 7. Scored 69 in Math, 98 in Science, 78 in English, 39 in History, and 86 in Computer, totaling 370 marks with Grade C. Attendance stands at 86.95 percent. Participates in None as an extracurricular activity.
Student S13050 named Christopher Sanchez, age 12, gender Male, is in Class 7. Scored 82 in Math, 48 in Science, 50 in English, 49 in History, and 35 in Computer, totaling 264 marks with Grade D. Attendance stands at 82.16 percent. Participates in Football as an extracurricular activity.
Student S13054 named Kevin Paul, age 12, gender Female, is in Class 7. Scored 50 in Math, 51 in Science, 75 in English, 46 in History, and 49 in Computer, totaling 271 marks with Grade D. Attendance stands at 86.35 percent. Participates in Football as an extracurricular activity.
Student S13084 named Terri Wilkinson, age 16, gender Male, is in Class 7. Scored 62 in Math, 79 in Science, 98 in English, 60 in History, and 67 in Computer, totaling 366 marks with Grade C. Attendance stands at 81.64 percent. Participates in Football as an extracurricular activity.
Student S13087 named Rebecca Harrington MD, age 14, gender Male, is in Class 7. Scored 66 in Math, 50 in Science, 72 in English, 51 in History, and 37 in Computer, totaling 276 marks with Grade D. Attendance stands at 82.14 percent. Participates in Debate as an extracurricular activity.
Student S13090 named Aaron Hall, age 13, gender Female, is in Class 7. Scored 88 in Math, 31 in Science, 88 in English, 99 in History, and 75 in Computer, totaling 381 marks with Grade C. Attendance stands at 65.68 percent. Participates in Drama as an extracurricular activity.
Student S13096 named Renee Carey, age 11, gender Female, is in Class 7. Scored 37 in Math, 52 in Science, 62 in English, 52 in History, and 85 in Computer, totaling 288 marks with Grade D. Attendance stands at 82.27 percent. Participates in Debate as an extracurricular activity.
Student S13099 named Bob Chambers, age 12, gender Female, is in Class 7. Scored 35 in Math, 87 in Science, 53 in English, 96 in History, and 93 in Computer, totaling 364 marks with Grade C. Attendance stands at 77.14 percent. Participates in Debate as an extracurricular activity.
Student S13104 named Mr. Antonio Vaughn MD, age 10, gender Female, is in Class 7. Scored 90 in Math, 51 in Science, 34 in English, 68 in History, and 69 in Computer, totaling 312 marks with Grade C. Attendance stands at 81.27 percent. Participates in None as an extracurricular activity.
Student S13107 named Alexander Morales, age 10, gender Female, is in Class 7. Scored 85 in Math, 49 in Science, 30 in English, 71 in History, and 30 in Computer, totaling 265 marks with Grade D. Attendance stands at 72.34 percent. Participates in Debate as an extracurricular activity.
Student S13111 named Robin Cox, age 16, gender Male, is in Class 7. Scored 76 in Math, 41 in Science, 30 in English, 87 in History, and 60 in Computer, totaling 294 marks with Grade D. Attendance stands at 61.71 percent. Participates in Dance as an extracurricular activity.
Student S13136 named Sarah Riley, age 16, gender Female, is in Class 7. Scored 64 in Math, 52 in Science, 45 in English, 72 in History, and 34 in Computer, totaling 267 marks with Grade D. Attendance stands at 66.14 percent. Participates in Drama as an extracurricular activity.
Student S13148 named Wanda Castro, age 14, gender Female, is in Class 7. Scored 51 in Math, 63 in Science, 64 in English, 73 in History, and 47 in Computer, totaling 298 marks with Grade D. Attendance stands at 82.92 percent. Participates in Dance as an extracurricular activity.
Student S13162 named Jessica Jones, age 11, gender Female, is in Class 7. Scored 62 in Math, 86 in Science, 74 in English, 94 in History, and 61 in Computer, totaling 377 marks with Grade C. Attendance stands at 96.77 percent. Participates in Dance as an extracurricular activity.
Student S13167 named Jake Sloan, age 17, gender Female, is in Class 7. Scored 41 in Math, 38 in Science, 73 in English, 32 in History, and 90 in Computer, totaling 274 marks with Grade D. Attendance stands at 93.10 percent. Participates in Football as an extracurricular activity.
Student S13169 named Terrence Ramos, age 15, gender Male, is in Class 7. Scored 91 in Math, 30 in Science, 53 in English, 64 in History, and 89 in Computer, totaling 327 marks with Grade C. Attendance stands at 78.27 percent. Participates in Music as an extracurricular activity.
Student S13177 named Sheila Scott, age 15, gender Female, is in Class 7. Scored 76 in Math, 58 in Science, 99 in English, 91 in History, and 69 in Computer, totaling 393 marks with Grade C. Attendance stands at 91.28 percent. Participates in Football as an extracurricular activity.
Student S13178 named Lynn Zimmerman, age 12, gender Male, is in Class 7. Scored 82 in Math, 48 in Science, 86 in English, 47 in History, and 72 in Computer, totaling 335 marks with Grade C. Attendance stands at 76.90 percent. Participates in None as an extracurricular activity.
Student S13185 named Jennifer Baker, age 10, gender Male, is in Class 7. Scored 49 in Math, 50 in Science, 72 in English, 43 in History, and 80 in Computer, totaling 294 marks with Grade D. Attendance stands at 65.69 percent. Participates in None as an extracurricular activity.
Student S13194 named Brian Myers, age 16, gender Female, is in Class 7. Scored 55 in Math, 39 in Science, 80 in English, 69 in History, and 74 in Computer, totaling 317 marks with Grade C. Attendance stands at 78.61 percent. Participates in Drama as an extracurricular activity.
Student S13197 named Stacy Davis, age 14, gender Female, is in Class 7. Scored 61 in Math, 42 in Science, 66 in English, 86 in History, and 33 in Computer, totaling 288 marks with Grade D. Attendance stands at 90.90 percent. Participates in Football as an extracurricular activity.
Student S13199 named Jenna Tucker, age 17, gender Female, is in Class 7. Scored 53 in Math, 76 in Science, 84 in English, 97 in History, and 84 in Computer, totaling 394 marks with Grade C. Attendance stands at 94.42 percent. Participates in None as an extracurricular activity.
Student S13210 named Glenda Chavez, age 12, gender Female, is in Class 7. Scored 97 in Math, 41 in Science, 75 in English, 40 in History, and 91 in Computer, totaling 344 marks with Grade C. Attendance stands at 84.08 percent. Participates in Debate as an extracurricular activity.
Student S13216 named Joe Rose, age 16, gender Female, is in Class 7. Scored 53 in Math, 70 in Science, 95 in English, 56 in History, and 47 in Computer, totaling 321 marks with Grade C. Attendance stands at 72.51 percent. Participates in Dance as an extracurricular activity.
Student S13219 named Robert Beck, age 11, gender Female, is in Class 7. Scored 46 in Math, 85 in Science, 36 in English, 72 in History, and 32 in Computer, totaling 271 marks with Grade D. Attendance stands at 71.36 percent. Participates in Football as an extracurricular activity.
Student S13221 named Jessica Smith DDS, age 17, gender Female, is in Class 7. Scored 91 in Math, 84 in Science, 83 in English, 98 in History, and 89 in Computer, totaling 445 marks with Grade B. Attendance stands at 63.44 percent. Participates in Debate as an extracurricular activity.
Student S13232 named Deborah Davis, age 17, gender Female, is in Class 7. Scored 80 in Math, 30 in Science, 69 in English, 30 in History, and 49 in Computer, totaling 258 marks with Grade D. Attendance stands at 90.89 percent. Participates in Debate as an extracurricular activity.
Student S13244 named Oscar Cruz, age 17, gender Male, is in Class 7. Scored 54 in Math, 90 in Science, 72 in English, 82 in History, and 88 in Computer, totaling 386 marks with Grade C. Attendance stands at 68.05 percent. Participates in Football as an extracurricular activity.
Student S13253 named Debra Best, age 17, gender Male, is in Class 7. Scored 82 in Math, 70 in Science, 37 in English, 70 in History, and 79 in Computer, totaling 338 marks with Grade C. Attendance stands at 94.74 percent. Participates in Football as an extracurricular activity.
Student S13255 named Nicole Sanders, age 11, gender Male, is in Class 7. Scored 76 in Math, 87 in Science, 68 in English, 80 in History, and 82 in Computer, totaling 393 marks with Grade C. Attendance stands at 61.73 percent. Participates in Drama as an extracurricular activity.
Student S13263 named Trevor Potter, age 14, gender Female, is in Class 7. Scored 43 in Math, 49 in Science, 43 in English, 31 in History, and 95 in Computer, totaling 261 marks with Grade D. Attendance stands at 98.54 percent. Participates in Drama as an extracurricular activity.
Student S13287 named Daniel Burnett, age 16, gender Male, is in Class 7. Scored 74 in Math, 91 in Science, 89 in English, 46 in History, and 34 in Computer, totaling 334 marks with Grade C. Attendance stands at 77.04 percent. Participates in None as an extracurricular activity.
Student S13289 named Cheryl Mcdonald, age 14, gender Male, is in Class 7. Scored 34 in Math, 93 in Science, 90 in English, 94 in History, and 44 in Computer, totaling 355 marks with Grade C. Attendance stands at 86.16 percent. Participates in Drama as an extracurricular activity.
Student S13291 named Carl Perry, age 15, gender Male, is in Class 7. Scored 36 in Math, 72 in Science, 44 in English, 77 in History, and 52 in Computer, totaling 281 marks with Grade D. Attendance stands at 68.98 percent. Participates in None as an extracurricular activity.
Student S13292 named Robert Sanders, age 12, gender Male, is in Class 7. Scored 92 in Math, 73 in Science, 90 in English, 52 in History, and 38 in Computer, totaling 345 marks with Grade C. Attendance stands at 93.82 percent. Participates in Dance as an extracurricular activity.
Student S13293 named Timothy Webb, age 13, gender Female, is in Class 7. Scored 61 in Math, 80 in Science, 93 in English, 92 in History, and 30 in Computer, totaling 356 marks with Grade C. Attendance stands at 70.09 percent. Participates in Football as an extracurricular activity.
Student S13307 named Jessica Mendoza, age 16, gender Male, is in Class 7. Scored 94 in Math, 57 in Science, 32 in English, 44 in History, and 96 in Computer, totaling 323 marks with Grade C. Attendance stands at 94.27 percent. Participates in Debate as an extracurricular activity.
Student S13310 named Clayton Torres, age 10, gender Female, is in Class 7. Scored 51 in Math, 44 in Science, 39 in English, 98 in History, and 47 in Computer, totaling 279 marks with Grade D. Attendance stands at 74.40 percent. Participates in Drama as an extracurricular activity.
Student S13321 named Phillip Garcia, age 10, gender Male, is in Class 7. Scored 84 in Math, 55 in Science, 33 in English, 42 in History, and 82 in Computer, totaling 296 marks with Grade D. Attendance stands at 66.93 percent. Participates in Debate as an extracurricular activity.
Student S13323 named Kevin Martin, age 12, gender Female, is in Class 7. Scored 89 in Math, 76 in Science, 96 in English, 93 in History, and 75 in Computer, totaling 429 marks with Grade B. Attendance stands at 89.90 percent. Participates in Football as an extracurricular activity.
Student S13325 named Kelly Cruz, age 10, gender Male, is in Class 7. Scored 53 in Math, 89 in Science, 40 in English, 85 in History, and 39 in Computer, totaling 306 marks with Grade C. Attendance stands at 71.32 percent. Participates in Football as an extracurricular activity.
Student S13328 named Christopher Butler, age 15, gender Male, is in Class 7. Scored 87 in Math, 77 in Science, 88 in English, 53 in History, and 36 in Computer, totaling 341 marks with Grade C. Attendance stands at 82.53 percent. Participates in None as an extracurricular activity.
Student S13343 named Martha Beasley, age 17, gender Female, is in Class 7. Scored 91 in Math, 81 in Science, 69 in English, 84 in History, and 71 in Computer, totaling 396 marks with Grade C. Attendance stands at 63.37 percent. Participates in Debate as an extracurricular activity.
Student S13358 named Ricky Barnes, age 13, gender Male, is in Class 7. Scored 67 in Math, 37 in Science, 63 in English, 47 in History, and 72 in Computer, totaling 286 marks with Grade D. Attendance stands at 72.45 percent. Participates in None as an extracurricular activity.
Student S13364 named Steven Wheeler, age 12, gender Male, is in Class 7. Scored 34 in Math, 53 in Science, 55 in English, 72 in History, and 89 in Computer, totaling 303 marks with Grade C. Attendance stands at 74.14 percent. Participates in Debate as an extracurricular activity.
Student S13384 named Brittney Watkins, age 17, gender Male, is in Class 7. Scored 55 in Math, 37 in Science, 89 in English, 64 in History, and 97 in Computer, totaling 342 marks with Grade C. Attendance stands at 97.26 percent. Participates in Music as an extracurricular activity.
Student S13391 named Nathan Johnson, age 17, gender Female, is in Class 7. Scored 92 in Math, 67 in Science, 73 in English, 95 in History, and 40 in Computer, totaling 367 marks with Grade C. Attendance stands at 76.79 percent. Participates in Dance as an extracurricular activity.
Student S13392 named Gary Young, age 12, gender Female, is in Class 7. Scored 73 in Math, 96 in Science, 68 in English, 52 in History, and 77 in Computer, totaling 366 marks with Grade C. Attendance stands at 94.33 percent. Participates in Debate as an extracurricular activity.
Student S13399 named Justin Orr, age 13, gender Male, is in Class 7. Scored 46 in Math, 48 in Science, 57 in English, 72 in History, and 30 in Computer, totaling 253 marks with Grade D. Attendance stands at 64.63 percent. Participates in Music as an extracurricular activity.
Student S13405 named Adrian Richmond, age 14, gender Female, is in Class 7. Scored 86 in Math, 71 in Science, 42 in English, 48 in History, and 38 in Computer, totaling 285 marks with Grade D. Attendance stands at 71.51 percent. Participates in None as an extracurricular activity.
Student S13409 named Jennifer Jackson, age 15, gender Female, is in Class 7. Scored 30 in Math, 47 in Science, 56 in English, 45 in History, and 43 in Computer, totaling 221 marks with Grade D. Attendance stands at 98.11 percent. Participates in Football as an extracurricular activity.
Student S13410 named Kim Clark, age 13, gender Male, is in Class 7. Scored 90 in Math, 96 in Science, 87 in English, 53 in History, and 57 in Computer, totaling 383 marks with Grade C. Attendance stands at 97.68 percent. Participates in Music as an extracurricular activity.
Student S13413 named Justin Collins, age 12, gender Female, is in Class 7. Scored 85 in Math, 58 in Science, 57 in English, 69 in History, and 48 in Computer, totaling 317 marks with Grade C. Attendance stands at 85.70 percent. Participates in Football as an extracurricular activity.
Student S13418 named Fred Leon, age 12, gender Male, is in Class 7. Scored 78 in Math, 46 in Science, 57 in English, 53 in History, and 69 in Computer, totaling 303 marks with Grade C. Attendance stands at 86.90 percent. Participates in Drama as an extracurricular activity.
Student S13439 named Michael Porter, age 16, gender Male, is in Class 7. Scored 55 in Math, 98 in Science, 82 in English, 61 in History, and 37 in Computer, totaling 333 marks with Grade C. Attendance stands at 80.08 percent. Participates in Music as an extracurricular activity.
Student S13442 named Phillip Chandler, age 11, gender Female, is in Class 7. Scored 55 in Math, 76 in Science, 35 in English, 76 in History, and 80 in Computer, totaling 322 marks with Grade C. Attendance stands at 97.85 percent. Participates in Dance as an extracurricular activity.
Student S13449 named Thomas Fuller, age 15, gender Female, is in Class 7. Scored 80 in Math, 35 in Science, 95 in English, 87 in History, and 47 in Computer, totaling 344 marks with Grade C. Attendance stands at 68.97 percent. Participates in Dance as an extracurricular activity.
Student S13451 named Steven Gomez, age 12, gender Male, is in Class 7. Scored 89 in Math, 43 in Science, 39 in English, 96 in History, and 51 in Computer, totaling 318 marks with Grade C. Attendance stands at 63.95 percent. Participates in Drama as an extracurricular activity.
Student S13463 named Susan Ward, age 16, gender Male, is in Class 7. Scored 69 in Math, 76 in Science, 77 in English, 52 in History, and 91 in Computer, totaling 365 marks with Grade C. Attendance stands at 83.70 percent. Participates in Debate as an extracurricular activity.
Student S13475 named Vernon Cobb, age 13, gender Female, is in Class 7. Scored 77 in Math, 41 in Science, 62 in English, 50 in History, and 49 in Computer, totaling 279 marks with Grade D. Attendance stands at 68.91 percent. Participates in Dance as an extracurricular activity.
Student S13484 named Andrea Nelson, age 16, gender Female, is in Class 7. Scored 95 in Math, 40 in Science, 92 in English, 82 in History, and 32 in Computer, totaling 341 marks with Grade C. Attendance stands at 88.28 percent. Participates in Debate as an extracurricular activity.
Student S13505 named Paula Gould, age 16, gender Female, is in Class 7. Scored 73 in Math, 32 in Science, 71 in English, 42 in History, and 41 in Computer, totaling 259 marks with Grade D. Attendance stands at 98.17 percent. Participates in Debate as an extracurricular activity.
Student S13512 named Robert Rich, age 15, gender Male, is in Class 7. Scored 30 in Math, 54 in Science, 71 in English, 73 in History, and 36 in Computer, totaling 264 marks with Grade D. Attendance stands at 90.58 percent. Participates in Dance as an extracurricular activity.
Student S13523 named Cynthia Underwood, age 10, gender Female, is in Class 7. Scored 56 in Math, 57 in Science, 75 in English, 50 in History, and 53 in Computer, totaling 291 marks with Grade D. Attendance stands at 63.51 percent. Participates in None as an extracurricular activity.
Student S13528 named Travis Griffin, age 15, gender Male, is in Class 7. Scored 54 in Math, 62 in Science, 34 in English, 90 in History, and 61 in Computer, totaling 301 marks with Grade C. Attendance stands at 91.42 percent. Participates in None as an extracurricular activity.
Student S13532 named Karen Duncan, age 15, gender Female, is in Class 7. Scored 72 in Math, 54 in Science, 85 in English, 62 in History, and 47 in Computer, totaling 320 marks with Grade C. Attendance stands at 86.01 percent. Participates in Music as an extracurricular activity.
Student S13556 named Michael Henry DDS, age 10, gender Male, is in Class 7. Scored 69 in Math, 52 in Science, 66 in English, 78 in History, and 30 in Computer, totaling 295 marks with Grade D. Attendance stands at 68.94 percent. Participates in Debate as an extracurricular activity.
Student S13561 named Marissa Gallagher, age 16, gender Male, is in Class 7. Scored 95 in Math, 78 in Science, 78 in English, 82 in History, and 99 in Computer, totaling 432 marks with Grade B. Attendance stands at 66.33 percent. Participates in None as an extracurricular activity.
