Student S10005 named Tanya Juarez, age 13, gender Male, is in Class 6. Scored 80 in Math, 95 in Science, 38 in English, 66 in History, and 31 in Computer, totaling 310 marks with Grade C. Attendance stands at 72.87 percent. Participates in None as an extracurricular activity.
Student S11920 named Stephanie Richards, age 16, gender Male, is in Class 6. Scored 71 in Math, 49 in Science, 44 in English, 76 in History, and 80 in Computer, totaling 320 marks with Grade C. Attendance stands at 63.98 percent. Participates in Drama as an extracurricular activity.
Student S11953 named Brandon Lozano, age 12, gender Female, is in Class 6. Scored 94 in Math, 92 in Science, 30 in English, 56 in History, and 52 in Computer, totaling 324 marks with Grade C. Attendance stands at 96.34 percent. Participates in Football as an extracurricular activity.
Student S11954 named Michael Smith, age 17, gender Female, is in Class 6. Scored 83 in Math, 46 in Science, 64 in English, 93 in History, and 43 in Computer, totaling 329 marks with Grade C. Attendance stands at 70.54 percent. Participates in Football as an extracurricular activity.
Student S11959 named Stephanie Glenn, age 16, gender Female, is in Class 6. Scored 66 in Math, 90 in Science, 58 in English, 95 in History, and 50 in Computer, totaling 359 marks with Grade C. Attendance stands at 77.98 percent. Participates in Dance as an extracurricular activity.
Student S11966 named Justin Booth, age 17, gender Male, is in Class 6. Scored 78 in Math, 71 in Science, 56 in English, 76 in History, and 60 in Computer, totaling 341 marks with Grade C. Attendance stands at 90.25 percent. Participates in Music as an extracurricular activity.
Student S11967 named John Houston, age 11, gender Male, is in Class 6. Scored 87 in Math, 31 in Science, 57 in English, 48 in History, and 80 in Computer, totaling 303 marks with Grade C. Attendance stands at 61.19 percent. Participates in None as an extracurricular activity.
Student S11989 named Samantha Hernandez, age 10, gender Male, is in Class 6. Scored 63 in Math, 36 in Science, 61 in English, 45 in History, and 67 in Computer, totaling 272 marks with Grade D. Attendance stands at 89.87 percent. Participates in Dance as an extracurricular activity.
Student S12001 named Amber Daniel, age 12, gender Male, is in Class 6. Scored 78 in Math, 73 in Science, 90 in English, 61 in History, and 65 in Computer, totaling 367 marks with Grade C. Attendance stands at 81.16 percent. Participates in Music as an extracurricular activity.
Student S12007 named Mark Tucker, age 15, gender Female, is in Class 6. Scored 36 in Math, 61 in Science, 48 in English, 97 in History, and 76 in Computer, totaling 318 marks with Grade C. Attendance stands at 65.19 percent. Participates in None as an extracurricular activity.
Student S12010 named Kathryn Watson, age 15, gender Male, is in Class 6. Scored 95 in Math, 31 in Science, 96 in English, 74 in History, and 58 in Computer, totaling 354 marks with Grade C. Attendance stands at 83.90 percent. Participates in Football as an extracurricular activity.
Student S12018 named Jonathan Nguyen, age 10, gender Male, is in Class 6. Scored 75 in Math, 56 in Science, 88 in English, 45 in History, and 80 in Computer, totaling 344 marks with Grade C. Attendance stands at 86.30 percent. Participates in Football as an extracurricular activity.
Student S12019 named April Lopez, age 16, gender Female, is in Class 6. Scored 79 in Math, 75 in Science, 90 in English, 82 in History, and 40 in Computer, totaling 366 marks with Grade C. Attendance stands at 70.45 percent. Participates in Football as an extracurricular activity.
Student S12025 named Timothy Campbell, age 10, gender Female, is in Class 6. Scored 72 in Math, 89 in Science, 72 in English, 72 in History, and 61 in Computer, totaling 366 marks with Grade C. Attendance stands at 86.65 percent. Participates in None as an extracurricular activity.
Student S12030 named Rebecca Stanley, age 11, gender Male, is in Class 6. Scored 89 in Math, 65 in Science, 59 in English, 81 in History, and 88 in Computer, totaling 382 marks with Grade C. Attendance stands at 75.52 percent. Participates in Drama as an extracurricular activity.
Student S12032 named Anna Johnson, age 10, gender Male, is in Class 6. Scored 54 in Math, 66 in Science, 88 in English, 84 in History, and 89 in Computer, totaling 381 marks with Grade C. Attendance stands at 92.07 percent. Participates in Dance as an extracurricular activity.
Student S12038 named Peggy Mueller, age 17, gender Male, is in Class 6. Scored 30 in Math, 99 in Science, 82 in English, 93 in History, and 67 in Computer, totaling 371 marks with Grade C. Attendance stands at 99.90 percent. Participates in Debate as an extracurricular activity.
Student S12047 named Scott Baker DDS, age 11, gender Male, is in Class 6. Scored 72 in Math, 96 in Science, 75 in English, 49 in History, and 74 in Computer, totaling 366 marks with Grade C. Attendance stands at 74.88 percent. Participates in Drama as an extracurricular activity.
Student S12055 named Jessica Clayton, age 14, gender Female, is in Class 6. Scored 97 in Math, 53 in Science, 93 in English, 97 in History, and 64 in Computer, totaling 404 marks with Grade B. Attendance stands at 71.36 percent. Participates in Debate as an extracurricular activity.
Student S12062 named Heather Cross PhD, age 14, gender Female, is in Class 6. Scored 58 in Math, 36 in Science, 88 in English, 50 in History, and 80 in Computer, totaling 312 marks with Grade C. Attendance stands at 90.57 percent. Participates in Music as an extracurricular activity.
Student S12071 named Thomas Butler, age 13, gender Male, is in Class 6. Scored 53 in Math, 94 in Science, 92 in English, 87 in History, and 68 in Computer, totaling 394 marks with Grade C. Attendance stands at 86.43 percent. Participates in Music as an extracurricular activity.
Student S12074 named Rhonda Johnson, age 13, gender Male, is in Class 6. Scored 68 in Math, 66 in Science, 66 in English, 62 in History, and 37 in Computer, totaling 299 marks with Grade D. Attendance stands at 64.81 percent. Participates in Football as an extracurricular activity.
Student S12079 named Jessica Mccarty, age 17, gender Male, is in Class 6. Scored 48 in Math, 35 in Science, 45 in English, 61 in History, and 80 in Computer, totaling 269 marks with Grade D. Attendance stands at 71.67 percent. Participates in Dance as an extracurricular activity.
Student S12084 named Margaret Huffman, age 14, gender Male, is in Class 6. Scored 96 in Math, 43 in Science, 75 in English, 59 in History, and 52 in Computer, totaling 325 marks with Grade C. Attendance stands at 66.58 percent. Participates in Football as an extracurricular activity.
Student S12085 named Felicia Johnson, age 14, gender Female, is in Class 6. Scored 96 in Math, 93 in Science, 94 in English, 90 in History, and 87 in Computer, totaling 460 marks with Grade A. Attendance stands at 96.78 percent. Participates in Football as an extracurricular activity.
Student S12129 named Gail Stone, age 10, gender Female, is in Class 6. Scored 66 in Math, 72 in Science, 46 in English, 40 in History, and 84 in Computer, totaling 308 marks with Grade C. Attendance stands at 98.17 percent. Participates in Debate as an extracurricular activity.
Student S12132 named James Wiggins, age 11, gender Male, is in Class 6. Scored 97 in Math, 69 in Science, 77 in English, 60 in History, and 71 in Computer, totaling 374 marks with Grade C. Attendance stands at 90.19 percent. Participates in Music as an extracurricular activity.
Student S12137 named Terri Collins, age 10, gender Male, is in Class 6. Scored 39 in Math, 34 in Science, 69 in English, 36 in History, and 59 in Computer, totaling 237 marks with Grade D. Attendance stands at 94.85 percent. Participates in Drama as an extracurricular activity.
Student S12138 named Jessica Sanders, age 13, gender Female, is in Class 6. Scored 60 in Math, 80 in Science, 44 in English, 50 in History, and 31 in Computer, totaling 265 marks with Grade D. Attendance stands at 92.52 percent. Participates in Debate as an extracurricular activity.
Student S12145 named Jeanette Williams, age 12, gender Female, is in Class 6. Scored 74 in Math, 98 in Science, 72 in English, 94 in History, and 80 in Computer, totaling 418 marks with Grade B. Attendance stands at 90.10 percent. Participates in None as an extracurricular activity.
Student S12150 named Elizabeth Gibson, age 17, gender Female, is in Class 6. Scored 32 in Math, 74 in Science, 53 in English, 68 in History, and 90 in Computer, totaling 317 marks with Grade C. Attendance stands at 65.75 percent. Participates in None as an extracurricular activity.
Student S12157 named John Patterson, age 15, gender Male, is in Class 6. Scored 61 in Math, 69 in Science, 94 in English, 79 in History, and 51 in Computer, totaling 354 marks with Grade C. Attendance stands at 68.67 percent. Participates in Drama as an extracurricular activity.
Student S12160 named Gerald Aguilar, age 15, gender Female, is in Class 6. Scored 68 in Math, 64 in Science, 78 in English, 38 in History, and 90 in Computer, totaling 338 marks with Grade C. Attendance stands at 81.04 percent. Participates in None as an extracurricular activity.
Student S12164 named Susan Johnson, age 11, gender Female, is in Class 6. Scored 30 in Math, 58 in Science, 90 in English, 43 in History, and 43 in Computer, totaling 264 marks with Grade D. Attendance stands at 83.50 percent. Participates in Debate as an extracurricular activity.
Student S12167 named Donna Brennan, age 16, gender Male, is in Class 6. Scored 90 in Math, 71 in Science, 39 in English, 32 in History, and 34 in Computer, totaling 266 marks with Grade D. Attendance stands at 87.47 percent. Participates in Dance as an extracurricular activity.
Student S12186 named Stephanie Myers, age 16, gender Female, is in Class 6. Scored 81 in Math, 55 in Science, 98 in English, 88 in History, and 66 in Computer, totaling 388 marks with Grade C. Attendance stands at 65.30 percent. Participates in Music as an extracurricular activity.
Student S12188 named Thomas Thomas, age 13, gender Male, is in Class 6. Scored 38 in Math, 84 in Science, 50 in English, 87 in History, and 36 in Computer, totaling 295 marks with Grade D. Attendance stands at 93.67 percent. Participates in Dance as an extracurricular activity.
Student S12190 named James Mcguire, age 12, gender Male, is in Class 6. Scored 68 in Math, 55 in Science, 58 in English, 66 in History, and 38 in Computer, totaling 285 marks with Grade D. Attendance stands at 61.95 percent. Participates in Dance as an extracurricular activity.
Student S12197 named Olivia Caldwell, age 11, gender Female, is in Class 6. Scored 88 in Math, 81 in Science, 98 in English, 91 in History, and 34 in Computer, totaling 392 marks with Grade C. Attendance stands at 72.33 percent. Participates in None as an extracurricular activity.
Student S12204 named Stacey Gonzales, age 15, gender Male, is in Class 6. Scored 62 in Math, 55 in Science, 75 in English, 39 in History, and 96 in Computer, totaling 327 marks with Grade C. Attendance stands at 65.18 percent. Participates in Music as an extracurricular activity.
Student S12211 named Daniel Wilkinson, age 11, gender Male, is in Class 6. Scored 69 in Math, 89 in Science, 57 in English, 48 in History, and 76 in Computer, totaling 339 marks with Grade C. Attendance stands at 99.05 percent. Participates in Drama as an extracurricular activity.
Student S12217 named Danielle Taylor, age 10, gender Male, is in Class 6. Scored 37 in Math, 92 in Science, 77 in English, 49 in History, and 88 in Computer, totaling 343 marks with Grade C. Attendance stands at 98.33 percent. Participates in Football as an extracurricular activity.
Student S12223 named Jamie Love, age 17, gender Male, is in Class 6. Scored 70 in Math, 61 in Science, 96 in English, 30 in History, and 50 in Computer, totaling 307 marks with Grade C. Attendance stands at 99.11 percent. Participates in Dance as an extracurricular activity.
Student S12228 named William Franklin, age 15, gender Female, is in Class 6. Scored 67 in Math, 46 in Science, 34 in English, 99 in History, and 43 in Computer, totaling 289 marks with Grade D. Attendance stands at 61.40 percent. Participates in None as an extracurricular activity.
Student S12233 named Meghan Hernandez, age 16, gender Female, is in Class 6. Scored 39 in Math, 86 in Science, 84 in English, 56 in History, and 78 in Computer, totaling 343 marks with Grade C. Attendance stands at 81.63 percent. Participates in Dance as an extracurricular activity.
Student S12236 named Cameron Peters, age 13, gender Female, is in Class 6. Scored 94 in Math, 33 in Science, 39 in English, 46 in History, and 83 in Computer, totaling 295 marks with Grade D. Attendance stands at 84.21 percent. Participates in Music as an extracurricular activity.
Student S12254 named James Johnson, age 15, gender Male, is in Class 6. Scored 39 in Math, 39 in Science, 72 in English, 37 in History, and 35 in Computer, totaling 222 marks with Grade D. Attendance stands at 75.96 percent. Participates in Football as an extracurricular activity.
Student S12257 named Mark Daniels, age 16, gender Male, is in Class 6. Scored 77 in Math, 57 in Science, 96 in English, 59 in History, and 68 in Computer, totaling 357 marks with Grade C. Attendance stands at 74.58 percent. Participates in Dance as an extracurricular activity.
Student S12264 named Rhonda Alexander, age 16, gender Male, is in Class 6. Scored 50 in Math, 44 in Science, 85 in English, 53 in History, and 84 in Computer, totaling 316 marks with Grade C. Attendance stands at 96.28 percent. Participates in Football as an extracurricular activity.
Student S12272 named Matthew Vega, age 11, gender Female, is in Class 6. Scored 66 in Math, 88 in Science, 68 in English, 59 in History, and 46 in Computer, totaling 327 marks with Grade C. Attendance stands at 98.97 percent. Participates in Debate as an extracurricular activity.
Student S12283 named Tammy Green, age 14, gender Male, is in Class 6. Scored 51 in Math, 66 in Science, 36 in English, 70 in History, and 37 in Computer, totaling 260 marks with Grade D. Attendance stands at 69.64 percent. Participates in Football as an extracurricular activity.
Student S12289 named Alejandro Davidson, age 14, gender Male, is in Class 6. Scored 37 in Math, 75 in Science, 82 in English, 35 in History, and 94 in Computer, totaling 323 marks with Grade C. Attendance stands at 93.19 percent. Participates in Music as an extracurricular activity.
Student S12290 named Deborah Hartman, age 15, gender Female, is in Class 6. Scored 95 in Math, 32 in Science, 98 in English, 94 in History, and 48 in Computer, totaling 367 marks with Grade C. Attendance stands at 88.91 percent. Participates in None as an extracurricular activity.
Student S12296 named Arthur Strickland, age 15, gender Female, is in Class 6. Scored 60 in Math, 34 in Science, 88 in English, 35 in History, and 68 in Computer, totaling 285 marks with Grade D. Attendance stands at 71.68 percent. Participates in Debate as an extracurricular activity.
Student S12305 named Michael Sparks, age 17, gender Female, is in Class 6. Scored 30 in Math, 97 in Science, 41 in English, 70 in History, and 95 in Computer, totaling 333 marks with Grade C. Attendance stands at 61.85 percent. Participates in Debate as an extracurricular activity.
Student S12323 named Dr. Brandy Roberts, age 11, gender Female, is in Class 6. Scored 92 in Math, 84 in Science, 87 in English, 69 in History, and 71 in Computer, totaling 403 marks with Grade B. Attendance stands at 77.54 percent. Participates in None as an extracurricular activity.
Student S12327 named Karen Torres, age 15, gender Male, is in Class 6. Scored 44 in Math, 69 in Science, 46 in English, 48 in History, and 94 in Computer, totaling 301 marks with Grade C. Attendance stands at 77.10 percent. Participates in Debate as an extracurricular activity.
Student S12335 named Nathan Johnson, age 13, gender Male, is in Class 6. Scored 57 in Math, 78 in Science, 57 in English, 79 in History, and 33 in Computer, totaling 304 marks with Grade C. Attendance stands at 99.50 percent. Participates in None as an extracurricular activity.
Student S12340 named Paul Butler, age 16, gender Male, is in Class 6. Scored 34 in Math, 66 in Science, 92 in English, 80 in History, and 59 in Computer, totaling 331 marks with Grade C. Attendance stands at 79.26 percent. Participates in Football as an extracurricular activity.
Student S12347 named Elizabeth Cooper, age 16, gender Male, is in Class 6. Scored 92 in Math, 53 in Science, 79 in English, 91 in History, and 30 in Computer, totaling 345 marks with Grade C. Attendance stands at 82.21 percent. Participates in Drama as an extracurricular activity.
Student S12359 named Roger Horton, age 12, gender Male, is in Class 6. Scored 42 in Math, 39 in Science, 57 in English, 82 in History, and 67 in Computer, totaling 287 marks with Grade D. Attendance stands at 89.36 percent. Participates in Dance as an extracurricular activity.
Student S12362 named Robert Green, age 12, gender Female, is in Class 6. Scored 48 in Math, 37 in Science, 38 in English, 47 in History, and 37 in Computer, totaling 207 marks with Grade D. Attendance stands at 93.08 percent. Participates in Dance as an extracurricular activity.
Student S12397 named Virginia Obrien, age 17, gender Male, is in Class 6. Scored 83 in Math, 99 in Science, 89 in English, 49 in History, and 62 in Computer, totaling 382 marks with Grade C. Attendance stands at 81.98 percent. Participates in Debate as an extracurricular activity.
Student S12420 named Perry Fuller, age 16, gender Female, is in Class 6. Scored 62 in Math, 97 in Science, 97 in English, 30 in History, and 96 in Computer, totaling 382 marks with Grade C. Attendance stands at 76.06 percent. Participates in Football as an extracurricular activity.
Student S12428 named Lisa Morris, age 11, gender Female, is in Class 6. Scored 41 in Math, 95 in Science, 36 in English, 40 in History, and 93 in Computer, totaling 305 marks with Grade C. Attendance stands at 73.71 percent. Participates in Debate as an extracurricular activity.
Student S12431 named Maria Andersen, age 17, gender Male, is in Class 6. Scored 70 in Math, 76 in Science, 56 in English, 53 in History, and 92 in Computer, totaling 347 marks with Grade C. Attendance stands at 78.36 percent. Participates in Debate as an extracurricular activity.
Student S12437 named Robert Hernandez, age 13, gender Male, is in Class 6. Scored 46 in Math, 39 in Science, 58 in English, 44 in History, and 42 in Computer, totaling 229 marks with Grade D. Attendance stands at 60.41 percent. Participates in Dance as an extracurricular activity.
Student S12446 named Mark Chapman, age 10, gender Male, is in Class 6. Scored 35 in Math, 62 in Science, 50 in English, 45 in History, and 34 in Computer, totaling 226 marks with Grade D. Attendance stands at 85.71 percent. Participates in Football as an extracurricular activity.
Student S12447 named Brittany Burch, age 15, gender Male, is in Class 6. Scored 62 in Math, 40 in Science, 41 in English, 48 in History, and 46 in Computer, totaling 237 marks with Grade D. Attendance stands at 75.50 percent. Participates in Debate as an extracurricular activity.
Student S12454 named Andrew Snow, age 12, gender Male, is in Class 6. Scored 70 in Math, 89 in Science, 75 in English, 37 in History, and 38 in Computer, totaling 309 marks with Grade C. Attendance stands at 83.96 percent. Participates in Dance as an extracurricular activity.
Student S12458 named Michael Nielsen, age 17, gender Female, is in Class 6. Scored 63 in Math, 88 in Science, 47 in English, 77 in History, and 95 in Computer, totaling 370 marks with Grade C. Attendance stands at 61.55 percent. Participates in Debate as an extracurricular activity.
Student S12459 named Caleb Buckley, age 17, gender Female, is in Class 6. Scored 73 in Math, 49 in Science, 40 in English, 53 in History, and 86 in Computer, totaling 301 marks with Grade C. Attendance stands at 86.45 percent. Participates in Debate as an extracurricular activity.
Student S12472 named Joe Hall, age 17, gender Male, is in Class 6. Scored 81 in Math, 90 in Science, 68 in English, 56 in History, and 37 in Computer, totaling 332 marks with Grade C. Attendance stands at 70.23 percent. Participates in Music as an extracurricular activity.
Student S12478 named Trevor Pruitt, age 14, gender Female, is in Class 6. Scored 66 in Math, 82 in Science, 31 in English, 41 in History, and 48 in Computer, totaling 268 marks with Grade D. Attendance stands at 72.37 percent. Participates in Debate as an extracurricular activity.
Student S12483 named Sarah Padilla, age 13, gender Male, is in Class 6. Scored 82 in Math, 99 in Science, 90 in English, 75 in History, and 89 in Computer, totaling 435 marks with Grade B. Attendance stands at 66.09 percent. Participates in Drama as an extracurricular activity.
Student S12484 named Sara Sanchez, age 16, gender Male, is in Class 6. Scored 72 in Math, 37 in Science, 93 in English, 82 in History, and 97 in Computer, totaling 381 marks with Grade C. Attendance stands at 69.34 percent. Participates in Drama as an extracurricular activity.
Student S12485 named Edgar Branch, age 10, gender Male, is in Class 6. Scored 30 in Math, 74 in Science, 63 in English, 42 in History, and 90 in Computer, totaling 299 marks with Grade D. Attendance stands at 64.42 percent. Participates in Drama as an extracurricular activity.
Student S12499 named Clifford Moss, age 12, gender Male, is in Class 6. Scored 85 in Math, 44 in Science, 32 in English, 37 in History, and 52 in Computer, totaling 250 marks with Grade D. Attendance stands at 67.65 percent. Participates in Drama as an extracurricular activity.
Student S12503 named Mr. Nathan Burke, age 17, gender Male, is in Class 6. Scored 44 in Math, 80 in Science, 76 in English, 76 in History, and 42 in Computer, totaling 318 marks with Grade C. Attendance stands at 99.03 percent. Participates in None as an extracurricular activity.
Student S12508 named Michelle Robinson, age 11, gender Female, is in Class 6. Scored 37 in Math, 44 in Science, 50 in English, 63 in History, and 34 in Computer, totaling 228 marks with Grade D. Attendance stands at 66.60 percent. Participates in None as an extracurricular activity.
Student S12515 named Matthew Snyder, age 16, gender Male, is in Class 6. Scored 50 in Math, 47 in Science, 94 in English, 65 in History, and 70 in Computer, totaling 326 marks with Grade C. Attendance stands at 87.35 percent. Participates in Football as an extracurricular activity.
Student S12543 named Matthew Hall, age 10, gender Female, is in Class 6. Scored 65 in Math, 75 in Science, 43 in English, 56 in History, and 98 in Computer, totaling 337 marks with Grade C. Attendance stands at 91.86 percent. Participates in Football as an extracurricular activity.
Student S12554 named Peter Ross, age 13, gender Female, is in Class 6. Scored 55 in Math, 73 in Science, 57 in English, 78 in History, and 61 in Computer, totaling 324 marks with Grade C. Attendance stands at 79.40 percent. Participates in None as an extracurricular activity.
Student S12562 named Deborah Christensen, age 14, gender Female, is in Class 6. Scored 42 in Math, 78 in Science, 98 in English, 84 in History, and 69 in Computer, totaling 371 marks with Grade C. Attendance stands at 74.35 percent. Participates in Debate as an extracurricular activity.
Student S12565 named Andrew Bennett, age 16, gender Female, is in Class 6. Scored 83 in Math, 75 in Science, 52 in English, 59 in History, and 69 in Computer, totaling 338 marks with Grade C. Attendance stands at 81.01 percent. Participates in Drama as an extracurricular activity.
Student S12568 named Victor Valdez, age 17, gender Female, is in Class 6. Scored 58 in Math, 48 in Science, 75 in English, 50 in History, and 40 in Computer, totaling 271 marks with Grade D. Attendance stands at 79.67 percent. Participates in Music as an extracurricular activity.
Student S12574 named David Jackson, age 15, gender Female, is in Class 6. Scored 78 in Math, 71 in Science, 47 in English, 91 in History, and 61 in Computer, totaling 348 marks with Grade C. Attendance stands at 66.32 percent. Participates in Drama as an extracurricular activity.
Student S12585 named Michael Jackson, age 11, gender Male, is in Class 6. Scored 30 in Math, 68 in Science, 97 in English, 45 in History, and 89 in Computer, totaling 329 marks with Grade C. Attendance stands at 84.25 percent. Participates in Music as an extracurricular activity.
Student S12587 named Gene Gonzalez, age 11, gender Male, is in Class 6. Scored 39 in Math, 48 in Science, 82 in English, 60 in History, and 66 in Computer, totaling 295 marks with Grade D. Attendance stands at 89.58 percent. Participates in Drama as an extracurricular activity.
Student S12603 named Todd Gibson, age 10, gender Male, is in Class 6. Scored 30 in Math, 88 in Science, 40 in English, 55 in History, and 49 in Computer, totaling 262 marks with Grade D. Attendance stands at 70.20 percent. Participates in None as an extracurricular activity.
Student S12621 named James Moore, age 13, gender Male, is in Class 6. Scored 59 in Math, 78 in Science, 83 in English, 61 in History, and 85 in Computer, totaling 366 marks with Grade C. Attendance stands at 92.10 percent. Participates in Drama as an extracurricular activity.
Student S12629 named Brooke Anderson, age 13, gender Female, is in Class 6. Scored 38 in Math, 87 in Science, 82 in English, 59 in History, and 34 in Computer, totaling 300 marks with Grade D. Attendance stands at 84.29 percent. Participates in Dance as an extracurricular activity.
Student S12639 named Richard Dickerson, age 14, gender Male, is in Class 6. Scored 69 in Math, 61 in Science, 90 in English, 66 in History, and 58 in Computer, totaling 344 marks with Grade C. Attendance stands at 85.03 percent. Participates in None as an extracurricular activity.
Student S12652 named Robert Obrien, age 10, gender Male, is in Class 6. Scored 94 in Math, 56 in Science, 92 in English, 81 in History, and 56 in Computer, totaling 379 marks with Grade C. Attendance stands at 86.12 percent. Participates in Dance as an extracurricular activity.
Student S12656 named Lindsey Sullivan, age 17, gender Female, is in Class 6. Scored 51 in Math, 81 in Science, 82 in English, 99 in History, and 97 in Computer, totaling 410 marks with Grade B. Attendance stands at 79.63 percent. Participates in None as an extracurricular activity.
Student S12697 named Jim Allen MD, age 12, gender Male, is in Class 6. Scored 65 in Math, 83 in Science, 40 in English, 62 in History, and 53 in Computer, totaling 303 marks with Grade C. Attendance stands at 98.11 percent. Participates in None as an extracurricular activity.
Student S12700 named Ashley Ortega, age 12, gender Female, is in Class 6. Scored 68 in Math, 72 in Science, 75 in English, 99 in History, and 83 in Computer, totaling 397 marks with Grade C. Attendance stands at 91.13 percent. Participates in Music as an extracurricular activity.
Student S12707 named Stephanie Garcia, age 10, gender Male, is in Class 6. Scored 97 in Math, 49 in Science, 91 in English, 74 in History, and 66 in Computer, totaling 377 marks with Grade C. Attendance stands at 88.96 percent. Participates in Debate as an extracurricular activity.
Student S12710 named Michelle Johnson, age 10, gender Female, is in Class 6. Scored 84 in Math, 90 in Science, 98 in English, 75 in History, and 76 in Computer, totaling 423 marks with Grade B. Attendance stands at 65.63 percent. Participates in Dance as an extracurricular activity.
Student S12728 named Gregory Clark, age 11, gender Female, is in Class 6. Scored 45 in Math, 69 in Science, 79 in English, 56 in History, and 46 in Computer, totaling 295 marks with Grade D. Attendance stands at 74.78 percent. Participates in Debate as an extracurricular activity.
Student S12756 named Karen Cunningham, age 16, gender Female, is in Class 6. Scored 54 in Math, 32 in Science, 87 in English, 69 in History, and 96 in Computer, totaling 338 marks with Grade C. Attendance stands at 87.14 percent. Participates in Music as an extracurricular activity.
Student S12757 named David Anderson, age 13, gender Male, is in Class 6. Scored 51 in Math, 37 in Science, 88 in English, 64 in History, and 42 in Computer, totaling 282 marks with Grade D. Attendance stands at 63.09 percent. Participates in Football as an extracurricular activity.
Student S12768 named Susan Thomas, age 17, gender Female, is in Class 6. Scored 61 in Math, 43 in Science, 64 in English, 70 in History, and 73 in Computer, totaling 311 marks with Grade C. Attendance stands at 60.10 percent. Participates in Football as an extracurricular activity.
Student S12777 named Devin Palmer, age 16, gender Male, is in Class 6. Scored 69 in Math, 35 in Science, 83 in English, 50 in History, and 73 in Computer, totaling 310 marks with Grade C. Attendance stands at 74.61 percent. Participates in Football as an extracurricular activity.
Student S12779 named Cheyenne Smith, age 10, gender Female, is in Class 6. Scored 42 in Math, 91 in Science, 50 in English, 41 in History, and 39 in Computer, totaling 263 marks with Grade D. Attendance stands at 64.37 percent. Participates in Music as an extracurricular activity.
Student S12794 named Sarah Smith, age 11, gender Male, is in Class 6. Scored 61 in Math, 48 in Science, 97 in English, 91 in History, and 40 in Computer, totaling 337 marks with Grade C. Attendance stands at 80.35 percent. Participates in Debate as an extracurricular activity.
Student S12800 named Steven Bridges, age 16, gender Male, is in Class 6. Scored 71 in Math, 83 in Science, 75 in English, 89 in History, and 98 in Computer, totaling 416 marks with Grade B. Attendance stands at 75.34 percent. Participates in Dance as an extracurricular activity.
Student S12801 named Sherri Horn, age 16, gender Male, is in Class 6. Scored 37 in Math, 37 in Science, 95 in English, 36 in History, and 85 in Computer, totaling 290 marks with Grade D. Attendance stands at 82.67 percent. Participates in Music as an extracurricular activity.
Student S12805 named Wendy Riley, age 14, gender Male, is in Class 6. Scored 84 in Math, 64 in Science, 65 in English, 92 in History, and 73 in Computer, totaling 378 marks with Grade C. Attendance stands at 99.51 percent. Participates in Music as an extracurricular activity.
Student S12810 named Katherine Baker, age 13, gender Female, is in Class 6. Scored 84 in Math, 95 in Science, 83 in English, 99 in History, and 91 in Computer, totaling 452 marks with Grade A. Attendance stands at 82.32 percent. Participates in None as an extracurricular activity.
Student S12818 named Michael Ramos, age 14, gender Male, is in Class 6. Scored 48 in Math, 71 in Science, 84 in English, 75 in History, and 61 in Computer, totaling 339 marks with Grade C. Attendance stands at 66.18 percent. Participates in Football as an extracurricular activity.
Student S12826 named Brittney Boyd, age 11, gender Male, is in Class 6. Scored 56 in Math, 35 in Science, 80 in English, 54 in History, and 97 in Computer, totaling 322 marks with Grade C. Attendance stands at 78.79 percent. Participates in Football as an extracurricular activity.
Student S12827 named Natalie Wood, age 12, gender Female, is in Class 6. Scored 94 in Math, 61 in Science, 94 in English, 62 in History, and 51 in Computer, totaling 362 marks with Grade C. Attendance stands at 74.25 percent. Participates in Debate as an extracurricular activity.
Student S12831 named Thomas Boyd, age 11, gender Female, is in Class 6. Scored 34 in Math, 72 in Science, 90 in English, 45 in History, and 55 in Computer, totaling 296 marks with Grade D. Attendance stands at 99.29 percent. Participates in None as an extracurricular activity.
Student S12832 named Steven White, age 17, gender Female, is in Class 6. Scored 36 in Math, 88 in Science, 92 in English, 50 in History, and 83 in Computer, totaling 349 marks with Grade C. Attendance stands at 75.93 percent. Participates in Music as an extracurricular activity.
Student S12836 named Daniel Moore, age 17, gender Female, is in Class 6. Scored 79 in Math, 71 in Science, 56 in English, 61 in History, and 77 in Computer, totaling 344 marks with Grade C. Attendance stands at 95.98 percent. Participates in Drama as an extracurricular activity.
Student S12843 named Alexis Thomas, age 11, gender Female, is in Class 6. Scored 98 in Math, 81 in Science, 87 in English, 60 in History, and 58 in Computer, totaling 384 marks with Grade C. Attendance stands at 60.03 percent. Participates in Dance as an extracurricular activity.
Student S12873 named Allison Montgomery, age 15, gender Male, is in Class 6. Scored 68 in Math, 72 in Science, 81 in English, 84 in History, and 75 in Computer, totaling 380 marks with Grade C. Attendance stands at 89.23 percent. Participates in Football as an extracurricular activity.
Student S12880 named Anna Riley, age 17, gender Male, is in Class 6. Scored 35 in Math, 41 in Science, 66 in English, 75 in History, and 81 in Computer, totaling 298 marks with Grade D. Attendance stands at 81.59 percent. Participates in Dance as an extracurricular activity.
Student S12885 named Megan Smith, age 16, gender Male, is in Class 6. Scored 66 in Math, 71 in Science, 80 in English, 71 in History, and 97 in Computer, totaling 385 marks with Grade C. Attendance stands at 95.52 percent. Participates in Football as an extracurricular activity.
