Student S10012 named Joseph Smith, age 12, gender Female, is in Class 10. Scored 83 in Math, 84 in Science, 37 in English, 75 in History, and 87 in Computer, totaling 366 marks with Grade C. Attendance stands at 83.67 percent. Participates in Drama as an extracurricular activity.
Student S12314 named Tristan Carr, age 15, gender Male, is in Class 10. Scored 51 in Math, 40 in Science, 69 in English, 46 in History, and 97 in Computer, totaling 303 marks with Grade C. Attendance stands at 66.79 percent. Participates in Drama as an extracurricular activity.
Student S12318 named Erin Martin, age 13, gender Male, is in Class 10. Scored 33 in Math, 40 in Science, 59 in English, 94 in History, and 49 in Computer, totaling 275 marks with Grade D. Attendance stands at 65.25 percent. Participates in Dance as an extracurricular activity.
Student S12319 named Elizabeth Robertson, age 17, gender Female, is in Class 10. Scored 31 in Math, 43 in Science, 52 in English, 30 in History, and 95 in Computer, totaling 251 marks with Grade D. Attendance stands at 69.78 percent. Participates in None as an extracurricular activity.
Student S12320 named Blake Parsons, age 10, gender Female, is in Class 10. Scored 93 in Math, 55 in Science, 68 in English, 90 in History, and 61 in Computer, totaling 367 marks with Grade C. Attendance stands at 82.47 percent. Participates in None as an extracurricular activity.
Student S12324 named Kimberly Lane, age 15, gender Male, is in Class 10. Scored 54 in Math, 47 in Science, 63 in English, 57 in History, and 42 in Computer, totaling 263 marks with Grade D. Attendance stands at 90.99 percent. Participates in Music as an extracurricular activity.
Student S12343 named Jack Haney, age 10, gender Female, is in Class 10. Scored 44 in Math, 50 in Science, 85 in English, 89 in History, and 98 in Computer, totaling 366 marks with Grade C. Attendance stands at 69.36 percent. Participates in Football as an extracurricular activity.
Student S12344 named Eric Jordan, age 15, gender Female, is in Class 10. Scored 69 in Math, 81 in Science, 30 in English, 45 in History, and 83 in Computer, totaling 308 marks with Grade C. Attendance stands at 72.80 percent. Participates in Football as an extracurricular activity.
Student S12349 named Tracy Jacobs, age 15, gender Male, is in Class 10. Scored 82 in Math, 87 in Science, 46 in English, 93 in History, and 98 in Computer, totaling 406 marks with Grade B. Attendance stands at 84.50 percent. Participates in Dance as an extracurricular activity.
Student S12407 named Scott Bush, age 15, gender Male, is in Class 10. Scored 80 in Math, 66 in Science, 66 in English, 85 in History, and 54 in Computer, totaling 351 marks with Grade C. Attendance stands at 66.27 percent. Participates in Drama as an extracurricular activity.
Student S12415 named Scott Keller, age 14, gender Male, is in Class 10. Scored 47 in Math, 87 in Science, 99 in English, 84 in History, and 53 in Computer, totaling 370 marks with Grade C. Attendance stands at 81.78 percent. Participates in Debate as an extracurricular activity.
Student S12427 named Willie Brown, age 16, gender Male, is in Class 10. Scored 62 in Math, 95 in Science, 92 in English, 69 in History, and 79 in Computer, totaling 397 marks with Grade C. Attendance stands at 79.80 percent. Participates in Debate as an extracurricular activity.
Student S12442 named Jeremy Riddle, age 11, gender Male, is in Class 10. Scored 33 in Math, 99 in Science, 48 in English, 63 in History, and 55 in Computer, totaling 298 marks with Grade D. Attendance stands at 83.05 percent. Participates in Dance as an extracurricular activity.
Student S12443 named Justin Douglas, age 14, gender Female, is in Class 10. Scored 42 in Math, 94 in Science, 30 in English, 42 in History, and 74 in Computer, totaling 282 marks with Grade D. Attendance stands at 82.18 percent. Participates in Debate as an extracurricular activity.
Student S12452 named Ashley Sanders, age 12, gender Male, is in Class 10. Scored 72 in Math, 66 in Science, 64 in English, 60 in History, and 49 in Computer, totaling 311 marks with Grade C. Attendance stands at 69.22 percent. Participates in Football as an extracurricular activity.
Student S12474 named Angel Brown, age 17, gender Female, is in Class 10. Scored 37 in Math, 37 in Science, 72 in English, 57 in History, and 40 in Computer, totaling 243 marks with Grade D. Attendance stands at 68.16 percent. Participates in Music as an extracurricular activity.
Student S12487 named Karen Mccarthy, age 16, gender Female, is in Class 10. Scored 58 in Math, 36 in Science, 68 in English, 85 in History, and 80 in Computer, totaling 327 marks with Grade C. Attendance stands at 61.49 percent. Participates in Drama as an extracurricular activity.
Student S12489 named Charles Clark, age 13, gender Male, is in Class 10. Scored 31 in Math, 74 in Science, 73 in English, 93 in History, and 79 in Computer, totaling 350 marks with Grade C. Attendance stands at 85.84 percent. Participates in Debate as an extracurricular activity.
Student S12497 named Wendy Knapp, age 11, gender Female, is in Class 10. Scored 75 in Math, 45 in Science, 36 in English, 43 in History, and 73 in Computer, totaling 272 marks with Grade D. Attendance stands at 98.64 percent. Participates in Football as an extracurricular activity.
Student S12504 named Nicole Benjamin, age 12, gender Male, is in Class 10. Scored 97 in Math, 90 in Science, 66 in English, 30 in History, and 82 in Computer, totaling 365 marks with Grade C. Attendance stands at 91.72 percent. Participates in None as an extracurricular activity.
Student S12509 named Hannah Gordon, age 14, gender Male, is in Class 10. Scored 84 in Math, 99 in Science, 93 in English, 43 in History, and 51 in Computer, totaling 370 marks with Grade C. Attendance stands at 68.47 percent. Participates in Debate as an extracurricular activity.
Student S12513 named Kim Saunders MD, age 12, gender Male, is in Class 10. Scored 88 in Math, 49 in Science, 87 in English, 82 in History, and 76 in Computer, totaling 382 marks with Grade C. Attendance stands at 81.71 percent. Participates in Debate as an extracurricular activity.
Student S12527 named Robert Miller, age 17, gender Male, is in Class 10. Scored 64 in Math, 67 in Science, 43 in English, 89 in History, and 78 in Computer, totaling 341 marks with Grade C. Attendance stands at 74.43 percent. Participates in Football as an extracurricular activity.
Student S12533 named Sarah Harrington, age 11, gender Female, is in Class 10. Scored 94 in Math, 33 in Science, 79 in English, 70 in History, and 32 in Computer, totaling 308 marks with Grade C. Attendance stands at 74.08 percent. Participates in Debate as an extracurricular activity.
Student S12537 named Scott Kelly, age 15, gender Female, is in Class 10. Scored 98 in Math, 70 in Science, 52 in English, 56 in History, and 50 in Computer, totaling 326 marks with Grade C. Attendance stands at 66.93 percent. Participates in None as an extracurricular activity.
Student S12538 named James Greene, age 17, gender Male, is in Class 10. Scored 37 in Math, 57 in Science, 76 in English, 80 in History, and 45 in Computer, totaling 295 marks with Grade D. Attendance stands at 89.41 percent. Participates in Football as an extracurricular activity.
Student S12545 named Jocelyn Dunn, age 16, gender Female, is in Class 10. Scored 55 in Math, 46 in Science, 71 in English, 66 in History, and 30 in Computer, totaling 268 marks with Grade D. Attendance stands at 74.25 percent. Participates in None as an extracurricular activity.
Student S12547 named John Smith, age 16, gender Female, is in Class 10. Scored 34 in Math, 37 in Science, 73 in English, 46 in History, and 78 in Computer, totaling 268 marks with Grade D. Attendance stands at 72.47 percent. Participates in None as an extracurricular activity.
Student S12559 named Alicia Simmons, age 13, gender Male, is in Class 10. Scored 80 in Math, 59 in Science, 68 in English, 39 in History, and 91 in Computer, totaling 337 marks with Grade C. Attendance stands at 97.77 percent. Participates in Debate as an extracurricular activity.
Student S12560 named Mark Clark, age 14, gender Female, is in Class 10. Scored 47 in Math, 99 in Science, 53 in English, 31 in History, and 55 in Computer, totaling 285 marks with Grade D. Attendance stands at 68.21 percent. Participates in Dance as an extracurricular activity.
Student S12563 named Alexis Spencer, age 14, gender Male, is in Class 10. Scored 76 in Math, 34 in Science, 76 in English, 36 in History, and 39 in Computer, totaling 261 marks with Grade D. Attendance stands at 60.65 percent. Participates in Football as an extracurricular activity.
Student S12581 named Marie Pena, age 15, gender Female, is in Class 10. Scored 57 in Math, 76 in Science, 86 in English, 40 in History, and 50 in Computer, totaling 309 marks with Grade C. Attendance stands at 89.30 percent. Participates in None as an extracurricular activity.
Student S12583 named Madison Mack, age 10, gender Male, is in Class 10. Scored 37 in Math, 74 in Science, 42 in English, 76 in History, and 43 in Computer, totaling 272 marks with Grade D. Attendance stands at 96.65 percent. Participates in Dance as an extracurricular activity.
Student S12584 named Amanda Powell, age 10, gender Female, is in Class 10. Scored 61 in Math, 37 in Science, 61 in English, 60 in History, and 85 in Computer, totaling 304 marks with Grade C. Attendance stands at 78.97 percent. Participates in Debate as an extracurricular activity.
Student S12588 named James White, age 13, gender Male, is in Class 10. Scored 79 in Math, 41 in Science, 48 in English, 62 in History, and 56 in Computer, totaling 286 marks with Grade D. Attendance stands at 91.32 percent. Participates in None as an extracurricular activity.
Student S12590 named David Hughes, age 12, gender Female, is in Class 10. Scored 44 in Math, 94 in Science, 88 in English, 74 in History, and 61 in Computer, totaling 361 marks with Grade C. Attendance stands at 82.99 percent. Participates in Dance as an extracurricular activity.
Student S12591 named Mark Osborne, age 15, gender Female, is in Class 10. Scored 36 in Math, 93 in Science, 33 in English, 38 in History, and 31 in Computer, totaling 231 marks with Grade D. Attendance stands at 72.35 percent. Participates in Music as an extracurricular activity.
Student S12606 named Calvin Powell, age 15, gender Male, is in Class 10. Scored 88 in Math, 44 in Science, 93 in English, 53 in History, and 55 in Computer, totaling 333 marks with Grade C. Attendance stands at 61.30 percent. Participates in Music as an extracurricular activity.
Student S12608 named Bruce Mckinney, age 12, gender Female, is in Class 10. Scored 71 in Math, 48 in Science, 61 in English, 72 in History, and 37 in Computer, totaling 289 marks with Grade D. Attendance stands at 78.34 percent. Participates in None as an extracurricular activity.
Student S12611 named Bethany Spencer, age 15, gender Female, is in Class 10. Scored 71 in Math, 91 in Science, 62 in English, 94 in History, and 45 in Computer, totaling 363 marks with Grade C. Attendance stands at 66.35 percent. Participates in Dance as an extracurricular activity.
Student S12625 named Chad Young, age 11, gender Female, is in Class 10. Scored 47 in Math, 57 in Science, 92 in English, 96 in History, and 60 in Computer, totaling 352 marks with Grade C. Attendance stands at 84.87 percent. Participates in Dance as an extracurricular activity.
Student S12631 named Christopher Allen, age 17, gender Female, is in Class 10. Scored 80 in Math, 61 in Science, 40 in English, 50 in History, and 63 in Computer, totaling 294 marks with Grade D. Attendance stands at 79.72 percent. Participates in Dance as an extracurricular activity.
Student S12635 named Brandon Day PhD, age 17, gender Female, is in Class 10. Scored 47 in Math, 69 in Science, 68 in English, 36 in History, and 32 in Computer, totaling 252 marks with Grade D. Attendance stands at 95.59 percent. Participates in Drama as an extracurricular activity.
Student S12636 named Anthony Wagner, age 17, gender Female, is in Class 10. Scored 71 in Math, 95 in Science, 54 in English, 94 in History, and 65 in Computer, totaling 379 marks with Grade C. Attendance stands at 76.26 percent. Participates in Football as an extracurricular activity.
Student S12644 named Melissa Morris, age 13, gender Male, is in Class 10. Scored 59 in Math, 76 in Science, 47 in English, 59 in History, and 56 in Computer, totaling 297 marks with Grade D. Attendance stands at 82.61 percent. Participates in Music as an extracurricular activity.
Student S12658 named Sabrina Chapman, age 13, gender Male, is in Class 10. Scored 83 in Math, 96 in Science, 58 in English, 37 in History, and 52 in Computer, totaling 326 marks with Grade C. Attendance stands at 85.93 percent. Participates in Dance as an extracurricular activity.
Student S12664 named Daniel Hickman, age 12, gender Male, is in Class 10. Scored 92 in Math, 47 in Science, 76 in English, 42 in History, and 31 in Computer, totaling 288 marks with Grade D. Attendance stands at 76.50 percent. Participates in Debate as an extracurricular activity.
Student S12665 named Gary Johnson, age 15, gender Male, is in Class 10. Scored 90 in Math, 38 in Science, 82 in English, 76 in History, and 52 in Computer, totaling 338 marks with Grade C. Attendance stands at 96.22 percent. Participates in Debate as an extracurricular activity.
Student S12669 named Carla Roberts, age 11, gender Female, is in Class 10. Scored 68 in Math, 48 in Science, 64 in English, 43 in History, and 61 in Computer, totaling 284 marks with Grade D. Attendance stands at 67.30 percent. Participates in None as an extracurricular activity.
Student S12673 named Norma Acosta, age 17, gender Male, is in Class 10. Scored 77 in Math, 57 in Science, 66 in English, 30 in History, and 91 in Computer, totaling 321 marks with Grade C. Attendance stands at 86.73 percent. Participates in Debate as an extracurricular activity.
Student S12681 named Marie Drake, age 13, gender Male, is in Class 10. Scored 71 in Math, 91 in Science, 52 in English, 88 in History, and 57 in Computer, totaling 359 marks with Grade C. Attendance stands at 81.99 percent. Participates in Football as an extracurricular activity.
Student S12683 named Melissa Nicholson, age 12, gender Male, is in Class 10. Scored 60 in Math, 91 in Science, 69 in English, 84 in History, and 95 in Computer, totaling 399 marks with Grade C. Attendance stands at 82.90 percent. Participates in None as an extracurricular activity.
Student S12686 named Kevin Johnson, age 11, gender Male, is in Class 10. Scored 75 in Math, 31 in Science, 46 in English, 47 in History, and 40 in Computer, totaling 239 marks with Grade D. Attendance stands at 84.83 percent. Participates in None as an extracurricular activity.
Student S12704 named Lindsay Williams, age 10, gender Male, is in Class 10. Scored 86 in Math, 44 in Science, 82 in English, 49 in History, and 84 in Computer, totaling 345 marks with Grade C. Attendance stands at 75.40 percent. Participates in Drama as an extracurricular activity.
Student S12715 named Alex Alexander, age 13, gender Female, is in Class 10. Scored 33 in Math, 95 in Science, 30 in English, 76 in History, and 32 in Computer, totaling 266 marks with Grade D. Attendance stands at 65.83 percent. Participates in Football as an extracurricular activity.
Student S12720 named Joshua Gonzalez, age 15, gender Female, is in Class 10. Scored 78 in Math, 74 in Science, 54 in English, 91 in History, and 33 in Computer, totaling 330 marks with Grade C. Attendance stands at 88.55 percent. Participates in Music as an extracurricular activity.
Student S12726 named Jessica Bryant, age 16, gender Male, is in Class 10. Scored 55 in Math, 81 in Science, 88 in English, 42 in History, and 58 in Computer, totaling 324 marks with Grade C. Attendance stands at 79.80 percent. Participates in None as an extracurricular activity.
Student S12751 named Mrs. Alexandra Perez, age 14, gender Female, is in Class 10. Scored 34 in Math, 99 in Science, 88 in English, 47 in History, and 84 in Computer, totaling 352 marks with Grade C. Attendance stands at 77.65 percent. Participates in Debate as an extracurricular activity.
Student S12752 named Kimberly Singh, age 13, gender Male, is in Class 10. Scored 56 in Math, 86 in Science, 39 in English, 41 in History, and 74 in Computer, totaling 296 marks with Grade D. Attendance stands at 60.26 percent. Participates in Football as an extracurricular activity.
Student S12765 named Adrian Murphy, age 16, gender Male, is in Class 10. Scored 84 in Math, 34 in Science, 68 in English, 49 in History, and 96 in Computer, totaling 331 marks with Grade C. Attendance stands at 89.98 percent. Participates in Football as an extracurricular activity.
Student S12766 named Kimberly Mathews, age 16, gender Female, is in Class 10. Scored 70 in Math, 70 in Science, 64 in English, 78 in History, and 46 in Computer, totaling 328 marks with Grade C. Attendance stands at 62.00 percent. Participates in None as an extracurricular activity.
Student S12778 named James Marks, age 16, gender Female, is in Class 10. Scored 62 in Math, 44 in Science, 84 in English, 39 in History, and 96 in Computer, totaling 325 marks with Grade C. Attendance stands at 74.90 percent. Participates in Music as an extracurricular activity.
Student S12783 named Brittany Hall, age 13, gender Female, is in Class 10. Scored 70 in Math, 53 in Science, 66 in English, 83 in History, and 82 in Computer, totaling 354 marks with Grade C. Attendance stands at 84.02 percent. Participates in Football as an extracurricular activity.
Student S12796 named Gina Jackson, age 17, gender Male, is in Class 10. Scored 46 in Math, 72 in Science, 74 in English, 73 in History, and 75 in Computer, totaling 340 marks with Grade C. Attendance stands at 69.03 percent. Participates in Music as an extracurricular activity.
Student S12802 named Melanie Williams, age 13, gender Male, is in Class 10. Scored 79 in Math, 72 in Science, 51 in English, 85 in History, and 86 in Computer, totaling 373 marks with Grade C. Attendance stands at 89.34 percent. Participates in Drama as an extracurricular activity.
Student S12807 named Christine Conley, age 13, gender Male, is in Class 10. Scored 32 in Math, 41 in Science, 91 in English, 58 in History, and 87 in Computer, totaling 309 marks with Grade C. Attendance stands at 71.99 percent. Participates in Drama as an extracurricular activity.
Student S12825 named Karen Mckenzie, age 12, gender Male, is in Class 10. Scored 76 in Math, 93 in Science, 31 in English, 68 in History, and 95 in Computer, totaling 363 marks with Grade C. Attendance stands at 69.58 percent. Participates in Drama as an extracurricular activity.
Student S12828 named Mitchell Wilson, age 13, gender Male, is in Class 10. Scored 75 in Math, 92 in Science, 81 in English, 92 in History, and 84 in Computer, totaling 424 marks with Grade B. Attendance stands at 91.83 percent. Participates in None as an extracurricular activity.
Student S12835 named Shawn Booth, age 15, gender Male, is in Class 10. Scored 78 in Math, 31 in Science, 43 in English, 33 in History, and 70 in Computer, totaling 255 marks with Grade D. Attendance stands at 81.46 percent. Participates in Football as an extracurricular activity.
Student S12839 named Jasmine Jensen, age 11, gender Male, is in Class 10. Scored 61 in Math, 83 in Science, 78 in English, 83 in History, and 59 in Computer, totaling 364 marks with Grade C. Attendance stands at 72.61 percent. Participates in Football as an extracurricular activity.
Student S12844 named Joshua Harper, age 12, gender Male, is in Class 10. Scored 35 in Math, 46 in Science, 98 in English, 95 in History, and 64 in Computer, totaling 338 marks with Grade C. Attendance stands at 89.41 percent. Participates in Debate as an extracurricular activity.
Student S12847 named Anna Cooper, age 17, gender Female, is in Class 10. Scored 45 in Math, 58 in Science, 39 in English, 88 in History, and 40 in Computer, totaling 270 marks with Grade D. Attendance stands at 93.12 percent. Participates in Drama as an extracurricular activity.
Student S12852 named Patrick Greene, age 17, gender Female, is in Class 10. Scored 72 in Math, 91 in Science, 74 in English, 68 in History, and 86 in Computer, totaling 391 marks with Grade C. Attendance stands at 76.94 percent. Participates in Drama as an extracurricular activity.
Student S12853 named Carolyn Diaz, age 13, gender Female, is in Class 10. Scored 84 in Math, 34 in Science, 41 in English, 86 in History, and 72 in Computer, totaling 317 marks with Grade C. Attendance stands at 97.43 percent. Participates in Music as an extracurricular activity.
Student S12857 named Gregg Payne, age 17, gender Female, is in Class 10. Scored 77 in Math, 68 in Science, 30 in English, 70 in History, and 32 in Computer, totaling 277 marks with Grade D. Attendance stands at 73.40 percent. Participates in Drama as an extracurricular activity.
Student S12862 named Troy Chen, age 13, gender Male, is in Class 10. Scored 94 in Math, 55 in Science, 82 in English, 68 in History, and 55 in Computer, totaling 354 marks with Grade C. Attendance stands at 61.74 percent. Participates in Dance as an extracurricular activity.
Student S12864 named Darren Keith, age 14, gender Male, is in Class 10. Scored 82 in Math, 51 in Science, 99 in English, 33 in History, and 62 in Computer, totaling 327 marks with Grade C. Attendance stands at 63.94 percent. Participates in Football as an extracurricular activity.
Student S12874 named Mr. William Sherman, age 11, gender Female, is in Class 10. Scored 41 in Math, 75 in Science, 70 in English, 92 in History, and 88 in Computer, totaling 366 marks with Grade C. Attendance stands at 60.79 percent. Participates in None as an extracurricular activity.
Student S12878 named John Fox, age 15, gender Female, is in Class 10. Scored 59 in Math, 77 in Science, 35 in English, 76 in History, and 40 in Computer, totaling 287 marks with Grade D. Attendance stands at 83.35 percent. Participates in Debate as an extracurricular activity.
Student S12890 named Sarah Newman, age 15, gender Female, is in Class 10. Scored 43 in Math, 70 in Science, 59 in English, 97 in History, and 33 in Computer, totaling 302 marks with Grade C. Attendance stands at 78.52 percent. Participates in Music as an extracurricular activity.
Student S12895 named Debra Brown, age 16, gender Male, is in Class 10. Scored 68 in Math, 57 in Science, 65 in English, 49 in History, and 33 in Computer, totaling 272 marks with Grade D. Attendance stands at 76.45 percent. Participates in None as an extracurricular activity.
Student S12905 named Brandon Perez, age 15, gender Male, is in Class 10. Scored 41 in Math, 63 in Science, 63 in English, 48 in History, and 93 in Computer, totaling 308 marks with Grade C. Attendance stands at 69.66 percent. Participates in Drama as an extracurricular activity.
Student S12912 named Brian Byrd, age 17, gender Female, is in Class 10. Scored 44 in Math, 85 in Science, 46 in English, 31 in History, and 43 in Computer, totaling 249 marks with Grade D. Attendance stands at 90.44 percent. Participates in Debate as an extracurricular activity.
Student S12933 named Kyle Cross, age 10, gender Female, is in Class 10. Scored 52 in Math, 63 in Science, 84 in English, 66 in History, and 60 in Computer, totaling 325 marks with Grade C. Attendance stands at 98.49 percent. Participates in Football as an extracurricular activity.
Student S12953 named Robert Sanchez, age 15, gender Male, is in Class 10. Scored 90 in Math, 35 in Science, 38 in English, 86 in History, and 34 in Computer, totaling 283 marks with Grade D. Attendance stands at 73.92 percent. Participates in None as an extracurricular activity.
Student S12972 named Denise Guzman, age 10, gender Female, is in Class 10. Scored 61 in Math, 89 in Science, 55 in English, 51 in History, and 59 in Computer, totaling 315 marks with Grade C. Attendance stands at 76.34 percent. Participates in Dance as an extracurricular activity.
Student S12978 named Justin Garza, age 12, gender Female, is in Class 10. Scored 45 in Math, 41 in Science, 33 in English, 64 in History, and 75 in Computer, totaling 258 marks with Grade D. Attendance stands at 71.66 percent. Participates in Drama as an extracurricular activity.
Student S12979 named Melissa Perry, age 11, gender Female, is in Class 10. Scored 90 in Math, 95 in Science, 71 in English, 63 in History, and 65 in Computer, totaling 384 marks with Grade C. Attendance stands at 65.32 percent. Participates in Debate as an extracurricular activity.
Student S12995 named Victoria Bryant, age 12, gender Male, is in Class 10. Scored 64 in Math, 93 in Science, 41 in English, 37 in History, and 64 in Computer, totaling 299 marks with Grade D. Attendance stands at 97.80 percent. Participates in Debate as an extracurricular activity.
Student S13027 named Dr. Alexander Smith MD, age 17, gender Female, is in Class 10. Scored 64 in Math, 37 in Science, 42 in English, 68 in History, and 44 in Computer, totaling 255 marks with Grade D. Attendance stands at 97.86 percent. Participates in None as an extracurricular activity.
Student S13028 named Lee Jones, age 17, gender Female, is in Class 10. Scored 65 in Math, 36 in Science, 89 in English, 81 in History, and 84 in Computer, totaling 355 marks with Grade C. Attendance stands at 83.98 percent. Participates in Debate as an extracurricular activity.
Student S13055 named Timothy Zamora, age 13, gender Female, is in Class 10. Scored 43 in Math, 59 in Science, 55 in English, 86 in History, and 79 in Computer, totaling 322 marks with Grade C. Attendance stands at 77.97 percent. Participates in Debate as an extracurricular activity.
Student S13063 named Aaron Morris, age 11, gender Male, is in Class 10. Scored 99 in Math, 62 in Science, 51 in English, 74 in History, and 33 in Computer, totaling 319 marks with Grade C. Attendance stands at 78.31 percent. Participates in Dance as an extracurricular activity.
Student S13073 named Cameron Andrade, age 10, gender Male, is in Class 10. Scored 97 in Math, 31 in Science, 84 in English, 89 in History, and 69 in Computer, totaling 370 marks with Grade C. Attendance stands at 86.52 percent. Participates in Dance as an extracurricular activity.
Student S13080 named Linda Walker, age 12, gender Female, is in Class 10. Scored 88 in Math, 95 in Science, 89 in English, 83 in History, and 82 in Computer, totaling 437 marks with Grade B. Attendance stands at 84.91 percent. Participates in Debate as an extracurricular activity.
Student S13082 named Terry Pena, age 13, gender Female, is in Class 10. Scored 86 in Math, 33 in Science, 40 in English, 56 in History, and 77 in Computer, totaling 292 marks with Grade D. Attendance stands at 82.51 percent. Participates in Dance as an extracurricular activity.
Student S13088 named Dawn Gonzales, age 15, gender Female, is in Class 10. Scored 43 in Math, 85 in Science, 80 in English, 93 in History, and 98 in Computer, totaling 399 marks with Grade C. Attendance stands at 86.12 percent. Participates in None as an extracurricular activity.
Student S13102 named Christopher King, age 17, gender Female, is in Class 10. Scored 64 in Math, 50 in Science, 32 in English, 81 in History, and 49 in Computer, totaling 276 marks with Grade D. Attendance stands at 64.21 percent. Participates in Dance as an extracurricular activity.
Student S13109 named Mr. Jeffrey Gilbert, age 16, gender Female, is in Class 10. Scored 46 in Math, 79 in Science, 65 in English, 47 in History, and 64 in Computer, totaling 301 marks with Grade C. Attendance stands at 63.06 percent. Participates in Dance as an extracurricular activity.
Student S13112 named Jonathan Goodman, age 11, gender Female, is in Class 10. Scored 30 in Math, 97 in Science, 62 in English, 79 in History, and 75 in Computer, totaling 343 marks with Grade C. Attendance stands at 68.50 percent. Participates in Dance as an extracurricular activity.
Student S13121 named Vickie Martinez MD, age 15, gender Female, is in Class 10. Scored 51 in Math, 48 in Science, 93 in English, 90 in History, and 67 in Computer, totaling 349 marks with Grade C. Attendance stands at 83.44 percent. Participates in Dance as an extracurricular activity.
Student S13123 named John Barker, age 15, gender Female, is in Class 10. Scored 85 in Math, 42 in Science, 41 in English, 96 in History, and 71 in Computer, totaling 335 marks with Grade C. Attendance stands at 62.38 percent. Participates in None as an extracurricular activity.
Student S13126 named Shelia Alexander, age 15, gender Female, is in Class 10. Scored 46 in Math, 89 in Science, 78 in English, 38 in History, and 89 in Computer, totaling 340 marks with Grade C. Attendance stands at 91.85 percent. Participates in Dance as an extracurricular activity.
Student S13144 named Sheena Golden, age 11, gender Female, is in Class 10. Scored 86 in Math, 90 in Science, 55 in English, 94 in History, and 64 in Computer, totaling 389 marks with Grade C. Attendance stands at 81.46 percent. Participates in Music as an extracurricular activity.
Student S13159 named Barbara Wood, age 14, gender Female, is in Class 10. Scored 63 in Math, 98 in Science, 42 in English, 76 in History, and 58 in Computer, totaling 337 marks with Grade C. Attendance stands at 94.34 percent. Participates in Drama as an extracurricular activity.
Student S13187 named Jessica Reilly, age 12, gender Female, is in Class 10. Scored 50 in Math, 96 in Science, 48 in English, 49 in History, and 97 in Computer, totaling 340 marks with Grade C. Attendance stands at 62.21 percent. Participates in None as an extracurricular activity.
Student S13190 named Larry Sanford, age 13, gender Male, is in Class 10. Scored 55 in Math, 78 in Science, 60 in English, 62 in History, and 62 in Computer, totaling 317 marks with Grade C. Attendance stands at 81.50 percent. Participates in None as an extracurricular activity.
Student S13192 named Thomas Reyes, age 17, gender Male, is in Class 10. Scored 85 in Math, 98 in Science, 76 in English, 36 in History, and 94 in Computer, totaling 389 marks with Grade C. Attendance stands at 79.29 percent. Participates in None as an extracurricular activity.
Student S13207 named Andrea Smith, age 11, gender Female, is in Class 10. Scored 60 in Math, 64 in Science, 34 in English, 35 in History, and 44 in Computer, totaling 237 marks with Grade D. Attendance stands at 74.57 percent. Participates in Football as an extracurricular activity.
Student S13215 named Courtney Lynch, age 11, gender Male, is in Class 10. Scored 75 in Math, 80 in Science, 93 in English, 51 in History, and 39 in Computer, totaling 338 marks with Grade C. Attendance stands at 76.28 percent. Participates in Football as an extracurricular activity.
Student S13220 named Sharon Lee, age 12, gender Male, is in Class 10. Scored 70 in Math, 91 in Science, 48 in English, 53 in History, and 38 in Computer, totaling 300 marks with Grade D. Attendance stands at 66.11 percent. Participates in Drama as an extracurricular activity.
Student S13238 named Richard Reed, age 15, gender Female, is in Class 10. Scored 51 in Math, 83 in Science, 72 in English, 60 in History, and 57 in Computer, totaling 323 marks with Grade C. Attendance stands at 95.40 percent. Participates in Debate as an extracurricular activity.
Student S13246 named Dawn Christensen, age 13, gender Female, is in Class 10. Scored 79 in Math, 74 in Science, 84 in English, 90 in History, and 30 in Computer, totaling 357 marks with Grade C. Attendance stands at 73.78 percent. Participates in Debate as an extracurricular activity.
Student S13248 named Cheryl Walters, age 11, gender Male, is in Class 10. Scored 32 in Math, 35 in Science, 62 in English, 69 in History, and 41 in Computer, totaling 239 marks with Grade D. Attendance stands at 90.10 percent. Participates in Football as an extracurricular activity.
Student S13259 named Jennifer Fuller, age 16, gender Male, is in Class 10. Scored 94 in Math, 66 in Science, 38 in English, 40 in History, and 44 in Computer, totaling 282 marks with Grade D. Attendance stands at 67.77 percent. Participates in Music as an extracurricular activity.
Student S13271 named Alicia Johnson, age 17, gender Male, is in Class 10. Scored 39 in Math, 49 in Science, 40 in English, 75 in History, and 76 in Computer, totaling 279 marks with Grade D. Attendance stands at 94.75 percent. Participates in Music as an extracurricular activity.
Student S13275 named Cindy Rodriguez, age 16, gender Male, is in Class 10. Scored 67 in Math, 50 in Science, 82 in English, 69 in History, and 41 in Computer, totaling 309 marks with Grade C. Attendance stands at 86.38 percent. Participates in Debate as an extracurricular activity.
Student S13282 named Kelly Thomas, age 12, gender Female, is in Class 10. Scored 81 in Math, 40 in Science, 71 in English, 43 in History, and 64 in Computer, totaling 299 marks with Grade D. Attendance stands at 74.92 percent. Participates in Music as an extracurricular activity.
Student S13288 named Natalie Woodward, age 17, gender Female, is in Class 10. Scored 63 in Math, 89 in Science, 38 in English, 49 in History, and 79 in Computer, totaling 318 marks with Grade C. Attendance stands at 86.79 percent. Participates in None as an extracurricular activity.
Student S13298 named Kelly Morris, age 16, gender Female, is in Class 10. Scored 58 in Math, 93 in Science, 46 in English, 53 in History, and 39 in Computer, totaling 289 marks with Grade D. Attendance stands at 88.04 percent. Participates in Dance as an extracurricular activity.
