Student S10008 named Valerie Smith, age 16, gender Female, is in Class 5. Scored 31 in Math, 85 in Science, 42 in English, 73 in History, and 43 in Computer, totaling 274 marks with Grade D. Attendance stands at 81.02 percent. Participates in Debate as an extracurricular activity.
Student S11544 named Lance Williams, age 14, gender Female, is in Class 5. Scored 67 in Math, 87 in Science, 76 in English, 82 in History, and 88 in Computer, totaling 400 marks with Grade C. Attendance stands at 94.66 percent. Participates in Football as an extracurricular activity.
Student S11545 named Michelle Atkins, age 11, gender Male, is in Class 5. Scored 91 in Math, 30 in Science, 54 in English, 57 in History, and 35 in Computer, totaling 267 marks with Grade D. Attendance stands at 99.23 percent. Participates in Football as an extracurricular activity.
Student S11548 named Omar Holland, age 15, gender Male, is in Class 5. Scored 39 in Math, 55 in Science, 54 in English, 71 in History, and 94 in Computer, totaling 313 marks with Grade C. Attendance stands at 67.75 percent. Participates in Dance as an extracurricular activity.
Student S11550 named Jeffrey Ellis, age 14, gender Male, is in Class 5. Scored 61 in Math, 36 in Science, 54 in English, 78 in History, and 97 in Computer, totaling 326 marks with Grade C. Attendance stands at 61.43 percent. Participates in None as an extracurricular activity.
Student S11552 named Daniel Martin, age 13, gender Male, is in Class 5. Scored 71 in Math, 54 in Science, 88 in English, 88 in History, and 50 in Computer, totaling 351 marks with Grade C. Attendance stands at 81.02 percent. Participates in Drama as an extracurricular activity.
Student S11572 named Jennifer Snow, age 13, gender Female, is in Class 5. Scored 35 in Math, 86 in Science, 35 in English, 58 in History, and 56 in Computer, totaling 270 marks with Grade D. Attendance stands at 93.11 percent. Participates in Dance as an extracurricular activity.
Student S11582 named Courtney Lewis, age 12, gender Female, is in Class 5. Scored 43 in Math, 37 in Science, 93 in English, 85 in History, and 42 in Computer, totaling 300 marks with Grade D. Attendance stands at 66.59 percent. Participates in Dance as an extracurricular activity.
Student S11590 named Craig Bird, age 17, gender Male, is in Class 5. Scored 31 in Math, 99 in Science, 48 in English, 69 in History, and 56 in Computer, totaling 303 marks with Grade C. Attendance stands at 62.77 percent. Participates in Football as an extracurricular activity.
Student S11596 named Christopher Mccarthy, age 14, gender Female, is in Class 5. Scored 45 in Math, 51 in Science, 78 in English, 43 in History, and 54 in Computer, totaling 271 marks with Grade D. Attendance stands at 73.67 percent. Participates in None as an extracurricular activity.
Student S11602 named Chad Nichols, age 13, gender Female, is in Class 5. Scored 54 in Math, 42 in Science, 98 in English, 50 in History, and 64 in Computer, totaling 308 marks with Grade C. Attendance stands at 97.19 percent. Participates in Music as an extracurricular activity.
Student S11603 named Marvin Stevenson, age 14, gender Male, is in Class 5. Scored 72 in Math, 89 in Science, 47 in English, 72 in History, and 99 in Computer, totaling 379 marks with Grade C. Attendance stands at 91.29 percent. Participates in Debate as an extracurricular activity.
Student S11608 named Matthew Campbell, age 14, gender Male, is in Class 5. Scored 79 in Math, 56 in Science, 95 in English, 63 in History, and 30 in Computer, totaling 323 marks with Grade C. Attendance stands at 79.40 percent. Participates in Debate as an extracurricular activity.
Student S11631 named Joshua Hill, age 12, gender Female, is in Class 5. Scored 86 in Math, 50 in Science, 51 in English, 55 in History, and 82 in Computer, totaling 324 marks with Grade C. Attendance stands at 70.59 percent. Participates in None as an extracurricular activity.
Student S11634 named Edward Mahoney, age 17, gender Female, is in Class 5. Scored 70 in Math, 39 in Science, 49 in English, 62 in History, and 39 in Computer, totaling 259 marks with Grade D. Attendance stands at 88.82 percent. Participates in Football as an extracurricular activity.
Student S11641 named Marcus Nguyen, age 16, gender Male, is in Class 5. Scored 46 in Math, 49 in Science, 79 in English, 40 in History, and 47 in Computer, totaling 261 marks with Grade D. Attendance stands at 98.11 percent. Participates in Drama as an extracurricular activity.
Student S11644 named Lisa Sosa, age 11, gender Male, is in Class 5. Scored 31 in Math, 90 in Science, 35 in English, 66 in History, and 56 in Computer, totaling 278 marks with Grade D. Attendance stands at 72.20 percent. Participates in None as an extracurricular activity.
Student S11652 named Thomas Trujillo, age 12, gender Female, is in Class 5. Scored 42 in Math, 59 in Science, 85 in English, 70 in History, and 45 in Computer, totaling 301 marks with Grade C. Attendance stands at 95.81 percent. Participates in Music as an extracurricular activity.
Student S11653 named Alexander Hernandez, age 10, gender Male, is in Class 5. Scored 42 in Math, 52 in Science, 40 in English, 38 in History, and 92 in Computer, totaling 264 marks with Grade D. Attendance stands at 95.36 percent. Participates in Football as an extracurricular activity.
Student S11667 named David Walsh, age 15, gender Male, is in Class 5. Scored 76 in Math, 85 in Science, 30 in English, 75 in History, and 64 in Computer, totaling 330 marks with Grade C. Attendance stands at 66.07 percent. Participates in Dance as an extracurricular activity.
Student S11681 named Kristin Brown, age 15, gender Male, is in Class 5. Scored 77 in Math, 82 in Science, 31 in English, 32 in History, and 48 in Computer, totaling 270 marks with Grade D. Attendance stands at 61.61 percent. Participates in Football as an extracurricular activity.
Student S11682 named Melanie Wright, age 15, gender Female, is in Class 5. Scored 42 in Math, 89 in Science, 77 in English, 81 in History, and 45 in Computer, totaling 334 marks with Grade C. Attendance stands at 65.57 percent. Participates in Debate as an extracurricular activity.
Student S11684 named Katrina Espinoza, age 14, gender Male, is in Class 5. Scored 66 in Math, 76 in Science, 87 in English, 79 in History, and 79 in Computer, totaling 387 marks with Grade C. Attendance stands at 77.49 percent. Participates in Drama as an extracurricular activity.
Student S11687 named Rebecca Williams, age 11, gender Female, is in Class 5. Scored 56 in Math, 92 in Science, 52 in English, 46 in History, and 91 in Computer, totaling 337 marks with Grade C. Attendance stands at 86.75 percent. Participates in Dance as an extracurricular activity.
Student S11700 named Elizabeth James, age 14, gender Female, is in Class 5. Scored 37 in Math, 90 in Science, 65 in English, 98 in History, and 94 in Computer, totaling 384 marks with Grade C. Attendance stands at 79.02 percent. Participates in Music as an extracurricular activity.
Student S11708 named Tina Phillips, age 14, gender Female, is in Class 5. Scored 61 in Math, 38 in Science, 94 in English, 82 in History, and 61 in Computer, totaling 336 marks with Grade C. Attendance stands at 62.21 percent. Participates in Football as an extracurricular activity.
Student S11720 named Deborah Thompson, age 15, gender Female, is in Class 5. Scored 84 in Math, 48 in Science, 94 in English, 70 in History, and 66 in Computer, totaling 362 marks with Grade C. Attendance stands at 76.84 percent. Participates in None as an extracurricular activity.
Student S11724 named Michelle Wood, age 15, gender Male, is in Class 5. Scored 54 in Math, 77 in Science, 86 in English, 61 in History, and 52 in Computer, totaling 330 marks with Grade C. Attendance stands at 68.88 percent. Participates in Football as an extracurricular activity.
Student S11726 named Virginia Moran, age 13, gender Male, is in Class 5. Scored 54 in Math, 90 in Science, 39 in English, 83 in History, and 87 in Computer, totaling 353 marks with Grade C. Attendance stands at 90.74 percent. Participates in Music as an extracurricular activity.
Student S11727 named Megan Wilkerson, age 11, gender Female, is in Class 5. Scored 82 in Math, 56 in Science, 49 in English, 47 in History, and 83 in Computer, totaling 317 marks with Grade C. Attendance stands at 62.36 percent. Participates in Debate as an extracurricular activity.
Student S11737 named Kathy Moore, age 16, gender Female, is in Class 5. Scored 98 in Math, 54 in Science, 97 in English, 36 in History, and 44 in Computer, totaling 329 marks with Grade C. Attendance stands at 84.41 percent. Participates in Dance as an extracurricular activity.
Student S11755 named Pamela Meyer, age 11, gender Female, is in Class 5. Scored 47 in Math, 70 in Science, 69 in English, 39 in History, and 73 in Computer, totaling 298 marks with Grade D. Attendance stands at 95.68 percent. Participates in Drama as an extracurricular activity.
Student S11760 named Patricia Holmes, age 11, gender Male, is in Class 5. Scored 65 in Math, 99 in Science, 34 in English, 46 in History, and 84 in Computer, totaling 328 marks with Grade C. Attendance stands at 62.47 percent. Participates in Debate as an extracurricular activity.
Student S11763 named Louis George, age 16, gender Female, is in Class 5. Scored 51 in Math, 44 in Science, 60 in English, 87 in History, and 61 in Computer, totaling 303 marks with Grade C. Attendance stands at 64.55 percent. Participates in Drama as an extracurricular activity.
Student S11772 named Tammy Gonzales, age 10, gender Female, is in Class 5. Scored 39 in Math, 99 in Science, 82 in English, 82 in History, and 69 in Computer, totaling 371 marks with Grade C. Attendance stands at 62.38 percent. Participates in Football as an extracurricular activity.
Student S11777 named Benjamin Lane, age 13, gender Female, is in Class 5. Scored 59 in Math, 91 in Science, 75 in English, 95 in History, and 73 in Computer, totaling 393 marks with Grade C. Attendance stands at 63.59 percent. Participates in Music as an extracurricular activity.
Student S11780 named Stephanie Baxter, age 16, gender Male, is in Class 5. Scored 54 in Math, 48 in Science, 33 in English, 40 in History, and 42 in Computer, totaling 217 marks with Grade D. Attendance stands at 91.20 percent. Participates in Football as an extracurricular activity.
Student S11808 named Christopher Farrell, age 15, gender Female, is in Class 5. Scored 83 in Math, 77 in Science, 40 in English, 30 in History, and 55 in Computer, totaling 285 marks with Grade D. Attendance stands at 64.26 percent. Participates in Debate as an extracurricular activity.
Student S11812 named Jerome Watkins, age 10, gender Male, is in Class 5. Scored 83 in Math, 67 in Science, 87 in English, 87 in History, and 99 in Computer, totaling 423 marks with Grade B. Attendance stands at 84.37 percent. Participates in Dance as an extracurricular activity.
Student S11813 named Michelle Harrington, age 17, gender Female, is in Class 5. Scored 80 in Math, 72 in Science, 62 in English, 39 in History, and 61 in Computer, totaling 314 marks with Grade C. Attendance stands at 99.42 percent. Participates in Dance as an extracurricular activity.
Student S11818 named Deborah Johnson, age 10, gender Female, is in Class 5. Scored 94 in Math, 65 in Science, 50 in English, 33 in History, and 99 in Computer, totaling 341 marks with Grade C. Attendance stands at 89.54 percent. Participates in Dance as an extracurricular activity.
Student S11819 named Randy Hanson, age 13, gender Female, is in Class 5. Scored 85 in Math, 62 in Science, 70 in English, 98 in History, and 90 in Computer, totaling 405 marks with Grade B. Attendance stands at 82.71 percent. Participates in Music as an extracurricular activity.
Student S11823 named Benjamin Holland, age 11, gender Female, is in Class 5. Scored 89 in Math, 90 in Science, 53 in English, 73 in History, and 83 in Computer, totaling 388 marks with Grade C. Attendance stands at 71.88 percent. Participates in Drama as an extracurricular activity.
Student S11824 named Richard Thornton, age 12, gender Female, is in Class 5. Scored 65 in Math, 41 in Science, 57 in English, 82 in History, and 69 in Computer, totaling 314 marks with Grade C. Attendance stands at 83.49 percent. Participates in Dance as an extracurricular activity.
Student S11841 named Manuel Horton, age 11, gender Male, is in Class 5. Scored 83 in Math, 75 in Science, 85 in English, 31 in History, and 93 in Computer, totaling 367 marks with Grade C. Attendance stands at 81.33 percent. Participates in Drama as an extracurricular activity.
Student S11854 named Christine Williams DVM, age 11, gender Female, is in Class 5. Scored 46 in Math, 76 in Science, 82 in English, 78 in History, and 57 in Computer, totaling 339 marks with Grade C. Attendance stands at 81.48 percent. Participates in Drama as an extracurricular activity.
Student S11856 named Joshua Boyd, age 11, gender Female, is in Class 5. Scored 66 in Math, 97 in Science, 43 in English, 35 in History, and 86 in Computer, totaling 327 marks with Grade C. Attendance stands at 66.83 percent. Participates in Music as an extracurricular activity.
Student S11867 named Brittany Hutchinson, age 14, gender Female, is in Class 5. Scored 58 in Math, 85 in Science, 83 in English, 56 in History, and 78 in Computer, totaling 360 marks with Grade C. Attendance stands at 64.84 percent. Participates in Debate as an extracurricular activity.
Student S11869 named Janet Espinoza, age 16, gender Female, is in Class 5. Scored 54 in Math, 53 in Science, 87 in English, 86 in History, and 97 in Computer, totaling 377 marks with Grade C. Attendance stands at 91.72 percent. Participates in Music as an extracurricular activity.
Student S11873 named Antonio Anderson, age 11, gender Female, is in Class 5. Scored 63 in Math, 52 in Science, 90 in English, 46 in History, and 60 in Computer, totaling 311 marks with Grade C. Attendance stands at 88.29 percent. Participates in Music as an extracurricular activity.
Student S11874 named Jennifer Ashley, age 12, gender Male, is in Class 5. Scored 87 in Math, 83 in Science, 73 in English, 80 in History, and 73 in Computer, totaling 396 marks with Grade C. Attendance stands at 85.62 percent. Participates in Debate as an extracurricular activity.
Student S11877 named Dylan Baker, age 13, gender Male, is in Class 5. Scored 70 in Math, 49 in Science, 99 in English, 88 in History, and 81 in Computer, totaling 387 marks with Grade C. Attendance stands at 77.39 percent. Participates in Drama as an extracurricular activity.
Student S11879 named Shaun Reed, age 15, gender Female, is in Class 5. Scored 99 in Math, 67 in Science, 74 in English, 96 in History, and 68 in Computer, totaling 404 marks with Grade B. Attendance stands at 84.40 percent. Participates in Football as an extracurricular activity.
Student S11882 named Karen Marks, age 16, gender Female, is in Class 5. Scored 41 in Math, 90 in Science, 33 in English, 78 in History, and 78 in Computer, totaling 320 marks with Grade C. Attendance stands at 72.15 percent. Participates in Music as an extracurricular activity.
Student S11890 named Regina Freeman, age 17, gender Male, is in Class 5. Scored 46 in Math, 38 in Science, 45 in English, 74 in History, and 49 in Computer, totaling 252 marks with Grade D. Attendance stands at 86.50 percent. Participates in Debate as an extracurricular activity.
Student S11918 named Brian Glover, age 13, gender Male, is in Class 5. Scored 43 in Math, 94 in Science, 67 in English, 77 in History, and 99 in Computer, totaling 380 marks with Grade C. Attendance stands at 77.32 percent. Participates in Debate as an extracurricular activity.
Student S11931 named Evan Miller, age 13, gender Male, is in Class 5. Scored 85 in Math, 77 in Science, 61 in English, 71 in History, and 44 in Computer, totaling 338 marks with Grade C. Attendance stands at 78.01 percent. Participates in Drama as an extracurricular activity.
Student S11932 named Victor Pierce, age 13, gender Female, is in Class 5. Scored 64 in Math, 36 in Science, 64 in English, 39 in History, and 56 in Computer, totaling 259 marks with Grade D. Attendance stands at 84.56 percent. Participates in Dance as an extracurricular activity.
Student S11940 named Kellie Ewing, age 14, gender Male, is in Class 5. Scored 48 in Math, 70 in Science, 90 in English, 62 in History, and 51 in Computer, totaling 321 marks with Grade C. Attendance stands at 96.83 percent. Participates in Football as an extracurricular activity.
Student S11946 named Alex Cortez, age 13, gender Male, is in Class 5. Scored 77 in Math, 89 in Science, 63 in English, 97 in History, and 43 in Computer, totaling 369 marks with Grade C. Attendance stands at 81.09 percent. Participates in Football as an extracurricular activity.
Student S11947 named Rachel Brown, age 10, gender Female, is in Class 5. Scored 60 in Math, 93 in Science, 79 in English, 85 in History, and 42 in Computer, totaling 359 marks with Grade C. Attendance stands at 68.94 percent. Participates in Music as an extracurricular activity.
Student S11955 named Jennifer Brown, age 13, gender Male, is in Class 5. Scored 63 in Math, 68 in Science, 84 in English, 93 in History, and 88 in Computer, totaling 396 marks with Grade C. Attendance stands at 89.29 percent. Participates in Music as an extracurricular activity.
Student S11956 named Jerome Davies, age 14, gender Female, is in Class 5. Scored 89 in Math, 47 in Science, 53 in English, 61 in History, and 97 in Computer, totaling 347 marks with Grade C. Attendance stands at 74.30 percent. Participates in Music as an extracurricular activity.
Student S11968 named William Gomez, age 11, gender Male, is in Class 5. Scored 79 in Math, 99 in Science, 74 in English, 58 in History, and 44 in Computer, totaling 354 marks with Grade C. Attendance stands at 60.16 percent. Participates in Dance as an extracurricular activity.
Student S11978 named Brandon Nichols, age 11, gender Female, is in Class 5. Scored 80 in Math, 44 in Science, 51 in English, 85 in History, and 39 in Computer, totaling 299 marks with Grade D. Attendance stands at 99.46 percent. Participates in Dance as an extracurricular activity.
Student S11988 named Gerald Garcia, age 16, gender Female, is in Class 5. Scored 62 in Math, 53 in Science, 40 in English, 96 in History, and 61 in Computer, totaling 312 marks with Grade C. Attendance stands at 70.10 percent. Participates in Football as an extracurricular activity.
Student S11996 named Anthony Mcmahon, age 11, gender Male, is in Class 5. Scored 57 in Math, 94 in Science, 40 in English, 34 in History, and 96 in Computer, totaling 321 marks with Grade C. Attendance stands at 78.40 percent. Participates in Football as an extracurricular activity.
Student S12003 named Brent Nguyen, age 12, gender Female, is in Class 5. Scored 46 in Math, 67 in Science, 77 in English, 98 in History, and 51 in Computer, totaling 339 marks with Grade C. Attendance stands at 77.12 percent. Participates in Debate as an extracurricular activity.
Student S12022 named Caitlin Knapp, age 17, gender Female, is in Class 5. Scored 60 in Math, 67 in Science, 93 in English, 57 in History, and 85 in Computer, totaling 362 marks with Grade C. Attendance stands at 92.84 percent. Participates in Debate as an extracurricular activity.
Student S12045 named Ian Butler, age 14, gender Female, is in Class 5. Scored 51 in Math, 50 in Science, 45 in English, 95 in History, and 35 in Computer, totaling 276 marks with Grade D. Attendance stands at 65.19 percent. Participates in None as an extracurricular activity.
Student S12057 named Michael Miller, age 12, gender Male, is in Class 5. Scored 62 in Math, 30 in Science, 30 in English, 66 in History, and 71 in Computer, totaling 259 marks with Grade D. Attendance stands at 60.13 percent. Participates in Drama as an extracurricular activity.
Student S12058 named Courtney Jones, age 14, gender Female, is in Class 5. Scored 63 in Math, 40 in Science, 95 in English, 82 in History, and 65 in Computer, totaling 345 marks with Grade C. Attendance stands at 67.17 percent. Participates in Dance as an extracurricular activity.
Student S12081 named Peter Davis, age 16, gender Female, is in Class 5. Scored 40 in Math, 83 in Science, 36 in English, 96 in History, and 48 in Computer, totaling 303 marks with Grade C. Attendance stands at 96.86 percent. Participates in None as an extracurricular activity.
Student S12082 named Stephen Franco DDS, age 13, gender Male, is in Class 5. Scored 33 in Math, 96 in Science, 45 in English, 39 in History, and 97 in Computer, totaling 310 marks with Grade C. Attendance stands at 94.33 percent. Participates in Music as an extracurricular activity.
Student S12089 named Jesse Solis, age 14, gender Male, is in Class 5. Scored 52 in Math, 40 in Science, 62 in English, 42 in History, and 64 in Computer, totaling 260 marks with Grade D. Attendance stands at 60.38 percent. Participates in Drama as an extracurricular activity.
Student S12098 named Stuart Wu, age 17, gender Female, is in Class 5. Scored 61 in Math, 99 in Science, 71 in English, 63 in History, and 58 in Computer, totaling 352 marks with Grade C. Attendance stands at 70.38 percent. Participates in Football as an extracurricular activity.
Student S12104 named Frank Silva, age 10, gender Female, is in Class 5. Scored 72 in Math, 34 in Science, 88 in English, 34 in History, and 78 in Computer, totaling 306 marks with Grade C. Attendance stands at 81.24 percent. Participates in Music as an extracurricular activity.
Student S12105 named Charlotte Dalton, age 10, gender Male, is in Class 5. Scored 45 in Math, 44 in Science, 94 in English, 49 in History, and 87 in Computer, totaling 319 marks with Grade C. Attendance stands at 95.89 percent. Participates in Drama as an extracurricular activity.
Student S12112 named Savannah Richardson, age 12, gender Male, is in Class 5. Scored 66 in Math, 39 in Science, 49 in English, 37 in History, and 75 in Computer, totaling 266 marks with Grade D. Attendance stands at 87.04 percent. Participates in None as an extracurricular activity.
Student S12114 named Crystal Cabrera, age 11, gender Female, is in Class 5. Scored 53 in Math, 98 in Science, 47 in English, 70 in History, and 92 in Computer, totaling 360 marks with Grade C. Attendance stands at 70.43 percent. Participates in Dance as an extracurricular activity.
Student S12117 named Mr. William Guerra, age 10, gender Male, is in Class 5. Scored 57 in Math, 51 in Science, 79 in English, 77 in History, and 66 in Computer, totaling 330 marks with Grade C. Attendance stands at 98.23 percent. Participates in Drama as an extracurricular activity.
Student S12140 named Joseph Gray, age 10, gender Female, is in Class 5. Scored 49 in Math, 90 in Science, 87 in English, 59 in History, and 33 in Computer, totaling 318 marks with Grade C. Attendance stands at 99.02 percent. Participates in Dance as an extracurricular activity.
Student S12143 named Deanna Morgan, age 11, gender Female, is in Class 5. Scored 96 in Math, 69 in Science, 71 in English, 91 in History, and 92 in Computer, totaling 419 marks with Grade B. Attendance stands at 74.24 percent. Participates in Dance as an extracurricular activity.
Student S12156 named Megan Ellison, age 11, gender Female, is in Class 5. Scored 42 in Math, 83 in Science, 78 in English, 77 in History, and 30 in Computer, totaling 310 marks with Grade C. Attendance stands at 67.78 percent. Participates in Football as an extracurricular activity.
Student S12178 named Nicholas Clark, age 13, gender Female, is in Class 5. Scored 47 in Math, 52 in Science, 46 in English, 33 in History, and 30 in Computer, totaling 208 marks with Grade D. Attendance stands at 62.76 percent. Participates in Music as an extracurricular activity.
Student S12193 named Robert Thompson, age 14, gender Male, is in Class 5. Scored 75 in Math, 38 in Science, 98 in English, 60 in History, and 68 in Computer, totaling 339 marks with Grade C. Attendance stands at 94.06 percent. Participates in Music as an extracurricular activity.
Student S12194 named Chelsea Fuller, age 11, gender Female, is in Class 5. Scored 41 in Math, 54 in Science, 59 in English, 53 in History, and 82 in Computer, totaling 289 marks with Grade D. Attendance stands at 84.05 percent. Participates in Debate as an extracurricular activity.
Student S12195 named Mary Duncan, age 12, gender Female, is in Class 5. Scored 41 in Math, 70 in Science, 66 in English, 65 in History, and 67 in Computer, totaling 309 marks with Grade C. Attendance stands at 97.78 percent. Participates in Dance as an extracurricular activity.
Student S12198 named Kevin Diaz, age 11, gender Male, is in Class 5. Scored 48 in Math, 40 in Science, 69 in English, 93 in History, and 59 in Computer, totaling 309 marks with Grade C. Attendance stands at 78.44 percent. Participates in None as an extracurricular activity.
Student S12202 named Kathryn Moreno, age 15, gender Male, is in Class 5. Scored 73 in Math, 86 in Science, 51 in English, 85 in History, and 64 in Computer, totaling 359 marks with Grade C. Attendance stands at 98.10 percent. Participates in Debate as an extracurricular activity.
Student S12207 named Eric Sexton, age 11, gender Female, is in Class 5. Scored 61 in Math, 63 in Science, 50 in English, 68 in History, and 54 in Computer, totaling 296 marks with Grade D. Attendance stands at 97.45 percent. Participates in None as an extracurricular activity.
Student S12226 named Michael Curtis, age 11, gender Female, is in Class 5. Scored 82 in Math, 82 in Science, 95 in English, 32 in History, and 30 in Computer, totaling 321 marks with Grade C. Attendance stands at 61.73 percent. Participates in Football as an extracurricular activity.
Student S12227 named Alexandra Garcia, age 16, gender Female, is in Class 5. Scored 65 in Math, 63 in Science, 53 in English, 90 in History, and 33 in Computer, totaling 304 marks with Grade C. Attendance stands at 65.63 percent. Participates in Football as an extracurricular activity.
Student S12235 named Leslie Nelson, age 11, gender Male, is in Class 5. Scored 62 in Math, 44 in Science, 45 in English, 82 in History, and 31 in Computer, totaling 264 marks with Grade D. Attendance stands at 84.98 percent. Participates in Football as an extracurricular activity.
Student S12242 named Jeffrey Evans, age 10, gender Male, is in Class 5. Scored 97 in Math, 34 in Science, 74 in English, 51 in History, and 72 in Computer, totaling 328 marks with Grade C. Attendance stands at 92.02 percent. Participates in Football as an extracurricular activity.
Student S12250 named Kelly Jones, age 17, gender Male, is in Class 5. Scored 60 in Math, 91 in Science, 80 in English, 52 in History, and 64 in Computer, totaling 347 marks with Grade C. Attendance stands at 63.58 percent. Participates in Music as an extracurricular activity.
Student S12255 named Ronnie Cohen, age 14, gender Female, is in Class 5. Scored 68 in Math, 82 in Science, 32 in English, 59 in History, and 78 in Computer, totaling 319 marks with Grade C. Attendance stands at 85.42 percent. Participates in Football as an extracurricular activity.
Student S12256 named Michele Stevens, age 17, gender Male, is in Class 5. Scored 94 in Math, 83 in Science, 33 in English, 69 in History, and 99 in Computer, totaling 378 marks with Grade C. Attendance stands at 88.66 percent. Participates in Drama as an extracurricular activity.
Student S12258 named Lauren Castillo, age 17, gender Female, is in Class 5. Scored 65 in Math, 44 in Science, 84 in English, 61 in History, and 48 in Computer, totaling 302 marks with Grade C. Attendance stands at 89.67 percent. Participates in Drama as an extracurricular activity.
Student S12273 named Steven Scott, age 15, gender Male, is in Class 5. Scored 55 in Math, 48 in Science, 46 in English, 65 in History, and 66 in Computer, totaling 280 marks with Grade D. Attendance stands at 78.87 percent. Participates in Football as an extracurricular activity.
Student S12280 named Matthew Chambers, age 17, gender Male, is in Class 5. Scored 41 in Math, 74 in Science, 77 in English, 71 in History, and 98 in Computer, totaling 361 marks with Grade C. Attendance stands at 82.86 percent. Participates in Dance as an extracurricular activity.
Student S12285 named Mrs. Kiara Cunningham PhD, age 15, gender Female, is in Class 5. Scored 88 in Math, 40 in Science, 75 in English, 92 in History, and 80 in Computer, totaling 375 marks with Grade C. Attendance stands at 75.36 percent. Participates in Dance as an extracurricular activity.
Student S12287 named Shannon Jones, age 14, gender Male, is in Class 5. Scored 81 in Math, 51 in Science, 38 in English, 79 in History, and 68 in Computer, totaling 317 marks with Grade C. Attendance stands at 63.47 percent. Participates in None as an extracurricular activity.
Student S12292 named Abigail Taylor, age 14, gender Male, is in Class 5. Scored 92 in Math, 88 in Science, 86 in English, 66 in History, and 78 in Computer, totaling 410 marks with Grade B. Attendance stands at 88.48 percent. Participates in Music as an extracurricular activity.
Student S12298 named Kelsey Farmer, age 10, gender Female, is in Class 5. Scored 78 in Math, 61 in Science, 48 in English, 97 in History, and 82 in Computer, totaling 366 marks with Grade C. Attendance stands at 86.11 percent. Participates in None as an extracurricular activity.
Student S12308 named Molly Lozano, age 13, gender Female, is in Class 5. Scored 47 in Math, 63 in Science, 40 in English, 48 in History, and 44 in Computer, totaling 242 marks with Grade D. Attendance stands at 89.68 percent. Participates in None as an extracurricular activity.
Student S12313 named Teresa Jones, age 12, gender Female, is in Class 5. Scored 43 in Math, 60 in Science, 72 in English, 71 in History, and 31 in Computer, totaling 277 marks with Grade D. Attendance stands at 85.46 percent. Participates in Music as an extracurricular activity.
Student S12325 named Matthew Foster, age 11, gender Female, is in Class 5. Scored 42 in Math, 81 in Science, 74 in English, 60 in History, and 42 in Computer, totaling 299 marks with Grade D. Attendance stands at 95.23 percent. Participates in Dance as an extracurricular activity.
Student S12332 named Jennifer Spencer, age 10, gender Male, is in Class 5. Scored 39 in Math, 61 in Science, 87 in English, 45 in History, and 37 in Computer, totaling 269 marks with Grade D. Attendance stands at 66.46 percent. Participates in Dance as an extracurricular activity.
Student S12336 named Madeline Garcia, age 14, gender Female, is in Class 5. Scored 95 in Math, 62 in Science, 59 in English, 91 in History, and 37 in Computer, totaling 344 marks with Grade C. Attendance stands at 79.06 percent. Participates in None as an extracurricular activity.
Student S12365 named Alicia Cox, age 16, gender Female, is in Class 5. Scored 81 in Math, 74 in Science, 85 in English, 92 in History, and 61 in Computer, totaling 393 marks with Grade C. Attendance stands at 81.92 percent. Participates in Football as an extracurricular activity.
Student S12373 named Mark Jackson, age 12, gender Female, is in Class 5. Scored 87 in Math, 40 in Science, 46 in English, 41 in History, and 63 in Computer, totaling 277 marks with Grade D. Attendance stands at 72.72 percent. Participates in None as an extracurricular activity.
Student S12381 named Adam Lyons, age 15, gender Male, is in Class 5. Scored 49 in Math, 31 in Science, 55 in English, 69 in History, and 91 in Computer, totaling 295 marks with Grade D. Attendance stands at 85.52 percent. Participates in Football as an extracurricular activity.
Student S12386 named Danielle Howell, age 12, gender Male, is in Class 5. Scored 37 in Math, 46 in Science, 94 in English, 71 in History, and 81 in Computer, totaling 329 marks with Grade C. Attendance stands at 89.94 percent. Participates in Drama as an extracurricular activity.
Student S12391 named Bailey Harris, age 12, gender Female, is in Class 5. Scored 64 in Math, 82 in Science, 98 in English, 91 in History, and 57 in Computer, totaling 392 marks with Grade C. Attendance stands at 97.16 percent. Participates in Music as an extracurricular activity.
Student S12398 named Alexandra Williams, age 11, gender Female, is in Class 5. Scored 54 in Math, 62 in Science, 85 in English, 87 in History, and 82 in Computer, totaling 370 marks with Grade C. Attendance stands at 69.34 percent. Participates in Debate as an extracurricular activity.
Student S12417 named Erica Martinez, age 15, gender Male, is in Class 5. Scored 49 in Math, 30 in Science, 87 in English, 79 in History, and 42 in Computer, totaling 287 marks with Grade D. Attendance stands at 86.04 percent. Participates in Football as an extracurricular activity.
Student S12425 named Leah Jones, age 11, gender Female, is in Class 5. Scored 35 in Math, 90 in Science, 76 in English, 35 in History, and 56 in Computer, totaling 292 marks with Grade D. Attendance stands at 76.51 percent. Participates in Drama as an extracurricular activity.
Student S12435 named Raymond Hunt, age 11, gender Male, is in Class 5. Scored 36 in Math, 73 in Science, 63 in English, 97 in History, and 51 in Computer, totaling 320 marks with Grade C. Attendance stands at 97.94 percent. Participates in Drama as an extracurricular activity.
Student S12436 named Danielle Eaton, age 10, gender Male, is in Class 5. Scored 91 in Math, 39 in Science, 86 in English, 48 in History, and 79 in Computer, totaling 343 marks with Grade C. Attendance stands at 67.22 percent. Participates in None as an extracurricular activity.
