Student S10001 named Rebecca Vargas, age 15, gender Male, is in Class 8. Scored 40 in Math, 94 in Science, 42 in English, 66 in History, and 70 in Computer, totaling 312 marks with Grade C. Attendance stands at 69.78 percent. Participates in Drama as an extracurricular activity.
Student S11814 named Jeremy Marsh, age 11, gender Female, is in Class 8. Scored 65 in Math, 54 in Science, 35 in English, 95 in History, and 31 in Computer, totaling 280 marks with Grade D. Attendance stands at 78.40 percent. Participates in Football as an extracurricular activity.
Student S11817 named Angel Salinas, age 11, gender Male, is in Class 8. Scored 40 in Math, 89 in Science, 92 in English, 73 in History, and 51 in Computer, totaling 345 marks with Grade C. Attendance stands at 98.99 percent. Participates in Music as an extracurricular activity.
Student S11821 named Mary Coleman, age 10, gender Female, is in Class 8. Scored 52 in Math, 70 in Science, 77 in English, 38 in History, and 81 in Computer, totaling 318 marks with Grade C. Attendance stands at 81.06 percent. Participates in Dance as an extracurricular activity.
Student S11825 named Michael Hernandez, age 13, gender Male, is in Class 8. Scored 50 in Math, 82 in Science, 47 in English, 49 in History, and 42 in Computer, totaling 270 marks with Grade D. Attendance stands at 74.50 percent. Participates in None as an extracurricular activity.
Student S11845 named Michael Williams, age 17, gender Female, is in Class 8. Scored 82 in Math, 46 in Science, 30 in English, 62 in History, and 48 in Computer, totaling 268 marks with Grade D. Attendance stands at 80.43 percent. Participates in None as an extracurricular activity.
Student S11849 named Amanda Herrera, age 13, gender Female, is in Class 8. Scored 75 in Math, 35 in Science, 79 in English, 97 in History, and 76 in Computer, totaling 362 marks with Grade C. Attendance stands at 97.56 percent. Participates in Football as an extracurricular activity.
Student S11861 named Timothy Murphy, age 16, gender Male, is in Class 8. Scored 96 in Math, 55 in Science, 84 in English, 31 in History, and 61 in Computer, totaling 327 marks with Grade C. Attendance stands at 96.01 percent. Participates in Dance as an extracurricular activity.
Student S11868 named Robert Smith, age 13, gender Male, is in Class 8. Scored 37 in Math, 32 in Science, 45 in English, 33 in History, and 57 in Computer, totaling 204 marks with Grade D. Attendance stands at 88.35 percent. Participates in Drama as an extracurricular activity.
Student S11896 named Robert King, age 12, gender Male, is in Class 8. Scored 70 in Math, 74 in Science, 84 in English, 72 in History, and 86 in Computer, totaling 386 marks with Grade C. Attendance stands at 82.90 percent. Participates in Drama as an extracurricular activity.
Student S11905 named Jason Hoffman, age 10, gender Male, is in Class 8. Scored 57 in Math, 76 in Science, 70 in English, 45 in History, and 77 in Computer, totaling 325 marks with Grade C. Attendance stands at 60.99 percent. Participates in Drama as an extracurricular activity.
Student S11906 named David Sharp, age 14, gender Female, is in Class 8. Scored 44 in Math, 76 in Science, 65 in English, 40 in History, and 38 in Computer, totaling 263 marks with Grade D. Attendance stands at 97.62 percent. Participates in Drama as an extracurricular activity.
Student S11915 named Jessica James, age 17, gender Female, is in Class 8. Scored 42 in Math, 92 in Science, 64 in English, 60 in History, and 84 in Computer, totaling 342 marks with Grade C. Attendance stands at 73.93 percent. Participates in Dance as an extracurricular activity.
Student S11936 named Laura Cobb, age 16, gender Male, is in Class 8. Scored 68 in Math, 86 in Science, 70 in English, 57 in History, and 94 in Computer, totaling 375 marks with Grade C. Attendance stands at 95.97 percent. Participates in None as an extracurricular activity.
Student S11960 named Walter Miller, age 13, gender Male, is in Class 8. Scored 35 in Math, 62 in Science, 41 in English, 84 in History, and 91 in Computer, totaling 313 marks with Grade C. Attendance stands at 84.90 percent. Participates in None as an extracurricular activity.
Student S11991 named John Williamson, age 12, gender Male, is in Class 8. Scored 39 in Math, 64 in Science, 68 in English, 94 in History, and 67 in Computer, totaling 332 marks with Grade C. Attendance stands at 70.14 percent. Participates in Drama as an extracurricular activity.
Student S11997 named Kelsey Fernandez, age 12, gender Male, is in Class 8. Scored 56 in Math, 58 in Science, 86 in English, 75 in History, and 85 in Computer, totaling 360 marks with Grade C. Attendance stands at 78.69 percent. Participates in Debate as an extracurricular activity.
Student S12005 named John Shannon, age 14, gender Female, is in Class 8. Scored 37 in Math, 77 in Science, 65 in English, 95 in History, and 45 in Computer, totaling 319 marks with Grade C. Attendance stands at 99.22 percent. Participates in Music as an extracurricular activity.
Student S12017 named Troy Valdez, age 17, gender Male, is in Class 8. Scored 64 in Math, 67 in Science, 96 in English, 95 in History, and 84 in Computer, totaling 406 marks with Grade B. Attendance stands at 88.97 percent. Participates in Dance as an extracurricular activity.
Student S12026 named Christopher Baker, age 13, gender Male, is in Class 8. Scored 49 in Math, 31 in Science, 36 in English, 97 in History, and 31 in Computer, totaling 244 marks with Grade D. Attendance stands at 89.30 percent. Participates in Debate as an extracurricular activity.
Student S12027 named Daniel Lane, age 17, gender Female, is in Class 8. Scored 84 in Math, 46 in Science, 80 in English, 71 in History, and 80 in Computer, totaling 361 marks with Grade C. Attendance stands at 87.74 percent. Participates in Dance as an extracurricular activity.
Student S12044 named Nichole Haas, age 10, gender Female, is in Class 8. Scored 82 in Math, 98 in Science, 96 in English, 37 in History, and 67 in Computer, totaling 380 marks with Grade C. Attendance stands at 88.42 percent. Participates in Drama as an extracurricular activity.
Student S12051 named Thomas Hamilton, age 13, gender Female, is in Class 8. Scored 56 in Math, 92 in Science, 50 in English, 64 in History, and 39 in Computer, totaling 301 marks with Grade C. Attendance stands at 76.84 percent. Participates in Drama as an extracurricular activity.
Student S12059 named Charlene Ware, age 12, gender Male, is in Class 8. Scored 55 in Math, 65 in Science, 59 in English, 40 in History, and 33 in Computer, totaling 252 marks with Grade D. Attendance stands at 76.62 percent. Participates in None as an extracurricular activity.
Student S12061 named Kim Rice, age 11, gender Male, is in Class 8. Scored 90 in Math, 84 in Science, 69 in English, 99 in History, and 78 in Computer, totaling 420 marks with Grade B. Attendance stands at 79.66 percent. Participates in Drama as an extracurricular activity.
Student S12075 named Marcus White, age 11, gender Male, is in Class 8. Scored 96 in Math, 34 in Science, 63 in English, 74 in History, and 77 in Computer, totaling 344 marks with Grade C. Attendance stands at 81.55 percent. Participates in Debate as an extracurricular activity.
Student S12087 named Eric Morrison, age 11, gender Female, is in Class 8. Scored 99 in Math, 80 in Science, 65 in English, 31 in History, and 71 in Computer, totaling 346 marks with Grade C. Attendance stands at 89.85 percent. Participates in Debate as an extracurricular activity.
Student S12093 named John Kaiser, age 15, gender Female, is in Class 8. Scored 67 in Math, 78 in Science, 56 in English, 30 in History, and 78 in Computer, totaling 309 marks with Grade C. Attendance stands at 95.64 percent. Participates in Football as an extracurricular activity.
Student S12101 named Randall Velazquez, age 11, gender Female, is in Class 8. Scored 72 in Math, 98 in Science, 95 in English, 62 in History, and 52 in Computer, totaling 379 marks with Grade C. Attendance stands at 61.84 percent. Participates in Dance as an extracurricular activity.
Student S12109 named Chloe Diaz, age 13, gender Male, is in Class 8. Scored 89 in Math, 96 in Science, 69 in English, 74 in History, and 76 in Computer, totaling 404 marks with Grade B. Attendance stands at 75.68 percent. Participates in Football as an extracurricular activity.
Student S12134 named David Lee, age 15, gender Male, is in Class 8. Scored 96 in Math, 90 in Science, 31 in English, 92 in History, and 48 in Computer, totaling 357 marks with Grade C. Attendance stands at 64.01 percent. Participates in Dance as an extracurricular activity.
Student S12136 named Melissa Rowe, age 15, gender Female, is in Class 8. Scored 94 in Math, 33 in Science, 75 in English, 48 in History, and 31 in Computer, totaling 281 marks with Grade D. Attendance stands at 98.03 percent. Participates in Dance as an extracurricular activity.
Student S12154 named Troy White, age 15, gender Male, is in Class 8. Scored 32 in Math, 68 in Science, 59 in English, 74 in History, and 32 in Computer, totaling 265 marks with Grade D. Attendance stands at 99.08 percent. Participates in None as an extracurricular activity.
Student S12158 named Michelle Wilson, age 15, gender Male, is in Class 8. Scored 95 in Math, 62 in Science, 56 in English, 33 in History, and 71 in Computer, totaling 317 marks with Grade C. Attendance stands at 95.20 percent. Participates in Dance as an extracurricular activity.
Student S12166 named Robert Wilson, age 11, gender Female, is in Class 8. Scored 83 in Math, 37 in Science, 32 in English, 68 in History, and 88 in Computer, totaling 308 marks with Grade C. Attendance stands at 93.26 percent. Participates in Drama as an extracurricular activity.
Student S12173 named Frederick Ponce, age 15, gender Female, is in Class 8. Scored 77 in Math, 43 in Science, 52 in English, 41 in History, and 50 in Computer, totaling 263 marks with Grade D. Attendance stands at 99.38 percent. Participates in Music as an extracurricular activity.
Student S12182 named Edward Meyers, age 16, gender Female, is in Class 8. Scored 48 in Math, 64 in Science, 56 in English, 36 in History, and 45 in Computer, totaling 249 marks with Grade D. Attendance stands at 82.05 percent. Participates in Music as an extracurricular activity.
Student S12183 named Russell Hayden, age 11, gender Female, is in Class 8. Scored 36 in Math, 66 in Science, 58 in English, 84 in History, and 49 in Computer, totaling 293 marks with Grade D. Attendance stands at 84.56 percent. Participates in Drama as an extracurricular activity.
Student S12189 named John Huang, age 10, gender Male, is in Class 8. Scored 71 in Math, 53 in Science, 42 in English, 46 in History, and 37 in Computer, totaling 249 marks with Grade D. Attendance stands at 99.67 percent. Participates in Football as an extracurricular activity.
Student S12201 named Andrea Chapman, age 12, gender Female, is in Class 8. Scored 99 in Math, 84 in Science, 57 in English, 91 in History, and 58 in Computer, totaling 389 marks with Grade C. Attendance stands at 90.54 percent. Participates in Dance as an extracurricular activity.
Student S12208 named Karen Brown, age 10, gender Female, is in Class 8. Scored 54 in Math, 77 in Science, 38 in English, 95 in History, and 50 in Computer, totaling 314 marks with Grade C. Attendance stands at 93.68 percent. Participates in Dance as an extracurricular activity.
Student S12213 named Harry Jennings, age 14, gender Female, is in Class 8. Scored 88 in Math, 44 in Science, 91 in English, 34 in History, and 86 in Computer, totaling 343 marks with Grade C. Attendance stands at 68.79 percent. Participates in Debate as an extracurricular activity.
Student S12216 named Kurt Reynolds, age 14, gender Male, is in Class 8. Scored 62 in Math, 64 in Science, 49 in English, 70 in History, and 49 in Computer, totaling 294 marks with Grade D. Attendance stands at 94.23 percent. Participates in None as an extracurricular activity.
Student S12219 named Brandy Thompson, age 11, gender Female, is in Class 8. Scored 47 in Math, 39 in Science, 41 in English, 75 in History, and 75 in Computer, totaling 277 marks with Grade D. Attendance stands at 80.22 percent. Participates in Football as an extracurricular activity.
Student S12220 named Mariah Watts, age 13, gender Male, is in Class 8. Scored 69 in Math, 62 in Science, 38 in English, 43 in History, and 90 in Computer, totaling 302 marks with Grade C. Attendance stands at 94.94 percent. Participates in Drama as an extracurricular activity.
Student S12231 named Vernon Guerrero, age 10, gender Male, is in Class 8. Scored 51 in Math, 97 in Science, 90 in English, 53 in History, and 97 in Computer, totaling 388 marks with Grade C. Attendance stands at 98.38 percent. Participates in Debate as an extracurricular activity.
Student S12232 named Elizabeth Webb, age 17, gender Female, is in Class 8. Scored 73 in Math, 75 in Science, 99 in English, 38 in History, and 35 in Computer, totaling 320 marks with Grade C. Attendance stands at 83.33 percent. Participates in None as an extracurricular activity.
Student S12259 named Kimberly Martinez, age 15, gender Male, is in Class 8. Scored 54 in Math, 88 in Science, 56 in English, 36 in History, and 92 in Computer, totaling 326 marks with Grade C. Attendance stands at 83.14 percent. Participates in Debate as an extracurricular activity.
Student S12260 named Kimberly Andrews, age 15, gender Female, is in Class 8. Scored 40 in Math, 78 in Science, 55 in English, 89 in History, and 50 in Computer, totaling 312 marks with Grade C. Attendance stands at 90.37 percent. Participates in None as an extracurricular activity.
Student S12265 named Vincent Romero, age 11, gender Male, is in Class 8. Scored 52 in Math, 45 in Science, 30 in English, 72 in History, and 81 in Computer, totaling 280 marks with Grade D. Attendance stands at 88.78 percent. Participates in Drama as an extracurricular activity.
Student S12268 named Jason Harrington, age 17, gender Female, is in Class 8. Scored 30 in Math, 99 in Science, 81 in English, 91 in History, and 67 in Computer, totaling 368 marks with Grade C. Attendance stands at 97.59 percent. Participates in None as an extracurricular activity.
Student S12269 named Stanley Medina, age 14, gender Male, is in Class 8. Scored 52 in Math, 65 in Science, 34 in English, 93 in History, and 70 in Computer, totaling 314 marks with Grade C. Attendance stands at 69.49 percent. Participates in None as an extracurricular activity.
Student S12277 named Jeffrey Riggs, age 11, gender Female, is in Class 8. Scored 49 in Math, 81 in Science, 66 in English, 85 in History, and 87 in Computer, totaling 368 marks with Grade C. Attendance stands at 81.11 percent. Participates in Drama as an extracurricular activity.
Student S12278 named Crystal Rubio, age 10, gender Male, is in Class 8. Scored 79 in Math, 32 in Science, 91 in English, 57 in History, and 63 in Computer, totaling 322 marks with Grade C. Attendance stands at 63.40 percent. Participates in Music as an extracurricular activity.
Student S12279 named Jacob Johnston, age 10, gender Female, is in Class 8. Scored 82 in Math, 97 in Science, 44 in English, 59 in History, and 85 in Computer, totaling 367 marks with Grade C. Attendance stands at 99.72 percent. Participates in Dance as an extracurricular activity.
Student S12286 named Cory Hall, age 11, gender Male, is in Class 8. Scored 89 in Math, 78 in Science, 67 in English, 59 in History, and 73 in Computer, totaling 366 marks with Grade C. Attendance stands at 94.49 percent. Participates in Football as an extracurricular activity.
Student S12288 named Nicole Gibson, age 15, gender Male, is in Class 8. Scored 51 in Math, 85 in Science, 45 in English, 55 in History, and 38 in Computer, totaling 274 marks with Grade D. Attendance stands at 65.44 percent. Participates in None as an extracurricular activity.
Student S12300 named Belinda Sharp, age 13, gender Female, is in Class 8. Scored 96 in Math, 36 in Science, 50 in English, 85 in History, and 93 in Computer, totaling 360 marks with Grade C. Attendance stands at 90.29 percent. Participates in Music as an extracurricular activity.
Student S12311 named Benjamin Odonnell, age 11, gender Female, is in Class 8. Scored 36 in Math, 68 in Science, 37 in English, 65 in History, and 98 in Computer, totaling 304 marks with Grade C. Attendance stands at 77.55 percent. Participates in Football as an extracurricular activity.
Student S12315 named Christina Smith, age 10, gender Female, is in Class 8. Scored 63 in Math, 56 in Science, 60 in English, 77 in History, and 39 in Computer, totaling 295 marks with Grade D. Attendance stands at 93.34 percent. Participates in Music as an extracurricular activity.
Student S12317 named Christina Martin, age 11, gender Female, is in Class 8. Scored 38 in Math, 83 in Science, 92 in English, 75 in History, and 32 in Computer, totaling 320 marks with Grade C. Attendance stands at 94.65 percent. Participates in Drama as an extracurricular activity.
Student S12326 named Aaron Parks, age 15, gender Male, is in Class 8. Scored 71 in Math, 67 in Science, 60 in English, 69 in History, and 48 in Computer, totaling 315 marks with Grade C. Attendance stands at 73.99 percent. Participates in Dance as an extracurricular activity.
Student S12329 named Lindsay Schmitt, age 13, gender Female, is in Class 8. Scored 76 in Math, 57 in Science, 42 in English, 56 in History, and 35 in Computer, totaling 266 marks with Grade D. Attendance stands at 66.13 percent. Participates in None as an extracurricular activity.
Student S12339 named Deanna Garcia, age 15, gender Female, is in Class 8. Scored 89 in Math, 74 in Science, 53 in English, 98 in History, and 43 in Computer, totaling 357 marks with Grade C. Attendance stands at 95.69 percent. Participates in Football as an extracurricular activity.
Student S12345 named David Keller, age 12, gender Male, is in Class 8. Scored 48 in Math, 68 in Science, 68 in English, 49 in History, and 88 in Computer, totaling 321 marks with Grade C. Attendance stands at 65.16 percent. Participates in Music as an extracurricular activity.
Student S12348 named Tyler Robles, age 10, gender Female, is in Class 8. Scored 86 in Math, 61 in Science, 44 in English, 75 in History, and 61 in Computer, totaling 327 marks with Grade C. Attendance stands at 91.24 percent. Participates in Music as an extracurricular activity.
Student S12350 named Elizabeth Perez, age 15, gender Female, is in Class 8. Scored 82 in Math, 97 in Science, 44 in English, 77 in History, and 36 in Computer, totaling 336 marks with Grade C. Attendance stands at 99.67 percent. Participates in Drama as an extracurricular activity.
Student S12367 named Barry Cannon, age 12, gender Male, is in Class 8. Scored 54 in Math, 74 in Science, 54 in English, 55 in History, and 68 in Computer, totaling 305 marks with Grade C. Attendance stands at 83.77 percent. Participates in None as an extracurricular activity.
Student S12379 named Michael King, age 16, gender Male, is in Class 8. Scored 34 in Math, 43 in Science, 74 in English, 39 in History, and 36 in Computer, totaling 226 marks with Grade D. Attendance stands at 89.63 percent. Participates in Dance as an extracurricular activity.
Student S12383 named Sandra White, age 17, gender Male, is in Class 8. Scored 73 in Math, 41 in Science, 70 in English, 93 in History, and 64 in Computer, totaling 341 marks with Grade C. Attendance stands at 86.35 percent. Participates in Dance as an extracurricular activity.
Student S12384 named Jeffrey Sanchez, age 15, gender Female, is in Class 8. Scored 95 in Math, 64 in Science, 85 in English, 40 in History, and 31 in Computer, totaling 315 marks with Grade C. Attendance stands at 96.73 percent. Participates in Music as an extracurricular activity.
Student S12388 named Joan Adams, age 12, gender Female, is in Class 8. Scored 53 in Math, 50 in Science, 75 in English, 97 in History, and 81 in Computer, totaling 356 marks with Grade C. Attendance stands at 94.17 percent. Participates in Debate as an extracurricular activity.
Student S12403 named Meredith Lee, age 13, gender Male, is in Class 8. Scored 42 in Math, 87 in Science, 77 in English, 74 in History, and 64 in Computer, totaling 344 marks with Grade C. Attendance stands at 95.69 percent. Participates in Music as an extracurricular activity.
Student S12404 named Danielle Clark, age 14, gender Female, is in Class 8. Scored 93 in Math, 86 in Science, 64 in English, 60 in History, and 60 in Computer, totaling 363 marks with Grade C. Attendance stands at 94.69 percent. Participates in None as an extracurricular activity.
Student S12406 named Pamela Bush, age 16, gender Female, is in Class 8. Scored 37 in Math, 56 in Science, 98 in English, 70 in History, and 83 in Computer, totaling 344 marks with Grade C. Attendance stands at 89.20 percent. Participates in None as an extracurricular activity.
Student S12409 named Melissa Davis, age 10, gender Male, is in Class 8. Scored 53 in Math, 63 in Science, 48 in English, 63 in History, and 93 in Computer, totaling 320 marks with Grade C. Attendance stands at 83.38 percent. Participates in None as an extracurricular activity.
Student S12411 named Robin Wade, age 14, gender Male, is in Class 8. Scored 54 in Math, 35 in Science, 50 in English, 97 in History, and 42 in Computer, totaling 278 marks with Grade D. Attendance stands at 97.65 percent. Participates in Drama as an extracurricular activity.
Student S12438 named David Thompson, age 17, gender Male, is in Class 8. Scored 76 in Math, 90 in Science, 35 in English, 75 in History, and 87 in Computer, totaling 363 marks with Grade C. Attendance stands at 89.96 percent. Participates in Drama as an extracurricular activity.
Student S12439 named Denise Rodriguez, age 15, gender Female, is in Class 8. Scored 43 in Math, 95 in Science, 68 in English, 91 in History, and 33 in Computer, totaling 330 marks with Grade C. Attendance stands at 94.33 percent. Participates in Debate as an extracurricular activity.
Student S12453 named Gerald King, age 11, gender Female, is in Class 8. Scored 62 in Math, 66 in Science, 73 in English, 60 in History, and 77 in Computer, totaling 338 marks with Grade C. Attendance stands at 84.71 percent. Participates in Dance as an extracurricular activity.
Student S12464 named Lawrence Wallace, age 11, gender Male, is in Class 8. Scored 30 in Math, 50 in Science, 37 in English, 51 in History, and 43 in Computer, totaling 211 marks with Grade D. Attendance stands at 83.12 percent. Participates in Dance as an extracurricular activity.
Student S12465 named Lauren Larson, age 15, gender Male, is in Class 8. Scored 90 in Math, 76 in Science, 50 in English, 53 in History, and 60 in Computer, totaling 329 marks with Grade C. Attendance stands at 66.42 percent. Participates in None as an extracurricular activity.
Student S12473 named Nicole Johnson, age 11, gender Female, is in Class 8. Scored 47 in Math, 75 in Science, 38 in English, 98 in History, and 77 in Computer, totaling 335 marks with Grade C. Attendance stands at 68.62 percent. Participates in Dance as an extracurricular activity.
Student S12477 named David Miller, age 15, gender Female, is in Class 8. Scored 64 in Math, 74 in Science, 80 in English, 82 in History, and 62 in Computer, totaling 362 marks with Grade C. Attendance stands at 67.53 percent. Participates in Dance as an extracurricular activity.
Student S12492 named Lindsay Torres, age 16, gender Male, is in Class 8. Scored 65 in Math, 38 in Science, 39 in English, 43 in History, and 57 in Computer, totaling 242 marks with Grade D. Attendance stands at 84.83 percent. Participates in Debate as an extracurricular activity.
Student S12501 named Manuel Baxter, age 13, gender Female, is in Class 8. Scored 62 in Math, 30 in Science, 36 in English, 63 in History, and 62 in Computer, totaling 253 marks with Grade D. Attendance stands at 77.63 percent. Participates in None as an extracurricular activity.
Student S12502 named Timothy Haynes, age 15, gender Male, is in Class 8. Scored 97 in Math, 95 in Science, 95 in English, 79 in History, and 38 in Computer, totaling 404 marks with Grade B. Attendance stands at 95.45 percent. Participates in Music as an extracurricular activity.
Student S12516 named David Clark, age 11, gender Female, is in Class 8. Scored 33 in Math, 66 in Science, 70 in English, 95 in History, and 69 in Computer, totaling 333 marks with Grade C. Attendance stands at 80.15 percent. Participates in Football as an extracurricular activity.
Student S12526 named William Cohen, age 13, gender Male, is in Class 8. Scored 63 in Math, 46 in Science, 46 in English, 92 in History, and 42 in Computer, totaling 289 marks with Grade D. Attendance stands at 91.75 percent. Participates in Debate as an extracurricular activity.
Student S12530 named Thomas Harris, age 13, gender Female, is in Class 8. Scored 91 in Math, 56 in Science, 57 in English, 53 in History, and 96 in Computer, totaling 353 marks with Grade C. Attendance stands at 60.99 percent. Participates in Football as an extracurricular activity.
Student S12532 named David Miller, age 10, gender Male, is in Class 8. Scored 78 in Math, 37 in Science, 57 in English, 81 in History, and 41 in Computer, totaling 294 marks with Grade D. Attendance stands at 88.86 percent. Participates in None as an extracurricular activity.
Student S12544 named Kayla Sanchez, age 16, gender Male, is in Class 8. Scored 61 in Math, 48 in Science, 66 in English, 90 in History, and 70 in Computer, totaling 335 marks with Grade C. Attendance stands at 85.13 percent. Participates in Dance as an extracurricular activity.
Student S12548 named John Gay, age 15, gender Female, is in Class 8. Scored 38 in Math, 62 in Science, 50 in English, 41 in History, and 62 in Computer, totaling 253 marks with Grade D. Attendance stands at 64.25 percent. Participates in Debate as an extracurricular activity.
Student S12557 named Jimmy Bradley, age 12, gender Female, is in Class 8. Scored 46 in Math, 70 in Science, 72 in English, 50 in History, and 64 in Computer, totaling 302 marks with Grade C. Attendance stands at 90.21 percent. Participates in Debate as an extracurricular activity.
Student S12561 named Cassandra Lee, age 10, gender Female, is in Class 8. Scored 68 in Math, 86 in Science, 40 in English, 55 in History, and 91 in Computer, totaling 340 marks with Grade C. Attendance stands at 73.15 percent. Participates in Football as an extracurricular activity.
Student S12575 named Jordan Durham, age 15, gender Female, is in Class 8. Scored 77 in Math, 47 in Science, 93 in English, 84 in History, and 45 in Computer, totaling 346 marks with Grade C. Attendance stands at 74.05 percent. Participates in Football as an extracurricular activity.
Student S12594 named Dana Scott, age 16, gender Male, is in Class 8. Scored 31 in Math, 47 in Science, 63 in English, 72 in History, and 46 in Computer, totaling 259 marks with Grade D. Attendance stands at 60.71 percent. Participates in Football as an extracurricular activity.
Student S12613 named Rebecca Hodges, age 14, gender Male, is in Class 8. Scored 42 in Math, 51 in Science, 68 in English, 61 in History, and 34 in Computer, totaling 256 marks with Grade D. Attendance stands at 62.16 percent. Participates in Dance as an extracurricular activity.
Student S12624 named Alexander Gonzalez, age 17, gender Female, is in Class 8. Scored 73 in Math, 86 in Science, 84 in English, 49 in History, and 97 in Computer, totaling 389 marks with Grade C. Attendance stands at 92.11 percent. Participates in Drama as an extracurricular activity.
Student S12627 named Charles Romero, age 11, gender Male, is in Class 8. Scored 51 in Math, 62 in Science, 95 in English, 52 in History, and 47 in Computer, totaling 307 marks with Grade C. Attendance stands at 73.02 percent. Participates in Debate as an extracurricular activity.
Student S12641 named Jessica Mcdonald, age 10, gender Male, is in Class 8. Scored 93 in Math, 63 in Science, 39 in English, 79 in History, and 83 in Computer, totaling 357 marks with Grade C. Attendance stands at 70.27 percent. Participates in Drama as an extracurricular activity.
Student S12642 named Barbara Lee, age 11, gender Male, is in Class 8. Scored 42 in Math, 35 in Science, 76 in English, 70 in History, and 46 in Computer, totaling 269 marks with Grade D. Attendance stands at 74.77 percent. Participates in None as an extracurricular activity.
Student S12649 named Christopher Hill, age 12, gender Female, is in Class 8. Scored 78 in Math, 93 in Science, 38 in English, 32 in History, and 58 in Computer, totaling 299 marks with Grade D. Attendance stands at 77.53 percent. Participates in Drama as an extracurricular activity.
Student S12655 named Thomas Daniel, age 15, gender Female, is in Class 8. Scored 97 in Math, 97 in Science, 58 in English, 78 in History, and 87 in Computer, totaling 417 marks with Grade B. Attendance stands at 72.64 percent. Participates in Drama as an extracurricular activity.
Student S12657 named Linda Lopez, age 11, gender Male, is in Class 8. Scored 95 in Math, 66 in Science, 77 in English, 52 in History, and 78 in Computer, totaling 368 marks with Grade C. Attendance stands at 66.03 percent. Participates in Football as an extracurricular activity.
Student S12671 named Larry Duncan, age 15, gender Male, is in Class 8. Scored 90 in Math, 80 in Science, 35 in English, 51 in History, and 71 in Computer, totaling 327 marks with Grade C. Attendance stands at 97.91 percent. Participates in Music as an extracurricular activity.
Student S12676 named Tammy Ramirez, age 13, gender Female, is in Class 8. Scored 61 in Math, 68 in Science, 82 in English, 61 in History, and 30 in Computer, totaling 302 marks with Grade C. Attendance stands at 67.18 percent. Participates in None as an extracurricular activity.
Student S12680 named Timothy Allen, age 11, gender Female, is in Class 8. Scored 83 in Math, 60 in Science, 63 in English, 56 in History, and 59 in Computer, totaling 321 marks with Grade C. Attendance stands at 86.14 percent. Participates in None as an extracurricular activity.
Student S12692 named Lisa Crawford, age 16, gender Female, is in Class 8. Scored 86 in Math, 83 in Science, 92 in English, 57 in History, and 96 in Computer, totaling 414 marks with Grade B. Attendance stands at 73.11 percent. Participates in Drama as an extracurricular activity.
Student S12694 named Linda Bates, age 11, gender Male, is in Class 8. Scored 56 in Math, 78 in Science, 45 in English, 35 in History, and 75 in Computer, totaling 289 marks with Grade D. Attendance stands at 99.00 percent. Participates in Debate as an extracurricular activity.
Student S12698 named Michael Horn, age 10, gender Female, is in Class 8. Scored 31 in Math, 39 in Science, 32 in English, 70 in History, and 89 in Computer, totaling 261 marks with Grade D. Attendance stands at 76.22 percent. Participates in Drama as an extracurricular activity.
Student S12703 named Laura Smith, age 13, gender Female, is in Class 8. Scored 63 in Math, 73 in Science, 32 in English, 95 in History, and 65 in Computer, totaling 328 marks with Grade C. Attendance stands at 72.35 percent. Participates in Music as an extracurricular activity.
Student S12709 named Robert Randall, age 17, gender Male, is in Class 8. Scored 47 in Math, 99 in Science, 77 in English, 32 in History, and 75 in Computer, totaling 330 marks with Grade C. Attendance stands at 96.29 percent. Participates in Dance as an extracurricular activity.
Student S12718 named Kevin Pruitt, age 10, gender Male, is in Class 8. Scored 45 in Math, 73 in Science, 96 in English, 99 in History, and 87 in Computer, totaling 400 marks with Grade C. Attendance stands at 80.99 percent. Participates in Music as an extracurricular activity.
Student S12729 named Robert Fitzgerald, age 13, gender Female, is in Class 8. Scored 62 in Math, 78 in Science, 60 in English, 81 in History, and 94 in Computer, totaling 375 marks with Grade C. Attendance stands at 95.37 percent. Participates in Football as an extracurricular activity.
Student S12731 named Robert Miller, age 10, gender Male, is in Class 8. Scored 91 in Math, 93 in Science, 88 in English, 68 in History, and 67 in Computer, totaling 407 marks with Grade B. Attendance stands at 83.02 percent. Participates in Dance as an extracurricular activity.
Student S12737 named Raymond Hoover, age 13, gender Female, is in Class 8. Scored 75 in Math, 31 in Science, 39 in English, 86 in History, and 83 in Computer, totaling 314 marks with Grade C. Attendance stands at 72.61 percent. Participates in Football as an extracurricular activity.
Student S12750 named Jamie Green, age 16, gender Male, is in Class 8. Scored 40 in Math, 35 in Science, 42 in English, 47 in History, and 60 in Computer, totaling 224 marks with Grade D. Attendance stands at 61.10 percent. Participates in Debate as an extracurricular activity.
Student S12767 named Chelsea Blankenship, age 11, gender Male, is in Class 8. Scored 59 in Math, 81 in Science, 55 in English, 76 in History, and 34 in Computer, totaling 305 marks with Grade C. Attendance stands at 68.88 percent. Participates in Debate as an extracurricular activity.
Student S12769 named Dakota Aguilar, age 16, gender Female, is in Class 8. Scored 74 in Math, 44 in Science, 38 in English, 68 in History, and 97 in Computer, totaling 321 marks with Grade C. Attendance stands at 73.43 percent. Participates in Dance as an extracurricular activity.
Student S12770 named Kevin Patrick, age 12, gender Female, is in Class 8. Scored 98 in Math, 37 in Science, 61 in English, 34 in History, and 87 in Computer, totaling 317 marks with Grade C. Attendance stands at 94.28 percent. Participates in Drama as an extracurricular activity.
