Student S10000 named Brianna Smith, age 16, gender Female, is in Class 12. Scored 47 in Math, 85 in Science, 67 in English, 68 in History, and 81 in Computer, totaling 348 marks with Grade C. Attendance stands at 61.70 percent. Participates in None as an extracurricular activity.
Student S11521 named Robert Martinez, age 15, gender Female, is in Class 12. Scored 30 in Math, 56 in Science, 32 in English, 37 in History, and 62 in Computer, totaling 217 marks with Grade D. Attendance stands at 80.60 percent. Participates in Dance as an extracurricular activity.
Student S11523 named Brenda Daniels, age 11, gender Female, is in Class 12. Scored 82 in Math, 81 in Science, 72 in English, 86 in History, and 72 in Computer, totaling 393 marks with Grade C. Attendance stands at 86.43 percent. Participates in Music as an extracurricular activity.
Student S11527 named Jerry Reed, age 12, gender Female, is in Class 12. Scored 58 in Math, 37 in Science, 95 in English, 37 in History, and 40 in Computer, totaling 267 marks with Grade D. Attendance stands at 91.04 percent. Participates in Debate as an extracurricular activity.
Student S11534 named Lindsey Holmes, age 10, gender Female, is in Class 12. Scored 73 in Math, 76 in Science, 96 in English, 51 in History, and 36 in Computer, totaling 332 marks with Grade C. Attendance stands at 74.24 percent. Participates in Drama as an extracurricular activity.
Student S11551 named Sharon Brown, age 14, gender Male, is in Class 12. Scored 97 in Math, 71 in Science, 72 in English, 95 in History, and 72 in Computer, totaling 407 marks with Grade B. Attendance stands at 98.19 percent. Participates in Football as an extracurricular activity.
Student S11556 named Selena Brooks, age 11, gender Male, is in Class 12. Scored 85 in Math, 50 in Science, 50 in English, 51 in History, and 40 in Computer, totaling 276 marks with Grade D. Attendance stands at 81.65 percent. Participates in Dance as an extracurricular activity.
Student S11560 named Calvin Allen, age 12, gender Female, is in Class 12. Scored 76 in Math, 68 in Science, 93 in English, 50 in History, and 63 in Computer, totaling 350 marks with Grade C. Attendance stands at 77.24 percent. Participates in Football as an extracurricular activity.
Student S11577 named Monica Byrd, age 15, gender Female, is in Class 12. Scored 63 in Math, 47 in Science, 32 in English, 37 in History, and 91 in Computer, totaling 270 marks with Grade D. Attendance stands at 95.37 percent. Participates in Music as an extracurricular activity.
Student S11591 named Heather Knox, age 11, gender Male, is in Class 12. Scored 43 in Math, 89 in Science, 61 in English, 70 in History, and 99 in Computer, totaling 362 marks with Grade C. Attendance stands at 78.24 percent. Participates in Music as an extracurricular activity.
Student S11593 named Kenneth Johnson, age 14, gender Male, is in Class 12. Scored 37 in Math, 33 in Science, 94 in English, 70 in History, and 55 in Computer, totaling 289 marks with Grade D. Attendance stands at 79.79 percent. Participates in Football as an extracurricular activity.
Student S11611 named Charles Medina, age 11, gender Male, is in Class 12. Scored 41 in Math, 74 in Science, 70 in English, 98 in History, and 93 in Computer, totaling 376 marks with Grade C. Attendance stands at 60.04 percent. Participates in Music as an extracurricular activity.
Student S11615 named Teresa Smith, age 15, gender Female, is in Class 12. Scored 47 in Math, 63 in Science, 39 in English, 32 in History, and 54 in Computer, totaling 235 marks with Grade D. Attendance stands at 76.68 percent. Participates in Music as an extracurricular activity.
Student S11618 named Kevin Burke MD, age 12, gender Female, is in Class 12. Scored 77 in Math, 83 in Science, 39 in English, 47 in History, and 89 in Computer, totaling 335 marks with Grade C. Attendance stands at 63.48 percent. Participates in Football as an extracurricular activity.
Student S11628 named Craig Harrington, age 11, gender Female, is in Class 12. Scored 69 in Math, 84 in Science, 32 in English, 87 in History, and 35 in Computer, totaling 307 marks with Grade C. Attendance stands at 92.41 percent. Participates in Dance as an extracurricular activity.
Student S11630 named Samuel Owens, age 16, gender Male, is in Class 12. Scored 48 in Math, 76 in Science, 72 in English, 98 in History, and 57 in Computer, totaling 351 marks with Grade C. Attendance stands at 70.18 percent. Participates in Dance as an extracurricular activity.
Student S11633 named William West, age 14, gender Male, is in Class 12. Scored 37 in Math, 35 in Science, 66 in English, 48 in History, and 67 in Computer, totaling 253 marks with Grade D. Attendance stands at 82.44 percent. Participates in Drama as an extracurricular activity.
Student S11651 named Rebecca Baker, age 16, gender Female, is in Class 12. Scored 33 in Math, 98 in Science, 76 in English, 62 in History, and 78 in Computer, totaling 347 marks with Grade C. Attendance stands at 96.36 percent. Participates in Dance as an extracurricular activity.
Student S11654 named Nicholas Carter, age 10, gender Male, is in Class 12. Scored 30 in Math, 83 in Science, 54 in English, 42 in History, and 90 in Computer, totaling 299 marks with Grade D. Attendance stands at 63.61 percent. Participates in Dance as an extracurricular activity.
Student S11660 named Samantha Bailey, age 12, gender Female, is in Class 12. Scored 65 in Math, 73 in Science, 37 in English, 50 in History, and 64 in Computer, totaling 289 marks with Grade D. Attendance stands at 61.53 percent. Participates in Dance as an extracurricular activity.
Student S11672 named Amber Johnson, age 17, gender Male, is in Class 12. Scored 86 in Math, 35 in Science, 82 in English, 54 in History, and 90 in Computer, totaling 347 marks with Grade C. Attendance stands at 77.56 percent. Participates in Football as an extracurricular activity.
Student S11680 named Alison Smith, age 10, gender Male, is in Class 12. Scored 41 in Math, 94 in Science, 90 in English, 62 in History, and 31 in Computer, totaling 318 marks with Grade C. Attendance stands at 99.38 percent. Participates in Football as an extracurricular activity.
Student S11683 named Mandy Williams, age 11, gender Male, is in Class 12. Scored 46 in Math, 88 in Science, 73 in English, 33 in History, and 83 in Computer, totaling 323 marks with Grade C. Attendance stands at 96.20 percent. Participates in Debate as an extracurricular activity.
Student S11690 named Adam Anderson, age 16, gender Female, is in Class 12. Scored 96 in Math, 56 in Science, 94 in English, 45 in History, and 71 in Computer, totaling 362 marks with Grade C. Attendance stands at 81.18 percent. Participates in Music as an extracurricular activity.
Student S11707 named Ronnie Saunders, age 14, gender Female, is in Class 12. Scored 50 in Math, 69 in Science, 67 in English, 99 in History, and 99 in Computer, totaling 384 marks with Grade C. Attendance stands at 80.05 percent. Participates in Debate as an extracurricular activity.
Student S11710 named Glenda Crawford, age 12, gender Female, is in Class 12. Scored 81 in Math, 92 in Science, 83 in English, 82 in History, and 33 in Computer, totaling 371 marks with Grade C. Attendance stands at 86.92 percent. Participates in Music as an extracurricular activity.
Student S11712 named Nicholas Gonzalez, age 16, gender Male, is in Class 12. Scored 51 in Math, 51 in Science, 63 in English, 35 in History, and 32 in Computer, totaling 232 marks with Grade D. Attendance stands at 88.12 percent. Participates in Drama as an extracurricular activity.
Student S11714 named Daniel Jones, age 10, gender Male, is in Class 12. Scored 51 in Math, 49 in Science, 46 in English, 90 in History, and 38 in Computer, totaling 274 marks with Grade D. Attendance stands at 61.69 percent. Participates in Football as an extracurricular activity.
Student S11718 named Michael Harris, age 13, gender Female, is in Class 12. Scored 66 in Math, 45 in Science, 91 in English, 54 in History, and 50 in Computer, totaling 306 marks with Grade C. Attendance stands at 83.80 percent. Participates in None as an extracurricular activity.
Student S11722 named Monique Lopez, age 17, gender Male, is in Class 12. Scored 48 in Math, 46 in Science, 66 in English, 47 in History, and 35 in Computer, totaling 242 marks with Grade D. Attendance stands at 86.92 percent. Participates in Drama as an extracurricular activity.
Student S11740 named Eddie Phillips, age 13, gender Female, is in Class 12. Scored 46 in Math, 68 in Science, 60 in English, 63 in History, and 74 in Computer, totaling 311 marks with Grade C. Attendance stands at 73.24 percent. Participates in Dance as an extracurricular activity.
Student S11743 named Russell Aguilar, age 15, gender Male, is in Class 12. Scored 97 in Math, 51 in Science, 45 in English, 91 in History, and 67 in Computer, totaling 351 marks with Grade C. Attendance stands at 77.88 percent. Participates in Music as an extracurricular activity.
Student S11746 named Jennifer Cooper, age 15, gender Male, is in Class 12. Scored 57 in Math, 98 in Science, 85 in English, 69 in History, and 79 in Computer, totaling 388 marks with Grade C. Attendance stands at 88.23 percent. Participates in None as an extracurricular activity.
Student S11783 named Daniel Velasquez, age 10, gender Male, is in Class 12. Scored 44 in Math, 65 in Science, 75 in English, 58 in History, and 87 in Computer, totaling 329 marks with Grade C. Attendance stands at 82.76 percent. Participates in Dance as an extracurricular activity.
Student S11785 named Dana Park, age 13, gender Female, is in Class 12. Scored 75 in Math, 63 in Science, 56 in English, 44 in History, and 72 in Computer, totaling 310 marks with Grade C. Attendance stands at 72.21 percent. Participates in None as an extracurricular activity.
Student S11798 named Peter Miller, age 14, gender Female, is in Class 12. Scored 39 in Math, 66 in Science, 35 in English, 74 in History, and 75 in Computer, totaling 289 marks with Grade D. Attendance stands at 63.74 percent. Participates in None as an extracurricular activity.
Student S11800 named Brian Valencia, age 14, gender Male, is in Class 12. Scored 68 in Math, 94 in Science, 47 in English, 65 in History, and 81 in Computer, totaling 355 marks with Grade C. Attendance stands at 92.03 percent. Participates in None as an extracurricular activity.
Student S11811 named Monica Jackson, age 13, gender Male, is in Class 12. Scored 40 in Math, 50 in Science, 58 in English, 50 in History, and 50 in Computer, totaling 248 marks with Grade D. Attendance stands at 69.13 percent. Participates in Music as an extracurricular activity.
Student S11834 named Shannon Young, age 13, gender Female, is in Class 12. Scored 76 in Math, 68 in Science, 56 in English, 32 in History, and 63 in Computer, totaling 295 marks with Grade D. Attendance stands at 85.85 percent. Participates in None as an extracurricular activity.
Student S11835 named James Andersen, age 15, gender Female, is in Class 12. Scored 53 in Math, 98 in Science, 44 in English, 59 in History, and 71 in Computer, totaling 325 marks with Grade C. Attendance stands at 63.89 percent. Participates in None as an extracurricular activity.
Student S11838 named Jared Hurst, age 11, gender Female, is in Class 12. Scored 62 in Math, 90 in Science, 55 in English, 60 in History, and 45 in Computer, totaling 312 marks with Grade C. Attendance stands at 74.40 percent. Participates in Debate as an extracurricular activity.
Student S11844 named Matthew Nielsen, age 14, gender Male, is in Class 12. Scored 92 in Math, 89 in Science, 38 in English, 34 in History, and 98 in Computer, totaling 351 marks with Grade C. Attendance stands at 82.94 percent. Participates in Debate as an extracurricular activity.
Student S11853 named Diane Tucker, age 10, gender Female, is in Class 12. Scored 93 in Math, 60 in Science, 82 in English, 99 in History, and 84 in Computer, totaling 418 marks with Grade B. Attendance stands at 64.42 percent. Participates in Drama as an extracurricular activity.
Student S11859 named Jessica Frye, age 12, gender Male, is in Class 12. Scored 68 in Math, 98 in Science, 90 in English, 70 in History, and 41 in Computer, totaling 367 marks with Grade C. Attendance stands at 99.75 percent. Participates in Debate as an extracurricular activity.
Student S11884 named Erica Howard, age 11, gender Female, is in Class 12. Scored 90 in Math, 98 in Science, 97 in English, 94 in History, and 70 in Computer, totaling 449 marks with Grade B. Attendance stands at 70.02 percent. Participates in Music as an extracurricular activity.
Student S11886 named James Phillips, age 12, gender Female, is in Class 12. Scored 75 in Math, 86 in Science, 89 in English, 78 in History, and 41 in Computer, totaling 369 marks with Grade C. Attendance stands at 62.52 percent. Participates in None as an extracurricular activity.
Student S11891 named Bryan Johnson, age 13, gender Male, is in Class 12. Scored 91 in Math, 38 in Science, 36 in English, 58 in History, and 48 in Computer, totaling 271 marks with Grade D. Attendance stands at 73.67 percent. Participates in None as an extracurricular activity.
Student S11898 named David Bishop, age 13, gender Female, is in Class 12. Scored 30 in Math, 77 in Science, 95 in English, 52 in History, and 56 in Computer, totaling 310 marks with Grade C. Attendance stands at 93.26 percent. Participates in Music as an extracurricular activity.
Student S11899 named Luis Lambert, age 14, gender Male, is in Class 12. Scored 81 in Math, 35 in Science, 62 in English, 51 in History, and 73 in Computer, totaling 302 marks with Grade C. Attendance stands at 67.95 percent. Participates in Drama as an extracurricular activity.
Student S11909 named John Davis, age 16, gender Male, is in Class 12. Scored 98 in Math, 52 in Science, 96 in English, 79 in History, and 80 in Computer, totaling 405 marks with Grade B. Attendance stands at 61.81 percent. Participates in Music as an extracurricular activity.
Student S11919 named Amanda Frazier, age 17, gender Male, is in Class 12. Scored 75 in Math, 34 in Science, 78 in English, 53 in History, and 60 in Computer, totaling 300 marks with Grade D. Attendance stands at 73.20 percent. Participates in Dance as an extracurricular activity.
Student S11924 named Chad Wilson, age 13, gender Female, is in Class 12. Scored 81 in Math, 47 in Science, 94 in English, 32 in History, and 67 in Computer, totaling 321 marks with Grade C. Attendance stands at 69.71 percent. Participates in Drama as an extracurricular activity.
Student S11941 named James Perez, age 13, gender Female, is in Class 12. Scored 90 in Math, 34 in Science, 35 in English, 60 in History, and 55 in Computer, totaling 274 marks with Grade D. Attendance stands at 80.08 percent. Participates in None as an extracurricular activity.
Student S11963 named Dana Mitchell, age 15, gender Male, is in Class 12. Scored 81 in Math, 41 in Science, 99 in English, 89 in History, and 30 in Computer, totaling 340 marks with Grade C. Attendance stands at 81.12 percent. Participates in Debate as an extracurricular activity.
Student S11971 named Katherine Martinez, age 11, gender Female, is in Class 12. Scored 43 in Math, 44 in Science, 70 in English, 57 in History, and 91 in Computer, totaling 305 marks with Grade C. Attendance stands at 64.58 percent. Participates in None as an extracurricular activity.
Student S11972 named Jocelyn Lee, age 10, gender Male, is in Class 12. Scored 96 in Math, 80 in Science, 40 in English, 48 in History, and 82 in Computer, totaling 346 marks with Grade C. Attendance stands at 78.88 percent. Participates in Drama as an extracurricular activity.
Student S11974 named Rachel Jackson, age 16, gender Male, is in Class 12. Scored 46 in Math, 62 in Science, 53 in English, 87 in History, and 46 in Computer, totaling 294 marks with Grade D. Attendance stands at 91.98 percent. Participates in None as an extracurricular activity.
Student S11975 named Robin Simmons, age 15, gender Male, is in Class 12. Scored 50 in Math, 49 in Science, 70 in English, 59 in History, and 32 in Computer, totaling 260 marks with Grade D. Attendance stands at 74.02 percent. Participates in Music as an extracurricular activity.
Student S11987 named Karen Dudley, age 13, gender Female, is in Class 12. Scored 95 in Math, 36 in Science, 65 in English, 63 in History, and 91 in Computer, totaling 350 marks with Grade C. Attendance stands at 83.61 percent. Participates in Drama as an extracurricular activity.
Student S12012 named Leslie Perez, age 13, gender Male, is in Class 12. Scored 51 in Math, 39 in Science, 33 in English, 75 in History, and 93 in Computer, totaling 291 marks with Grade D. Attendance stands at 81.45 percent. Participates in Debate as an extracurricular activity.
Student S12020 named Matthew Rodriguez, age 15, gender Female, is in Class 12. Scored 97 in Math, 50 in Science, 76 in English, 86 in History, and 52 in Computer, totaling 361 marks with Grade C. Attendance stands at 87.90 percent. Participates in None as an extracurricular activity.
Student S12021 named Gabriel Mitchell, age 11, gender Female, is in Class 12. Scored 54 in Math, 41 in Science, 53 in English, 82 in History, and 84 in Computer, totaling 314 marks with Grade C. Attendance stands at 70.52 percent. Participates in Music as an extracurricular activity.
Student S12035 named Kristi Hanson, age 12, gender Male, is in Class 12. Scored 36 in Math, 96 in Science, 70 in English, 30 in History, and 44 in Computer, totaling 276 marks with Grade D. Attendance stands at 60.52 percent. Participates in Football as an extracurricular activity.
Student S12039 named Robert Evans, age 10, gender Male, is in Class 12. Scored 73 in Math, 64 in Science, 52 in English, 71 in History, and 37 in Computer, totaling 297 marks with Grade D. Attendance stands at 60.25 percent. Participates in Dance as an extracurricular activity.
Student S12046 named Philip Jimenez, age 17, gender Female, is in Class 12. Scored 52 in Math, 99 in Science, 61 in English, 52 in History, and 79 in Computer, totaling 343 marks with Grade C. Attendance stands at 84.44 percent. Participates in Debate as an extracurricular activity.
Student S12050 named Angela Peters, age 17, gender Male, is in Class 12. Scored 92 in Math, 52 in Science, 38 in English, 36 in History, and 66 in Computer, totaling 284 marks with Grade D. Attendance stands at 74.39 percent. Participates in Dance as an extracurricular activity.
Student S12078 named Karen Lopez, age 15, gender Male, is in Class 12. Scored 62 in Math, 53 in Science, 48 in English, 79 in History, and 95 in Computer, totaling 337 marks with Grade C. Attendance stands at 90.40 percent. Participates in Debate as an extracurricular activity.
Student S12094 named Daniel Aguirre, age 15, gender Male, is in Class 12. Scored 85 in Math, 66 in Science, 76 in English, 31 in History, and 63 in Computer, totaling 321 marks with Grade C. Attendance stands at 83.32 percent. Participates in Music as an extracurricular activity.
Student S12100 named Derek Green, age 11, gender Male, is in Class 12. Scored 56 in Math, 83 in Science, 32 in English, 65 in History, and 73 in Computer, totaling 309 marks with Grade C. Attendance stands at 92.26 percent. Participates in Football as an extracurricular activity.
Student S12118 named Haley Ewing, age 10, gender Male, is in Class 12. Scored 64 in Math, 33 in Science, 96 in English, 65 in History, and 30 in Computer, totaling 288 marks with Grade D. Attendance stands at 68.32 percent. Participates in Football as an extracurricular activity.
Student S12128 named Michael Miller, age 14, gender Female, is in Class 12. Scored 72 in Math, 69 in Science, 45 in English, 43 in History, and 55 in Computer, totaling 284 marks with Grade D. Attendance stands at 84.65 percent. Participates in Music as an extracurricular activity.
Student S12130 named Sarah Evans, age 16, gender Female, is in Class 12. Scored 44 in Math, 39 in Science, 57 in English, 59 in History, and 35 in Computer, totaling 234 marks with Grade D. Attendance stands at 66.88 percent. Participates in Drama as an extracurricular activity.
Student S12141 named Patricia Orr, age 13, gender Male, is in Class 12. Scored 72 in Math, 60 in Science, 89 in English, 47 in History, and 67 in Computer, totaling 335 marks with Grade C. Attendance stands at 68.22 percent. Participates in None as an extracurricular activity.
Student S12152 named Kristin Beck, age 10, gender Male, is in Class 12. Scored 30 in Math, 36 in Science, 52 in English, 78 in History, and 63 in Computer, totaling 259 marks with Grade D. Attendance stands at 99.65 percent. Participates in Music as an extracurricular activity.
Student S12153 named Jordan Evans, age 16, gender Female, is in Class 12. Scored 90 in Math, 51 in Science, 69 in English, 58 in History, and 51 in Computer, totaling 319 marks with Grade C. Attendance stands at 66.59 percent. Participates in Drama as an extracurricular activity.
Student S12155 named Arthur Vazquez, age 13, gender Male, is in Class 12. Scored 66 in Math, 57 in Science, 56 in English, 52 in History, and 92 in Computer, totaling 323 marks with Grade C. Attendance stands at 99.05 percent. Participates in None as an extracurricular activity.
Student S12165 named Dr. Kathleen Hughes DDS, age 17, gender Male, is in Class 12. Scored 51 in Math, 34 in Science, 70 in English, 94 in History, and 57 in Computer, totaling 306 marks with Grade C. Attendance stands at 95.65 percent. Participates in Football as an extracurricular activity.
Student S12177 named Michael Curtis, age 17, gender Female, is in Class 12. Scored 41 in Math, 45 in Science, 54 in English, 50 in History, and 90 in Computer, totaling 280 marks with Grade D. Attendance stands at 61.70 percent. Participates in Dance as an extracurricular activity.
Student S12180 named Angela Rodriguez, age 11, gender Male, is in Class 12. Scored 98 in Math, 75 in Science, 38 in English, 87 in History, and 75 in Computer, totaling 373 marks with Grade C. Attendance stands at 81.79 percent. Participates in Debate as an extracurricular activity.
Student S12187 named Sandra Foley, age 14, gender Male, is in Class 12. Scored 65 in Math, 59 in Science, 55 in English, 85 in History, and 48 in Computer, totaling 312 marks with Grade C. Attendance stands at 74.05 percent. Participates in Music as an extracurricular activity.
Student S12192 named Sarah Melendez, age 16, gender Female, is in Class 12. Scored 75 in Math, 45 in Science, 81 in English, 88 in History, and 52 in Computer, totaling 341 marks with Grade C. Attendance stands at 89.20 percent. Participates in None as an extracurricular activity.
Student S12200 named John Taylor, age 16, gender Male, is in Class 12. Scored 72 in Math, 81 in Science, 58 in English, 85 in History, and 59 in Computer, totaling 355 marks with Grade C. Attendance stands at 72.11 percent. Participates in Drama as an extracurricular activity.
Student S12206 named Cynthia Castillo, age 13, gender Male, is in Class 12. Scored 56 in Math, 89 in Science, 61 in English, 55 in History, and 30 in Computer, totaling 291 marks with Grade D. Attendance stands at 60.71 percent. Participates in Music as an extracurricular activity.
Student S12237 named Sheila Owens, age 16, gender Female, is in Class 12. Scored 38 in Math, 83 in Science, 69 in English, 71 in History, and 35 in Computer, totaling 296 marks with Grade D. Attendance stands at 64.24 percent. Participates in Dance as an extracurricular activity.
Student S12249 named Kristen Patrick, age 12, gender Male, is in Class 12. Scored 73 in Math, 41 in Science, 30 in English, 94 in History, and 94 in Computer, totaling 332 marks with Grade C. Attendance stands at 73.40 percent. Participates in None as an extracurricular activity.
Student S12252 named Samantha Woodward, age 14, gender Female, is in Class 12. Scored 37 in Math, 48 in Science, 70 in English, 39 in History, and 68 in Computer, totaling 262 marks with Grade D. Attendance stands at 60.21 percent. Participates in Music as an extracurricular activity.
Student S12253 named Jennifer Williams, age 14, gender Female, is in Class 12. Scored 59 in Math, 78 in Science, 51 in English, 78 in History, and 76 in Computer, totaling 342 marks with Grade C. Attendance stands at 60.99 percent. Participates in Music as an extracurricular activity.
Student S12263 named Shannon Bailey, age 16, gender Male, is in Class 12. Scored 42 in Math, 96 in Science, 66 in English, 51 in History, and 59 in Computer, totaling 314 marks with Grade C. Attendance stands at 66.01 percent. Participates in Music as an extracurricular activity.
Student S12267 named Melissa Caldwell, age 14, gender Male, is in Class 12. Scored 31 in Math, 51 in Science, 77 in English, 41 in History, and 52 in Computer, totaling 252 marks with Grade D. Attendance stands at 74.47 percent. Participates in Dance as an extracurricular activity.
Student S12274 named Heather Robbins, age 12, gender Male, is in Class 12. Scored 53 in Math, 95 in Science, 62 in English, 96 in History, and 42 in Computer, totaling 348 marks with Grade C. Attendance stands at 88.43 percent. Participates in Dance as an extracurricular activity.
Student S12281 named Julia Sanders, age 17, gender Female, is in Class 12. Scored 87 in Math, 62 in Science, 37 in English, 92 in History, and 72 in Computer, totaling 350 marks with Grade C. Attendance stands at 74.67 percent. Participates in Music as an extracurricular activity.
Student S12284 named Jessica Harrison, age 14, gender Female, is in Class 12. Scored 71 in Math, 56 in Science, 62 in English, 78 in History, and 83 in Computer, totaling 350 marks with Grade C. Attendance stands at 89.65 percent. Participates in Dance as an extracurricular activity.
Student S12299 named Jose Morales, age 10, gender Female, is in Class 12. Scored 41 in Math, 85 in Science, 66 in English, 69 in History, and 54 in Computer, totaling 315 marks with Grade C. Attendance stands at 86.02 percent. Participates in Debate as an extracurricular activity.
Student S12301 named Amber Archer, age 17, gender Male, is in Class 12. Scored 83 in Math, 88 in Science, 31 in English, 95 in History, and 32 in Computer, totaling 329 marks with Grade C. Attendance stands at 68.40 percent. Participates in None as an extracurricular activity.
Student S12333 named Cassandra Walters, age 13, gender Male, is in Class 12. Scored 61 in Math, 46 in Science, 78 in English, 48 in History, and 82 in Computer, totaling 315 marks with Grade C. Attendance stands at 84.62 percent. Participates in Music as an extracurricular activity.
Student S12338 named April Scott, age 10, gender Female, is in Class 12. Scored 84 in Math, 75 in Science, 94 in English, 30 in History, and 60 in Computer, totaling 343 marks with Grade C. Attendance stands at 68.42 percent. Participates in Debate as an extracurricular activity.
Student S12346 named Christopher Nelson, age 12, gender Male, is in Class 12. Scored 89 in Math, 40 in Science, 93 in English, 99 in History, and 67 in Computer, totaling 388 marks with Grade C. Attendance stands at 73.51 percent. Participates in Debate as an extracurricular activity.
Student S12361 named Richard Patterson, age 17, gender Female, is in Class 12. Scored 46 in Math, 88 in Science, 82 in English, 55 in History, and 31 in Computer, totaling 302 marks with Grade C. Attendance stands at 86.54 percent. Participates in None as an extracurricular activity.
Student S12366 named Andrew Medina, age 10, gender Female, is in Class 12. Scored 87 in Math, 41 in Science, 37 in English, 88 in History, and 98 in Computer, totaling 351 marks with Grade C. Attendance stands at 88.50 percent. Participates in Debate as an extracurricular activity.
Student S12368 named Francisco Good, age 17, gender Female, is in Class 12. Scored 39 in Math, 82 in Science, 85 in English, 85 in History, and 58 in Computer, totaling 349 marks with Grade C. Attendance stands at 91.51 percent. Participates in Drama as an extracurricular activity.
Student S12370 named Jeffrey Payne, age 11, gender Male, is in Class 12. Scored 52 in Math, 52 in Science, 82 in English, 63 in History, and 88 in Computer, totaling 337 marks with Grade C. Attendance stands at 71.88 percent. Participates in None as an extracurricular activity.
Student S12371 named Joanna Chavez, age 12, gender Female, is in Class 12. Scored 76 in Math, 90 in Science, 84 in English, 87 in History, and 91 in Computer, totaling 428 marks with Grade B. Attendance stands at 73.08 percent. Participates in Debate as an extracurricular activity.
Student S12378 named Anna Mullins, age 14, gender Male, is in Class 12. Scored 42 in Math, 54 in Science, 70 in English, 59 in History, and 91 in Computer, totaling 316 marks with Grade C. Attendance stands at 77.60 percent. Participates in Football as an extracurricular activity.
Student S12393 named Alison Davis, age 14, gender Male, is in Class 12. Scored 56 in Math, 78 in Science, 41 in English, 47 in History, and 58 in Computer, totaling 280 marks with Grade D. Attendance stands at 94.02 percent. Participates in Football as an extracurricular activity.
Student S12395 named Courtney Freeman, age 12, gender Female, is in Class 12. Scored 93 in Math, 88 in Science, 39 in English, 67 in History, and 66 in Computer, totaling 353 marks with Grade C. Attendance stands at 63.63 percent. Participates in None as an extracurricular activity.
Student S12396 named Brian Mooney, age 10, gender Male, is in Class 12. Scored 71 in Math, 60 in Science, 63 in English, 62 in History, and 55 in Computer, totaling 311 marks with Grade C. Attendance stands at 97.27 percent. Participates in Music as an extracurricular activity.
Student S12399 named John Hatfield, age 10, gender Male, is in Class 12. Scored 56 in Math, 40 in Science, 71 in English, 70 in History, and 87 in Computer, totaling 324 marks with Grade C. Attendance stands at 76.81 percent. Participates in Drama as an extracurricular activity.
Student S12402 named Mrs. Michelle Sanchez, age 10, gender Female, is in Class 12. Scored 52 in Math, 70 in Science, 56 in English, 85 in History, and 95 in Computer, totaling 358 marks with Grade C. Attendance stands at 67.67 percent. Participates in Dance as an extracurricular activity.
Student S12408 named John Morgan, age 11, gender Male, is in Class 12. Scored 73 in Math, 79 in Science, 31 in English, 70 in History, and 54 in Computer, totaling 307 marks with Grade C. Attendance stands at 81.50 percent. Participates in Football as an extracurricular activity.
Student S12418 named Robert Crawford, age 15, gender Female, is in Class 12. Scored 49 in Math, 62 in Science, 43 in English, 47 in History, and 42 in Computer, totaling 243 marks with Grade D. Attendance stands at 74.66 percent. Participates in Music as an extracurricular activity.
Student S12421 named Miss Rachel Peterson, age 11, gender Female, is in Class 12. Scored 43 in Math, 31 in Science, 47 in English, 32 in History, and 64 in Computer, totaling 217 marks with Grade D. Attendance stands at 75.77 percent. Participates in Debate as an extracurricular activity.
Student S12433 named Michelle Smith, age 15, gender Male, is in Class 12. Scored 70 in Math, 34 in Science, 98 in English, 70 in History, and 54 in Computer, totaling 326 marks with Grade C. Attendance stands at 90.21 percent. Participates in Drama as an extracurricular activity.
Student S12434 named Jessica Patterson, age 17, gender Male, is in Class 12. Scored 47 in Math, 39 in Science, 59 in English, 85 in History, and 65 in Computer, totaling 295 marks with Grade D. Attendance stands at 93.23 percent. Participates in Football as an extracurricular activity.
Student S12448 named Kelsey Kerr, age 13, gender Female, is in Class 12. Scored 97 in Math, 39 in Science, 52 in English, 51 in History, and 94 in Computer, totaling 333 marks with Grade C. Attendance stands at 86.14 percent. Participates in Dance as an extracurricular activity.
Student S12449 named Olivia Garcia, age 16, gender Female, is in Class 12. Scored 52 in Math, 67 in Science, 54 in English, 78 in History, and 70 in Computer, totaling 321 marks with Grade C. Attendance stands at 64.48 percent. Participates in Debate as an extracurricular activity.
Student S12456 named Raymond Hamilton, age 10, gender Male, is in Class 12. Scored 49 in Math, 96 in Science, 89 in English, 51 in History, and 63 in Computer, totaling 348 marks with Grade C. Attendance stands at 80.92 percent. Participates in Debate as an extracurricular activity.
Student S12467 named Seth Ortiz, age 11, gender Male, is in Class 12. Scored 98 in Math, 42 in Science, 91 in English, 64 in History, and 78 in Computer, totaling 373 marks with Grade C. Attendance stands at 74.06 percent. Participates in Music as an extracurricular activity.
Student S12468 named Tabitha Gomez, age 13, gender Female, is in Class 12. Scored 45 in Math, 32 in Science, 95 in English, 87 in History, and 52 in Computer, totaling 311 marks with Grade C. Attendance stands at 61.55 percent. Participates in Music as an extracurricular activity.
Student S12493 named Sean Maxwell, age 10, gender Female, is in Class 12. Scored 63 in Math, 31 in Science, 33 in English, 79 in History, and 64 in Computer, totaling 270 marks with Grade D. Attendance stands at 81.59 percent. Participates in Football as an extracurricular activity.
Student S12495 named Mary Morales, age 10, gender Male, is in Class 12. Scored 35 in Math, 75 in Science, 97 in English, 46 in History, and 59 in Computer, totaling 312 marks with Grade C. Attendance stands at 90.59 percent. Participates in Music as an extracurricular activity.
Student S12496 named Mandy Glover, age 12, gender Male, is in Class 12. Scored 97 in Math, 95 in Science, 77 in English, 46 in History, and 45 in Computer, totaling 360 marks with Grade C. Attendance stands at 78.95 percent. Participates in None as an extracurricular activity.
